,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,8700,8700,8700,8700,-,8700
1,18/06/2021,10000,9800,9800,10000,24900,10000
2,21/06/2021,10000,10000,10000,10000,-,10000
3,22/06/2021,10000,10000,10000,10000,-,10000
4,23/06/2021,10000,10000,10000,10000,-,10000
5,24/06/2021,10000,10000,10000,10000,-,10000
6,25/06/2021,11500,11300,11300,11500,1506,11500
7,28/06/2021,11500,11500,11500,11500,-,11500
8,29/06/2021,11500,11500,11500,11500,-,11500
9,30/06/2021,11500,11500,11500,11500,-,11500
10,01/07/2021,11500,11500,11500,11500,-,11500
11,02/07/2021,13200,10700,13200,10700,3200,10700
12,05/07/2021,13100,13100,13100,13100,-,13100
13,06/07/2021,13100,13100,13100,13100,-,13100
14,07/07/2021,13100,13100,13100,13100,-,13100
15,08/07/2021,13100,13100,13100,13100,-,13100
16,09/07/2021,14900,11200,11200,13500,4700,13500
17,12/07/2021,13300,13300,13300,13300,-,13300
18,13/07/2021,13300,13300,13300,13300,-,13300
19,14/07/2021,13300,13300,13300,13300,-,13300
20,15/07/2021,13300,13300,13300,13300,-,13300
21,16/07/2021,13500,13300,13300,13500,1000,13500
22,19/07/2021,13400,13400,13400,13400,-,13400
23,20/07/2021,13400,13400,13400,13400,-,13400
24,21/07/2021,13400,13400,13400,13400,-,13400
25,22/07/2021,13400,13400,13400,13400,-,13400
26,23/07/2021,13500,13400,13400,13500,4400,13500
27,26/07/2021,13400,13400,13400,13400,-,13400
28,27/07/2021,13400,13400,13400,13400,-,13400
29,28/07/2021,13400,13400,13400,13400,-,13400
30,29/07/2021,13400,13400,13400,13400,-,13400
31,30/07/2021,15400,13500,14000,15400,1600,15400
32,02/08/2021,13800,13800,13800,13800,-,13800
33,03/08/2021,13800,13800,13800,13800,-,13800
34,04/08/2021,13800,13800,13800,13800,-,13800
35,05/08/2021,13800,13800,13800,13800,-,13800
36,06/08/2021,15800,12000,13800,14000,6100,14000
37,09/08/2021,13800,13800,13800,13800,-,13800
38,10/08/2021,13800,13800,13800,13800,-,13800
39,11/08/2021,13800,13800,13800,13800,-,13800
40,12/08/2021,13800,13800,13800,13800,-,13800
41,13/08/2021,15800,11800,13500,11800,13200,11800
42,16/08/2021,15700,15700,15700,15700,-,15700
43,17/08/2021,15700,15700,15700,15700,-,15700
44,18/08/2021,15700,15700,15700,15700,-,15700
45,19/08/2021,15700,15700,15700,15700,-,15700
46,20/08/2021,13600,13500,13600,13500,200,13500
47,23/08/2021,13600,13600,13600,13600,-,13600
48,24/08/2021,13600,13600,13600,13600,-,13600
49,25/08/2021,13600,13600,13600,13600,-,13600
50,26/08/2021,13600,13600,13600,13600,-,13600
51,27/08/2021,13600,11700,13500,13600,6200,13600
52,30/08/2021,13500,13500,13500,13500,-,13500
53,31/08/2021,13500,13500,13500,13500,-,13500
54,01/09/2021,13500,13500,13500,13500,-,13500
55,06/09/2021,13500,13500,13500,13500,-,13500
56,07/09/2021,13500,13500,13500,13500,-,13500
57,08/09/2021,13500,13500,13500,13500,-,13500
58,09/09/2021,13500,13500,13500,13500,-,13500
59,10/09/2021,13500,13500,13500,13500,-,13500
60,13/09/2021,13500,13500,13500,13500,-,13500
61,14/09/2021,13500,13500,13500,13500,-,13500
62,15/09/2021,13500,13500,13500,13500,-,13500
63,16/09/2021,13500,13500,13500,13500,-,13500
64,17/09/2021,13600,13500,13500,13600,8300,13600
65,20/09/2021,13500,13500,13500,13500,-,13500
66,21/09/2021,13500,13500,13500,13500,-,13500
67,22/09/2021,13500,13500,13500,13500,-,13500
68,23/09/2021,13500,13500,13500,13500,-,13500
69,24/09/2021,15500,13500,13500,15500,3100,15500
70,27/09/2021,15200,15200,15200,15200,-,15200
71,28/09/2021,15200,15200,15200,15200,-,15200
72,29/09/2021,15200,15200,15200,15200,-,15200
73,30/09/2021,15200,15200,15200,15200,-,15200
74,01/10/2021,14000,14000,14000,14000,300,14000
75,04/10/2021,14000,14000,14000,14000,-,14000
76,05/10/2021,14000,14000,14000,14000,-,14000
77,06/10/2021,14000,14000,14000,14000,-,14000
78,07/10/2021,14000,14000,14000,14000,-,14000
79,08/10/2021,14000,14000,14000,14000,600,14000
80,11/10/2021,14000,14000,14000,14000,-,14000
81,12/10/2021,14000,14000,14000,14000,-,14000
82,13/10/2021,14000,14000,14000,14000,-,14000
83,14/10/2021,14000,14000,14000,14000,-,14000
84,15/10/2021,12000,12000,12000,12000,200,12000
85,18/10/2021,12000,12000,12000,12000,-,12000
86,19/10/2021,12000,12000,12000,12000,-,12000
87,20/10/2021,12000,12000,12000,12000,-,12000
88,21/10/2021,12000,12000,12000,12000,-,12000
89,22/10/2021,10300,10200,10200,10300,212,10300
90,25/10/2021,10300,10300,10300,10300,-,10300
91,26/10/2021,10300,10300,10300,10300,-,10300
92,27/10/2021,10300,10300,10300,10300,-,10300
93,28/10/2021,10300,10300,10300,10300,-,10300
94,29/10/2021,10300,10300,10300,10300,200,10300
95,01/11/2021,10300,10300,10300,10300,-,10300
96,02/11/2021,10300,10300,10300,10300,-,10300
97,03/11/2021,10300,10300,10300,10300,-,10300
98,04/11/2021,10300,10300,10300,10300,-,10300
99,05/11/2021,11800,10300,11800,10300,3738,10300
100,08/11/2021,11000,11000,11000,11000,-,11000
101,09/11/2021,11000,11000,11000,11000,-,11000
102,10/11/2021,11000,11000,11000,11000,-,11000
103,11/11/2021,11000,11000,11000,11000,-,11000
104,12/11/2021,12500,11800,11800,12500,1100,12500
105,15/11/2021,12200,12200,12200,12200,-,12200
106,16/11/2021,12200,12200,12200,12200,-,12200
107,17/11/2021,12200,12200,12200,12200,-,12200
108,18/11/2021,12200,12200,12200,12200,-,12200
109,19/11/2021,13900,13500,13500,13900,300,13900
110,22/11/2021,13800,13800,13800,13800,-,13800
111,23/11/2021,13800,13800,13800,13800,-,13800
112,24/11/2021,13800,13800,13800,13800,-,13800
113,25/11/2021,13800,13800,13800,13800,-,13800
114,26/11/2021,14000,12800,14000,13000,6100,13000
115,29/11/2021,13000,13000,13000,13000,-,13000
116,30/11/2021,13000,13000,13000,13000,-,13000
117,01/12/2021,13000,13000,13000,13000,-,13000
118,02/12/2021,13000,13000,13000,13000,-,13000
119,03/12/2021,14900,14800,14900,14800,433,14800
120,06/12/2021,14800,14800,14800,14800,-,14800
121,07/12/2021,14800,14800,14800,14800,-,14800
122,08/12/2021,14800,14800,14800,14800,-,14800
123,09/12/2021,14800,14800,14800,14800,-,14800
124,10/12/2021,14800,12800,12800,14800,300,14800
125,13/12/2021,13500,13500,13500,13500,-,13500
126,14/12/2021,13500,13500,13500,13500,-,13500
127,15/12/2021,13500,13500,13500,13500,-,13500
128,16/12/2021,13500,13500,13500,13500,-,13500
129,17/12/2021,15500,15400,15500,15500,4701,15500
130,20/12/2021,15500,15500,15500,15500,-,15500
131,21/12/2021,15500,15500,15500,15500,-,15500
132,22/12/2021,15500,15500,15500,15500,-,15500
133,23/12/2021,15500,15500,15500,15500,-,15500
134,24/12/2021,16500,15500,16500,15500,700,15500
135,27/12/2021,15800,15800,15800,15800,-,15800
136,28/12/2021,15800,15800,15800,15800,-,15800
137,29/12/2021,15800,15800,15800,15800,-,15800
138,30/12/2021,15800,15800,15800,15800,-,15800
139,31/12/2021,18100,18000,18100,18000,200,18000
140,04/01/2022,18100,18100,18100,18100,-,18100
141,05/01/2022,18100,18100,18100,18100,-,18100
142,06/01/2022,18100,18100,18100,18100,-,18100
143,07/01/2022,20600,15400,15400,20600,300,20600
144,10/01/2022,18900,18900,18900,18900,-,18900
145,11/01/2022,18900,18900,18900,18900,-,18900
146,12/01/2022,18900,18900,18900,18900,-,18900
147,13/01/2022,18900,18900,18900,18900,-,18900
148,14/01/2022,16100,16100,16100,16100,100,16100
149,17/01/2022,16100,16100,16100,16100,-,16100
150,18/01/2022,16100,16100,16100,16100,-,16100
151,19/01/2022,16100,16100,16100,16100,-,16100
152,20/01/2022,16100,16100,16100,16100,-,16100
153,21/01/2022,18500,13700,18500,13700,400,13700
154,24/01/2022,15600,15600,15600,15600,-,15600
155,25/01/2022,15600,15600,15600,15600,-,15600
156,26/01/2022,15600,15600,15600,15600,-,15600
157,27/01/2022,15600,15600,15600,15600,-,15600
158,28/01/2022,17900,17900,17900,17900,200,17900
159,07/02/2022,17900,17900,17900,17900,-,17900
160,08/02/2022,17900,17900,17900,17900,-,17900
161,09/02/2022,17900,17900,17900,17900,-,17900
162,10/02/2022,17900,17900,17900,17900,-,17900
163,11/02/2022,20400,15300,17900,15300,1000,15300
164,14/02/2022,17100,17100,17100,17100,-,17100
165,15/02/2022,17100,17100,17100,17100,-,17100
166,16/02/2022,17100,17100,17100,17100,-,17100
167,17/02/2022,17100,17100,17100,17100,-,17100
168,18/02/2022,19600,17000,17100,17500,4568,17500
169,21/02/2022,19300,19300,19300,19300,-,19300
170,22/02/2022,19300,19300,19300,19300,-,19300
171,23/02/2022,19300,19300,19300,19300,-,19300
172,24/02/2022,19300,19300,19300,19300,-,19300
173,25/02/2022,22100,19900,22100,19900,200,19900
174,28/02/2022,21000,21000,21000,21000,-,21000
175,01/03/2022,21000,21000,21000,21000,-,21000
176,02/03/2022,21000,21000,21000,21000,-,21000
177,03/03/2022,21000,21000,21000,21000,-,21000
