,Date,High,Low,Open,Close,Volume,Adj Close
0,22/06/2021,12000,12000,12000,12000,2023,12000
1,23/06/2021,12100,11800,11800,12000,1649130,12000
2,24/06/2021,12000,11800,12000,12000,38100,12000
3,25/06/2021,12000,12000,12000,12000,50910,12000
4,28/06/2021,12100,12000,12000,12100,9100,12100
5,29/06/2021,12000,12000,12000,12000,10,12000
6,30/06/2021,12000,12000,12000,12000,-,12000
7,01/07/2021,12100,12100,12100,12100,7520,12100
8,02/07/2021,12100,12100,12100,12100,-,12100
9,05/07/2021,12200,12100,12200,12100,235300,12100
10,06/07/2021,12200,12200,12200,12200,312100,12200
11,07/07/2021,12200,12100,12100,12200,8010,12200
12,08/07/2021,12100,12100,12100,12100,9006,12100
13,09/07/2021,12100,12100,12100,12100,2000,12100
14,12/07/2021,12100,12100,12100,12100,-,12100
15,13/07/2021,12100,12000,12100,12000,19600,12000
16,14/07/2021,12100,11700,12100,11700,475370,11700
17,15/07/2021,12100,11000,11000,12100,10370,12100
18,16/07/2021,13900,12100,13900,12100,4100,12100
19,19/07/2021,12200,12200,12200,12200,2620000,12200
20,20/07/2021,12100,12000,12100,12000,2000,12000
21,21/07/2021,11900,11900,11900,11900,300,11900
22,22/07/2021,12000,12000,12000,12000,2500,12000
23,23/07/2021,12000,12000,12000,12000,10300,12000
24,26/07/2021,12000,12000,12000,12000,10,12000
25,27/07/2021,12000,12000,12000,12000,178000,12000
26,28/07/2021,12000,12000,12000,12000,-,12000
27,29/07/2021,12000,12000,12000,12000,500,12000
28,30/07/2021,12000,11900,12000,12000,20900,12000
29,02/08/2021,11900,11900,11900,11900,-,11900
30,03/08/2021,11500,11500,11500,11500,370,11500
31,04/08/2021,11500,11500,11500,11500,-,11500
32,05/08/2021,11500,11500,11500,11500,1000,11500
33,06/08/2021,12000,11800,11800,12000,4970,12000
34,09/08/2021,12000,11900,12000,11900,4501,11900
35,10/08/2021,12000,11400,11400,12000,10300,12000
36,11/08/2021,12000,11400,12000,11800,13200,11800
37,12/08/2021,12000,11900,12000,11900,11750,11900
38,13/08/2021,12000,12000,12000,12000,-,12000
39,16/08/2021,12000,12000,12000,12000,1020,12000
40,17/08/2021,12000,11800,12000,11800,1200,11800
41,18/08/2021,12000,12000,12000,12000,11000,12000
42,19/08/2021,12000,12000,12000,12000,10500,12000
43,20/08/2021,12000,12000,12000,12000,-,12000
44,23/08/2021,11800,11800,11800,11800,1000,11800
45,24/08/2021,11800,11800,11800,11800,2170,11800
46,25/08/2021,11800,11800,11800,11800,50,11800
47,26/08/2021,12000,12000,12000,12000,110,12000
48,27/08/2021,12000,12000,12000,12000,70,12000
49,30/08/2021,11900,11900,11900,11900,3000,11900
50,31/08/2021,11900,11900,11900,11900,-,11900
51,01/09/2021,12000,11800,11800,12000,11900,12000
52,06/09/2021,11800,11600,11800,11800,3100,11800
53,07/09/2021,12000,11900,11900,12000,13700,12000
54,08/09/2021,12000,12000,12000,12000,10300,12000
55,09/09/2021,12000,12000,12000,12000,11200,12000
56,10/09/2021,12000,12000,12000,12000,14820,12000
57,13/09/2021,12000,12000,12000,12000,10000,12000
58,14/09/2021,12100,12000,12000,12000,33200,12000
59,15/09/2021,13800,12100,12100,13000,52000,13000
60,16/09/2021,13800,12800,13800,13000,8733,13000
61,17/09/2021,12900,12900,12900,12900,100,12900
62,20/09/2021,12900,12900,12900,12900,-,12900
63,21/09/2021,12900,11500,12000,12000,19203,12000
64,22/09/2021,12800,12800,12800,12800,100,12800
65,23/09/2021,12800,12700,12700,12800,900,12800
66,24/09/2021,12800,12300,12300,12800,3000,12800
67,27/09/2021,12700,12200,12200,12700,3500,12700
68,28/09/2021,12600,12600,12600,12600,-,12600
69,29/09/2021,12600,12600,12600,12600,-,12600
70,30/09/2021,12000,12000,12000,12000,3900,12000
71,01/10/2021,12000,12000,12000,12000,13770,12000
72,04/10/2021,12900,12000,12000,12600,44000,12600
73,05/10/2021,12600,12400,12600,12500,4300,12500
74,06/10/2021,12500,12300,12300,12500,1223,12500
75,07/10/2021,12300,12000,12300,12300,21500,12300
76,08/10/2021,12000,12000,12000,12000,42670,12000
77,11/10/2021,13100,12000,12000,12000,16600,12000
78,12/10/2021,11900,11900,11900,11900,1700,11900
79,13/10/2021,12000,12000,12000,12000,16882,12000
