,Date,High,Low,Open,Close,Volume,Adj Close
0,10/06/2021,26400,26400,26400,26400,-,26400
1,11/06/2021,26000,26000,26000,26000,200,26000
2,14/06/2021,26000,26000,26000,26000,-,26000
3,15/06/2021,26000,26000,26000,26000,-,26000
4,16/06/2021,26000,26000,26000,26000,-,26000
5,17/06/2021,26000,26000,26000,26000,-,26000
6,18/06/2021,23000,23000,23000,23000,2200,23000
7,21/06/2021,23000,23000,23000,23000,-,23000
8,22/06/2021,23000,23000,23000,23000,-,23000
9,23/06/2021,23000,23000,23000,23000,-,23000
10,24/06/2021,23000,23000,23000,23000,-,23000
11,25/06/2021,23000,23000,23000,23000,3,23000
12,28/06/2021,23600,23600,23600,23600,600,23600
13,29/06/2021,23600,23600,23600,23600,-,23600
14,30/06/2021,23600,23600,23600,23600,-,23600
15,01/07/2021,23800,23800,23800,23800,100,23800
16,02/07/2021,23800,23800,23800,23800,1000,23800
17,05/07/2021,23800,23800,23800,23800,-,23800
18,06/07/2021,23800,23800,23800,23800,200,23800
19,07/07/2021,23800,23800,23800,23800,-,23800
20,08/07/2021,23800,23800,23800,23800,-,23800
21,09/07/2021,23800,23800,23800,23800,-,23800
22,12/07/2021,27300,27300,27300,27300,100,27300
23,13/07/2021,27300,27300,27300,27300,-,27300
24,14/07/2021,27300,27300,27300,27300,-,27300
25,15/07/2021,27300,27300,27300,27300,-,27300
26,16/07/2021,27300,27300,27300,27300,-,27300
27,19/07/2021,27300,27300,27300,27300,-,27300
28,20/07/2021,27300,27300,27300,27300,-,27300
29,21/07/2021,27300,27300,27300,27300,-,27300
30,22/07/2021,27300,27300,27300,27300,-,27300
31,23/07/2021,27300,27300,27300,27300,-,27300
32,26/07/2021,27300,27300,27300,27300,-,27300
33,27/07/2021,27300,27300,27300,27300,-,27300
34,28/07/2021,27300,27300,27300,27300,-,27300
35,29/07/2021,27300,27300,27300,27300,-,27300
36,30/07/2021,27300,27300,27300,27300,-,27300
37,02/08/2021,27300,27300,27300,27300,-,27300
38,03/08/2021,27300,27300,27300,27300,-,27300
39,04/08/2021,27300,27300,27300,27300,-,27300
40,05/08/2021,27300,27300,27300,27300,-,27300
41,06/08/2021,27300,27300,27300,27300,400,27300
42,09/08/2021,27300,27300,27300,27300,-,27300
43,10/08/2021,27300,27300,27300,27300,-,27300
44,11/08/2021,27300,27300,27300,27300,-,27300
45,12/08/2021,27300,27300,27300,27300,-,27300
46,13/08/2021,27300,27300,27300,27300,-,27300
47,16/08/2021,27300,27300,27300,27300,-,27300
48,17/08/2021,27300,27300,27300,27300,-,27300
49,18/08/2021,27300,27300,27300,27300,-,27300
50,19/08/2021,27300,27300,27300,27300,-,27300
51,20/08/2021,27300,27300,27300,27300,-,27300
52,23/08/2021,27300,27300,27300,27300,-,27300
53,24/08/2021,27300,27300,27300,27300,-,27300
54,25/08/2021,27300,27300,27300,27300,-,27300
55,26/08/2021,27300,27300,27300,27300,-,27300
56,27/08/2021,27300,27300,27300,27300,-,27300
57,30/08/2021,27300,27300,27300,27300,-,27300
58,31/08/2021,27300,27300,27300,27300,-,27300
59,01/09/2021,27300,27300,27300,27300,-,27300
60,06/09/2021,27300,27300,27300,27300,-,27300
61,07/09/2021,27300,27300,27300,27300,-,27300
62,08/09/2021,27300,27300,27300,27300,-,27300
63,09/09/2021,27300,27300,27300,27300,-,27300
64,10/09/2021,27300,27300,27300,27300,-,27300
65,13/09/2021,27300,27300,27300,27300,-,27300
66,14/09/2021,27300,27300,27300,27300,-,27300
67,15/09/2021,27300,27300,27300,27300,-,27300
68,16/09/2021,27300,27300,27300,27300,-,27300
69,17/09/2021,27300,27300,27300,27300,-,27300
70,20/09/2021,27300,27300,27300,27300,-,27300
71,21/09/2021,27300,27300,27300,27300,-,27300
72,22/09/2021,27300,27300,27300,27300,-,27300
73,23/09/2021,27300,27300,27300,27300,-,27300
74,24/09/2021,27300,23400,27300,23400,2300,23400
75,27/09/2021,23900,23900,23900,23900,-,23900
76,28/09/2021,23900,23900,23900,23900,-,23900
77,29/09/2021,23900,23900,23900,23900,-,23900
78,30/09/2021,23900,23900,23900,23900,-,23900
79,01/10/2021,23900,23900,23900,23900,-,23900
80,04/10/2021,23900,23900,23900,23900,-,23900
81,05/10/2021,23900,23900,23900,23900,-,23900
82,06/10/2021,23900,23900,23900,23900,-,23900
83,07/10/2021,23900,23900,23900,23900,-,23900
84,08/10/2021,23000,23000,23000,23000,100,23000
85,11/10/2021,23000,23000,23000,23000,-,23000
86,12/10/2021,23000,23000,23000,23000,-,23000
87,13/10/2021,23000,23000,23000,23000,-,23000
88,14/10/2021,23000,23000,23000,23000,-,23000
89,15/10/2021,19700,19700,19700,19700,205,19700
90,18/10/2021,19700,19700,19700,19700,-,19700
91,19/10/2021,19700,19700,19700,19700,-,19700
92,20/10/2021,19700,19700,19700,19700,-,19700
93,21/10/2021,19700,19700,19700,19700,-,19700
94,22/10/2021,22000,19700,19700,22000,11410,22000
95,25/10/2021,20900,20900,20900,20900,-,20900
