,Date,High,Low,Open,Close,Volume,Adj Close
0,23/06/2021,18600,17000,18600,17000,1200,16500
1,24/06/2021,15100,15100,15100,15100,100,14600
2,25/06/2021,15200,15100,15100,15200,6000,14700
3,28/06/2021,15200,15200,15200,15200,100,14700
4,29/06/2021,16300,16300,16300,16300,100,15800
5,30/06/2021,16300,16300,16300,16300,-,15800
6,01/07/2021,16000,15900,16000,16000,1000,15500
7,02/07/2021,16400,15700,16400,15800,5500,15300
8,05/07/2021,15800,15100,15800,15100,4100,14600
9,06/07/2021,15000,15000,15000,15000,500,14500
10,07/07/2021,15000,15000,15000,15000,-,14500
11,08/07/2021,16500,16000,16500,16000,400,15500
12,09/07/2021,16300,16300,16300,16300,-,15800
13,12/07/2021,14000,14000,14000,14000,100,13600
14,13/07/2021,15800,12100,12100,15800,8100,15300
15,14/07/2021,13600,13600,13600,13600,100,13200
16,15/07/2021,15600,15500,15500,15600,10500,15100
17,16/07/2021,15600,15600,15600,15600,-,15100
18,19/07/2021,15600,15600,15600,15600,-,15100
19,20/07/2021,15600,15600,15600,15600,-,15100
20,21/07/2021,15600,15600,15600,15600,-,15100
21,22/07/2021,13400,13400,13400,13400,100,13000
22,23/07/2021,13400,13400,13400,13400,-,13000
23,26/07/2021,15000,15000,15000,15000,2500,14500
24,27/07/2021,15000,15000,15000,15000,-,14500
25,28/07/2021,15000,15000,15000,15000,-,14500
26,29/07/2021,15000,15000,15000,15000,-,14500
27,30/07/2021,15000,15000,15000,15000,-,14500
28,02/08/2021,15000,15000,15000,15000,-,14500
29,03/08/2021,17100,17100,17100,17100,100,16600
30,04/08/2021,16000,16000,16000,16000,100,15500
31,05/08/2021,16000,16000,16000,16000,-,15500
32,06/08/2021,18300,15000,18300,18000,6400,17400
33,09/08/2021,17800,16000,17800,17800,3200,17200
34,10/08/2021,18500,18500,18500,18500,100,17900
35,11/08/2021,21100,18500,21100,18500,200,17900
36,12/08/2021,17900,16900,16900,16900,7312,16400
37,13/08/2021,18900,18600,18600,18900,200,18300
38,16/08/2021,18700,16300,16300,18700,3000,18100
39,17/08/2021,17000,17000,17000,17000,100,16500
40,18/08/2021,18400,17000,18400,17000,200,16500
41,19/08/2021,16500,16000,16000,16500,7000,16000
42,20/08/2021,18800,18500,18800,18500,2008,17900
43,23/08/2021,17500,16500,17500,16500,1700,16000
44,24/08/2021,16800,16800,16800,16800,-,16300
45,25/08/2021,16800,16800,16800,16800,-,16300
46,26/08/2021,18100,17000,18100,17000,1200,16500
47,27/08/2021,17000,16100,17000,16100,5000,15600
48,30/08/2021,16300,16300,16300,16300,-,15800
49,31/08/2021,16500,16300,16300,16400,1800,15900
50,01/09/2021,16000,16000,16000,16000,480,15500
51,06/09/2021,16800,16000,16000,16800,1500,16300
52,07/09/2021,18000,16700,18000,16700,4500,16200
53,08/09/2021,17700,17700,17700,17700,-,17100
54,09/09/2021,17700,17700,17700,17700,-,17100
55,10/09/2021,16500,16500,16500,16500,3500,16000
56,13/09/2021,16400,16400,16400,16400,900,15900
57,14/09/2021,16400,16400,16400,16400,1000,15900
58,15/09/2021,16400,16000,16400,16000,5000,15500
59,16/09/2021,16400,16400,16400,16400,910,15900
60,17/09/2021,17700,17700,17700,17700,200,17100
61,20/09/2021,16000,16000,16000,16000,531,15500
