,Date,High,Low,Open,Close,Volume,Adj Close
0,15/06/2021,9700,9700,9700,9700,500,9700
1,16/06/2021,9700,9300,9300,9700,503,9700
2,17/06/2021,10300,9500,10300,9500,1500,9500
3,18/06/2021,9800,9800,9800,9800,1000,9800
4,21/06/2021,9900,9900,9900,9900,500,9900
5,22/06/2021,9900,9900,9900,9900,-,9900
6,23/06/2021,9900,9900,9900,9900,-,9900
7,24/06/2021,9900,9900,9900,9900,500,9900
8,25/06/2021,9900,9900,9900,9900,-,9900
9,28/06/2021,9900,9900,9900,9900,-,9900
10,29/06/2021,9900,9900,9900,9900,3,9900
11,30/06/2021,9900,9900,9900,9900,-,9900
12,01/07/2021,9000,9000,9000,9000,5100,9000
13,02/07/2021,9000,9000,9000,9000,500,9000
14,05/07/2021,9000,9000,9000,9000,-,9000
15,06/07/2021,9000,9000,9000,9000,3000,9000
16,07/07/2021,9000,9000,9000,9000,3,9000
17,08/07/2021,9700,9700,9700,9700,800,9700
18,09/07/2021,8900,8900,8900,8900,4100,8900
19,12/07/2021,8900,8900,8900,8900,-,8900
20,13/07/2021,8900,8900,8900,8900,-,8900
21,14/07/2021,8900,8900,8900,8900,-,8900
22,15/07/2021,8900,8900,8900,8900,-,8900
23,16/07/2021,8900,8900,8900,8900,1000,8900
24,19/07/2021,8900,8600,8900,8600,3300,8600
25,20/07/2021,8900,8900,8900,8900,1000,8900
26,21/07/2021,9500,9500,9500,9500,500,9500
27,22/07/2021,9500,9000,9000,9000,524,9000
28,23/07/2021,9200,9200,9200,9200,-,9200
29,26/07/2021,9200,9200,9200,9200,-,9200
30,27/07/2021,9000,9000,9000,9000,400,9000
31,28/07/2021,9000,9000,9000,9000,24,9000
32,29/07/2021,8700,8700,8700,8700,100,8700
33,30/07/2021,8900,8900,8900,8900,5400,8900
34,02/08/2021,9100,9100,9100,9100,200,9100
35,03/08/2021,9400,9400,9400,9400,300,9400
36,04/08/2021,9400,9400,9400,9400,-,9400
37,05/08/2021,9400,9400,9400,9400,-,9400
38,06/08/2021,9900,9600,9900,9600,1300,9600
39,09/08/2021,9500,9500,9500,9500,100,9500
40,10/08/2021,9500,9500,9500,9500,-,9500
41,11/08/2021,9200,8900,9200,8900,3200,8900
42,12/08/2021,9400,8700,9000,9400,21314,9400
43,13/08/2021,8800,8800,8800,8800,100,8800
44,16/08/2021,9000,9000,9000,9000,880,9000
45,17/08/2021,9000,9000,9000,9000,-,9000
46,18/08/2021,9000,9000,9000,9000,-,9000
47,19/08/2021,8800,8800,8800,8800,100,8800
48,20/08/2021,8800,8800,8800,8800,-,8800
49,23/08/2021,8800,8800,8800,8800,-,8800
50,24/08/2021,8800,8800,8800,8800,-,8800
51,25/08/2021,9300,9300,9300,9300,1000,9300
52,26/08/2021,9300,9300,9300,9300,500,9300
53,27/08/2021,9300,9300,9300,9300,400,9300
54,30/08/2021,9300,9300,9300,9300,200,9300
55,31/08/2021,9700,9400,9400,9700,624,9700
56,01/09/2021,9700,9400,9400,9700,1900,9700
57,06/09/2021,10000,9800,9800,10000,7910,10000
58,07/09/2021,10100,10000,10100,10000,1200,10000
59,08/09/2021,10000,10000,10000,10000,-,10000
60,09/09/2021,10000,9000,10000,9000,814,9000
61,10/09/2021,9400,9300,9400,9300,200,9300
62,13/09/2021,9800,9600,9600,9800,200,9800
63,14/09/2021,10000,10000,10000,10000,397,10000
64,15/09/2021,10200,10100,10100,10200,6119,10200
65,16/09/2021,11300,10000,10100,11200,58220,11200
66,17/09/2021,11700,11300,11300,11700,16510,11700
67,20/09/2021,13300,12500,13200,13300,27700,13300
68,21/09/2021,13400,11600,11900,13400,6200,13400
69,22/09/2021,13000,11200,13000,13000,10500,13000
70,23/09/2021,12100,10300,12100,10400,28400,10400
71,24/09/2021,11200,10000,11200,10900,9500,10900
72,27/09/2021,11400,10700,11400,10700,2700,10700
73,28/09/2021,10200,9600,9600,10200,4245,10200
74,29/09/2021,10400,9400,9400,10400,7600,10400
75,30/09/2021,10100,9600,10000,9600,9900,9600
76,01/10/2021,9600,9600,9600,9600,300,9600
77,04/10/2021,10500,9600,9600,10500,3005,10500
78,05/10/2021,9900,9900,9900,9900,151,9900
79,06/10/2021,9900,9600,9900,9800,4997,9800
80,07/10/2021,9800,9800,9800,9800,687,9800
81,08/10/2021,11200,9800,9800,11200,28056,11200
82,11/10/2021,12500,11100,11100,12500,97447,12500
83,12/10/2021,13000,11900,12500,12900,50485,12900
84,13/10/2021,12200,10800,12000,11000,60300,11000
85,14/10/2021,11300,10400,11300,10900,26600,10900
86,15/10/2021,12500,10900,10900,12000,96025,12000
87,18/10/2021,13000,12000,12200,12600,80934,12600
88,19/10/2021,12700,12000,12600,12000,24900,12000
89,20/10/2021,12100,11500,12000,11700,46300,11700
90,21/10/2021,13000,11700,11700,13000,47900,13000
91,22/10/2021,13000,12200,13000,12400,59642,12400
92,25/10/2021,13800,12400,12400,13500,148437,13500
93,26/10/2021,13500,13100,13100,13400,51594,13400
94,27/10/2021,13500,13000,13300,13200,95006,13200
95,28/10/2021,13300,12800,13000,13200,62737,13200
96,29/10/2021,13200,12500,13200,12800,45589,12800
97,01/11/2021,14700,12800,12800,13600,126172,13600
98,02/11/2021,13600,12800,13600,13300,26400,13300
99,03/11/2021,13800,13200,13300,13400,81600,13400
100,04/11/2021,13400,13000,13400,13000,12851,13000
101,05/11/2021,14000,13100,13200,13200,105734,13200
102,08/11/2021,13500,13200,13300,13300,31073,13300
103,09/11/2021,14500,13100,13300,13700,77455,13700
104,10/11/2021,14500,13600,13700,14500,87068,14500
105,11/11/2021,14500,14000,14100,14400,50273,14400
106,12/11/2021,14200,13600,14200,13800,81983,13800
107,15/11/2021,14800,13700,13700,14000,55655,14000
108,16/11/2021,14000,13600,14000,13700,28200,13700
109,17/11/2021,13800,13200,13800,13700,43065,13700
110,18/11/2021,13900,13200,13900,13400,93360,13400
111,19/11/2021,13500,12100,13300,13200,76100,13200
112,22/11/2021,12900,12600,12600,12900,18027,12900
113,23/11/2021,12900,12600,12800,12900,23710,12900
114,24/11/2021,13400,12600,13000,13000,13267,13000
115,25/11/2021,13600,13000,13000,13400,62236,13400
116,26/11/2021,13200,12900,13200,13000,45133,13000
117,29/11/2021,12800,12200,12800,12500,15603,12500
118,30/11/2021,13000,12500,13000,12500,14285,12500
119,01/12/2021,12700,12300,12500,12500,9109,12500
120,02/12/2021,12400,12400,12400,12400,9914,12400
121,03/12/2021,12400,12200,12300,12200,12326,12200
122,06/12/2021,12200,12200,12200,12200,9510,12200
123,07/12/2021,12300,12000,12300,12200,7768,12200
124,08/12/2021,12000,11400,12000,11400,11176,11400
125,09/12/2021,11600,11000,11600,11500,10084,11500
126,10/12/2021,11500,9700,11500,11500,33400,11500
127,13/12/2021,12500,10900,11000,12500,35329,12500
128,14/12/2021,12300,12000,12300,12000,6900,12000
129,15/12/2021,12000,11500,11500,12000,8215,12000
130,16/12/2021,12200,11500,12000,11600,7019,11600
131,17/12/2021,11900,11700,11800,11800,8763,11800
132,20/12/2021,11800,11000,11800,11400,3500,11400
133,21/12/2021,11400,11000,11400,11400,10526,11400
134,22/12/2021,11500,11000,11000,11200,20100,11200
135,23/12/2021,11500,11000,11100,11300,30300,11300
136,24/12/2021,11200,11000,11100,11100,33500,11100
137,27/12/2021,11100,10800,11100,10800,28382,10800
138,28/12/2021,11200,10800,10800,11200,61800,11200
139,29/12/2021,11700,10900,11500,11300,29140,11300
140,30/12/2021,11800,11300,11400,11600,2100,11600
141,31/12/2021,11600,11400,11600,11600,17120,11600
142,04/01/2022,11800,11100,11800,11400,12498,11400
143,05/01/2022,11400,11200,11300,11200,8372,11200
144,06/01/2022,11200,11000,11200,11000,48300,11000
145,07/01/2022,11200,10800,11200,10900,29500,10900
146,10/01/2022,12400,11000,11000,11600,40418,11600
147,11/01/2022,11600,11500,11600,11500,3720,11500
148,12/01/2022,11400,11000,11100,11400,9634,11400
149,13/01/2022,11100,10600,11100,10800,27200,10800
150,14/01/2022,10900,10900,10900,10900,4519,10900
151,17/01/2022,10800,10600,10800,10600,7600,10600
152,18/01/2022,10700,9700,10600,9700,9700,9700
153,19/01/2022,10400,10300,10400,10300,1200,10300
154,20/01/2022,11000,10000,10000,11000,3000,11000
155,21/01/2022,10900,10900,10900,10900,100,10900
156,24/01/2022,10900,10900,10900,10900,-,10900
157,25/01/2022,10100,10000,10100,10000,4800,10000
158,26/01/2022,10600,10000,10000,10600,7951,10600
159,27/01/2022,10200,10000,10100,10000,1200,10000
