,Date,High,Low,Open,Close,Volume,Adj Close
0,15/06/2021,800,800,800,800,-,700
1,16/06/2021,800,800,800,800,-,700
2,17/06/2021,800,800,800,800,-,700
3,18/06/2021,900,800,800,900,10900,800
4,21/06/2021,800,800,800,800,-,700
5,22/06/2021,800,800,800,800,-,700
6,23/06/2021,800,800,800,800,-,700
7,24/06/2021,800,800,800,800,-,700
8,25/06/2021,800,700,800,800,7400,700
9,28/06/2021,800,800,800,800,-,700
10,29/06/2021,800,800,800,800,-,700
11,30/06/2021,800,800,800,800,-,700
12,01/07/2021,800,800,800,800,-,700
13,02/07/2021,800,700,700,800,44400,700
14,05/07/2021,700,700,700,700,-,600
15,06/07/2021,700,700,700,700,-,600
16,07/07/2021,700,700,700,700,-,600
17,08/07/2021,700,700,700,700,-,600
18,09/07/2021,700,700,700,700,1800,600
19,12/07/2021,700,700,700,700,-,600
20,13/07/2021,700,700,700,700,-,600
21,14/07/2021,700,700,700,700,-,600
22,15/07/2021,700,700,700,700,-,600
23,16/07/2021,800,700,800,700,15100,600
24,19/07/2021,700,700,700,700,-,600
25,20/07/2021,700,700,700,700,-,600
26,21/07/2021,700,700,700,700,-,600
27,22/07/2021,700,700,700,700,-,600
28,23/07/2021,700,600,700,600,600,500
29,26/07/2021,700,700,700,700,-,600
30,27/07/2021,700,700,700,700,-,600
31,28/07/2021,700,700,700,700,-,600
32,29/07/2021,700,700,700,700,-,600
33,30/07/2021,700,600,700,700,4600,600
34,02/08/2021,700,700,700,700,-,600
35,03/08/2021,700,700,700,700,-,600
36,04/08/2021,700,700,700,700,-,600
37,05/08/2021,700,700,700,700,-,600
38,06/08/2021,800,800,800,800,35300,700
39,09/08/2021,800,800,800,800,-,700
40,10/08/2021,800,800,800,800,-,700
41,11/08/2021,800,800,800,800,-,700
42,12/08/2021,800,800,800,800,-,700
43,13/08/2021,900,800,900,900,4500,800
44,16/08/2021,900,900,900,900,-,800
45,17/08/2021,900,900,900,900,-,800
46,18/08/2021,900,900,900,900,-,800
47,19/08/2021,900,900,900,900,-,800
48,20/08/2021,1000,800,1000,900,8500,800
49,23/08/2021,900,900,900,900,-,800
50,24/08/2021,900,900,900,900,-,800
51,25/08/2021,900,900,900,900,-,800
52,26/08/2021,900,900,900,900,-,800
53,27/08/2021,1000,800,1000,1000,16100,900
54,30/08/2021,900,900,900,900,-,800
55,31/08/2021,900,900,900,900,-,800
56,01/09/2021,900,900,900,900,-,800
57,06/09/2021,900,900,900,900,-,800
58,07/09/2021,900,900,900,900,-,800
59,08/09/2021,900,900,900,900,-,800
60,09/09/2021,900,900,900,900,-,800
61,10/09/2021,900,800,900,900,44800,800
62,13/09/2021,800,800,800,800,-,700
63,14/09/2021,800,800,800,800,-,700
64,15/09/2021,800,800,800,800,-,700
65,16/09/2021,800,800,800,800,-,700
66,17/09/2021,900,800,900,900,58600,800
67,20/09/2021,900,900,900,900,-,800
68,21/09/2021,900,900,900,900,-,800
69,22/09/2021,900,900,900,900,-,800
70,23/09/2021,900,900,900,900,-,800
71,24/09/2021,1000,900,900,1000,45500,900
72,27/09/2021,1000,1000,1000,1000,-,900
