,Date,High,Low,Open,Close,Volume,Adj Close
0,23/06/2021,13600,13600,13600,13600,-,13200
1,24/06/2021,13600,13600,13600,13600,-,13200
2,25/06/2021,13600,13600,13600,13600,-,13200
3,28/06/2021,13600,13600,13600,13600,-,13200
4,29/06/2021,13600,13600,13600,13600,-,13200
5,30/06/2021,13600,13600,13600,13600,-,13200
6,01/07/2021,13600,13600,13600,13600,-,13200
7,02/07/2021,13600,13600,13600,13600,-,13200
8,05/07/2021,13600,13600,13600,13600,-,13200
9,06/07/2021,13600,13600,13600,13600,-,13200
10,07/07/2021,13600,13600,13600,13600,-,13200
11,08/07/2021,13600,13600,13600,13600,-,13200
12,09/07/2021,13600,13600,13600,13600,-,13200
13,12/07/2021,13600,13600,13600,13600,-,13200
14,13/07/2021,13600,13600,13600,13600,-,13200
15,14/07/2021,13600,13600,13600,13600,-,13200
16,15/07/2021,13600,13600,13600,13600,-,13200
17,16/07/2021,13600,13600,13600,13600,-,13200
18,19/07/2021,13600,13600,13600,13600,-,13200
19,20/07/2021,13600,13600,13600,13600,-,13200
20,21/07/2021,13600,13600,13600,13600,-,13200
21,22/07/2021,13600,13600,13600,13600,-,13200
22,23/07/2021,13600,13600,13600,13600,-,13200
23,26/07/2021,13600,13600,13600,13600,-,13200
24,27/07/2021,13600,13600,13600,13600,-,13200
25,28/07/2021,13600,13600,13600,13600,-,13200
26,29/07/2021,13600,13600,13600,13600,-,13200
27,30/07/2021,13600,13600,13600,13600,-,13200
28,02/08/2021,13600,13600,13600,13600,-,13200
29,03/08/2021,13600,13600,13600,13600,-,13200
30,04/08/2021,13600,13600,13600,13600,-,13200
31,05/08/2021,13600,13600,13600,13600,-,13200
32,06/08/2021,13600,13600,13600,13600,-,13200
33,09/08/2021,13600,13600,13600,13600,-,13200
34,10/08/2021,13600,13600,13600,13600,-,13200
35,11/08/2021,13600,13600,13600,13600,-,13200
36,12/08/2021,13600,13600,13600,13600,-,13200
37,13/08/2021,13600,13600,13600,13600,-,13200
38,16/08/2021,13600,13600,13600,13600,-,13200
39,17/08/2021,13600,13600,13600,13600,-,13200
40,18/08/2021,13600,13600,13600,13600,-,13200
41,19/08/2021,13600,13600,13600,13600,-,13200
42,20/08/2021,13600,13600,13600,13600,-,13200
43,23/08/2021,13600,13600,13600,13600,-,13200
44,24/08/2021,13600,13600,13600,13600,-,13200
45,25/08/2021,13600,13600,13600,13600,-,13200
46,26/08/2021,13600,13600,13600,13600,-,13200
47,27/08/2021,13600,13600,13600,13600,-,13200
48,30/08/2021,13600,13600,13600,13600,-,13200
49,31/08/2021,13600,13600,13600,13600,-,13200
50,01/09/2021,13600,13600,13600,13600,-,13200
51,06/09/2021,13600,13600,13600,13600,-,13200
52,07/09/2021,13600,13600,13600,13600,-,13200
53,08/09/2021,13600,13600,13600,13600,-,13200
54,09/09/2021,13600,13600,13600,13600,-,13200
55,10/09/2021,13600,13600,13600,13600,-,13200
56,13/09/2021,13600,13600,13600,13600,-,13200
57,14/09/2021,13600,13600,13600,13600,-,13200
58,15/09/2021,13600,13600,13600,13600,-,13200
59,16/09/2021,13600,13600,13600,13600,-,13200
60,17/09/2021,13600,13600,13600,13600,-,13200
61,20/09/2021,13600,13600,13600,13600,-,13200
62,21/09/2021,13600,13600,13600,13600,-,13200
63,22/09/2021,13600,13600,13600,13600,-,13200
64,23/09/2021,13600,13600,13600,13600,-,13200
65,24/09/2021,13600,13600,13600,13600,-,13200
66,27/09/2021,13600,13600,13600,13600,-,13200
67,28/09/2021,13600,13600,13600,13600,-,13200
68,29/09/2021,13600,13600,13600,13600,-,13200
69,30/09/2021,13600,13600,13600,13600,-,13200
70,01/10/2021,13600,13600,13600,13600,-,13200
71,04/10/2021,13600,13600,13600,13600,-,13200
72,05/10/2021,13600,13600,13600,13600,-,13200
73,06/10/2021,13600,13600,13600,13600,-,13200
74,07/10/2021,13200,13200,13200,13200,-,13200
75,08/10/2021,13200,13200,13200,13200,-,13200
76,11/10/2021,13200,13200,13200,13200,-,13200
77,12/10/2021,13200,13200,13200,13200,-,13200
78,13/10/2021,13200,13200,13200,13200,-,13200
79,14/10/2021,13200,13200,13200,13200,-,13200
80,15/10/2021,13200,13200,13200,13200,-,13200
81,18/10/2021,13200,13200,13200,13200,-,13200
82,19/10/2021,9200,9000,9200,9000,4000,9000
83,20/10/2021,9100,9100,9100,9100,-,9100
84,21/10/2021,9100,9100,9100,9100,-,9100
85,22/10/2021,9100,9100,9100,9100,-,9100
86,25/10/2021,9100,9100,9100,9100,-,9100
87,26/10/2021,9100,9100,9100,9100,-,9100
88,27/10/2021,9100,9100,9100,9100,-,9100
89,28/10/2021,9100,9100,9100,9100,-,9100
90,29/10/2021,9100,9100,9100,9100,-,9100
91,01/11/2021,9100,9100,9100,9100,-,9100
92,02/11/2021,9100,9100,9100,9100,-,9100
93,03/11/2021,9100,9100,9100,9100,-,9100
94,04/11/2021,9100,9100,9100,9100,-,9100
95,05/11/2021,9100,9100,9100,9100,-,9100
96,08/11/2021,9100,9100,9100,9100,-,9100
97,09/11/2021,9100,9100,9100,9100,-,9100
98,10/11/2021,9100,9100,9100,9100,-,9100
99,11/11/2021,9100,9100,9100,9100,-,9100
100,12/11/2021,9100,9100,9100,9100,-,9100
101,15/11/2021,9100,9100,9100,9100,-,9100
102,16/11/2021,9100,9100,9100,9100,-,9100
103,17/11/2021,9100,9100,9100,9100,-,9100
104,18/11/2021,9100,9100,9100,9100,-,9100
105,19/11/2021,9100,9100,9100,9100,-,9100
106,22/11/2021,9100,9100,9100,9100,-,9100
107,23/11/2021,9100,9100,9100,9100,-,9100
108,24/11/2021,9100,9100,9100,9100,-,9100
109,25/11/2021,9100,9100,9100,9100,-,9100
110,26/11/2021,9100,9100,9100,9100,-,9100
111,29/11/2021,9100,9100,9100,9100,-,9100
112,30/11/2021,9100,9100,9100,9100,-,9100
113,01/12/2021,9100,9100,9100,9100,-,9100
114,02/12/2021,9100,9100,9100,9100,-,9100
115,03/12/2021,9100,9100,9100,9100,-,9100
116,06/12/2021,9100,9100,9100,9100,-,9100
117,07/12/2021,9100,9100,9100,9100,-,9100
118,08/12/2021,9100,9100,9100,9100,-,9100
119,09/12/2021,9100,9100,9100,9100,-,9100
120,10/12/2021,9100,9100,9100,9100,-,9100
121,13/12/2021,9100,9100,9100,9100,-,9100
122,14/12/2021,9100,9100,9100,9100,-,9100
123,15/12/2021,9100,9100,9100,9100,-,9100
124,16/12/2021,9100,9100,9100,9100,-,9100
