,Date,High,Low,Open,Close,Volume,Adj Close
0,28/04/2022,14000,14000,14000,14000,5100,14000
1,29/04/2022,16100,16100,16100,16100,94900,16100
2,04/05/2022,18500,18500,18500,18500,5000,18500
3,05/05/2022,21200,21200,21200,21200,25400,21200
4,06/05/2022,24000,18100,21000,18500,41100,18500
5,09/05/2022,18400,16000,16000,16000,3000,16000
6,10/05/2022,18900,16000,16500,18900,16300,18900
7,11/05/2022,20000,15500,20000,18000,3600,18000
8,12/05/2022,17900,15500,15900,15500,9200,15500
9,13/05/2022,16500,13500,15500,16200,10000,16200
10,16/05/2022,16500,16400,16500,16400,4400,16400
11,17/05/2022,17000,14500,16400,16800,4100,16800
12,18/05/2022,15000,14600,14600,14800,3300,14800
13,19/05/2022,16100,16100,16100,16100,200,16100
14,20/05/2022,17000,13700,17000,16000,17200,16000
15,23/05/2022,14000,13900,14000,13900,1600,13900
16,24/05/2022,15500,13900,13900,15300,3000,15300
17,25/05/2022,15500,15300,15300,15500,400,15500
18,26/05/2022,15100,14100,14600,14800,1700,14800
19,27/05/2022,14800,13500,13500,14800,1100,14800
20,30/05/2022,14900,14900,14900,14900,100,14900
21,31/05/2022,14700,13100,14700,14500,12900,14500
22,01/06/2022,16800,14600,14700,15400,6800,15400
23,02/06/2022,14900,13800,13800,14800,300,14800
24,03/06/2022,14500,14500,14500,14500,-,14500
25,06/06/2022,16000,12800,14400,15900,24200,15900
26,07/06/2022,15800,15700,15800,15700,6000,15700
27,08/06/2022,15400,15400,15400,15400,600,15400
28,09/06/2022,15400,15400,15400,15400,3600,15400
29,10/06/2022,14900,13800,14500,14300,1132,14300
30,13/06/2022,14400,14400,14400,14400,107,14400
