,Date,High,Low,Open,Close,Volume,Adj Close
0,21/06/2021,29900,26800,26800,28000,1200,27100
1,22/06/2021,28300,28300,28300,28300,-,27400
2,23/06/2021,28300,28300,28300,28300,-,27400
3,24/06/2021,27000,25000,27000,25000,700,24200
4,25/06/2021,25600,25600,25600,25600,100,24800
5,28/06/2021,25700,25600,25700,25600,200,24800
6,29/06/2021,29000,29000,29000,29000,100,28000
7,30/06/2021,27500,27500,27500,27500,500,26600
8,01/07/2021,27500,27500,27500,27500,-,26600
9,02/07/2021,27500,27500,27500,27500,-,26600
10,05/07/2021,27500,27500,27500,27500,-,26600
11,06/07/2021,27500,27500,27500,27500,-,26600
12,07/07/2021,27500,27500,27500,27500,-,26600
13,08/07/2021,27500,27500,27500,27500,331206,26600
14,09/07/2021,27500,27500,27500,27500,-,26600
15,12/07/2021,27500,27500,27500,27500,-,26600
16,13/07/2021,27500,27500,27500,27500,-,26600
17,14/07/2021,27500,27500,27500,27500,-,26600
18,15/07/2021,27500,27500,27500,27500,100,26600
19,16/07/2021,27500,27500,27500,27500,-,26600
20,19/07/2021,27500,27500,27500,27500,-,26600
21,20/07/2021,27500,27500,27500,27500,-,26600
22,21/07/2021,27500,27500,27500,27500,-,26600
23,22/07/2021,27500,27500,27500,27500,-,26600
24,23/07/2021,29000,28000,28000,29000,400,28000
25,26/07/2021,28500,28500,28500,28500,-,27600
26,27/07/2021,28500,28500,28500,28500,300,27600
27,28/07/2021,28500,28500,28500,28500,-,27600
28,29/07/2021,28500,28500,28500,28500,-,27600
29,30/07/2021,27500,27500,27500,27500,100,26600
30,02/08/2021,27500,27500,27500,27500,-,26600
31,03/08/2021,27500,27500,27500,27500,-,26600
32,04/08/2021,27000,27000,27000,27000,200,26100
33,05/08/2021,27300,27300,27300,27300,400,26400
34,06/08/2021,27300,27300,27300,27300,-,26400
35,09/08/2021,27300,27300,27300,27300,-,26400
36,10/08/2021,31000,27000,27000,31000,500,30000
37,11/08/2021,29700,29700,29700,29700,500,28700
38,12/08/2021,29700,29700,29700,29700,-,28700
39,13/08/2021,29600,29600,29600,29600,100,28600
40,16/08/2021,29500,27000,29500,27000,900,26100
41,17/08/2021,27000,27000,27000,27000,300,26100
42,18/08/2021,27000,27000,27000,27000,-,26100
43,19/08/2021,27000,27000,27000,27000,-,26100
