,Date,High,Low,Open,Close,Volume,Adj Close
0,03/06/2021,9600,9600,9600,9600,-,9600
1,04/06/2021,9600,9600,9600,9600,-,9600
2,07/06/2021,9600,9600,9600,9600,-,9600
3,08/06/2021,9600,9600,9600,9600,-,9600
4,09/06/2021,9600,9600,9600,9600,-,9600
5,10/06/2021,9600,9600,9600,9600,-,9600
6,11/06/2021,9600,9600,9600,9600,-,9600
7,14/06/2021,9600,9600,9600,9600,-,9600
8,15/06/2021,9600,9600,9600,9600,-,9600
9,16/06/2021,9600,9600,9600,9600,-,9600
10,17/06/2021,9600,9600,9600,9600,-,9600
11,18/06/2021,8200,8200,8200,8200,1200,8200
12,21/06/2021,8100,8000,8000,8100,600,8100
13,22/06/2021,8000,8000,8000,8000,-,8000
14,23/06/2021,8000,8000,8000,8000,-,8000
15,24/06/2021,8000,8000,8000,8000,-,8000
16,25/06/2021,8000,8000,8000,8000,-,8000
17,28/06/2021,8000,8000,8000,8000,-,8000
18,29/06/2021,8000,8000,8000,8000,-,8000
19,30/06/2021,8000,8000,8000,8000,-,8000
20,01/07/2021,8000,8000,8000,8000,-,8000
21,02/07/2021,8300,8300,8300,8300,700,8300
22,05/07/2021,8300,8300,8300,8300,-,8300
23,06/07/2021,8300,8300,8300,8300,-,8300
24,07/07/2021,8300,8300,8300,8300,-,8300
25,08/07/2021,8300,8300,8300,8300,-,8300
26,09/07/2021,8300,8300,8300,8300,-,8300
27,12/07/2021,8300,8300,8300,8300,-,8300
28,13/07/2021,8300,8300,8300,8300,-,8300
29,14/07/2021,8300,8300,8300,8300,-,8300
30,15/07/2021,8300,8300,8300,8300,-,8300
31,16/07/2021,8300,8300,8300,8300,-,8300
32,19/07/2021,8300,8300,8300,8300,-,8300
33,20/07/2021,8300,8300,8300,8300,-,8300
34,21/07/2021,8300,8300,8300,8300,-,8300
35,22/07/2021,9400,9400,9400,9400,100,9400
36,23/07/2021,9400,9400,9400,9400,-,9400
37,26/07/2021,10600,10600,10600,10600,100,10600
38,27/07/2021,10600,10600,10600,10600,-,10600
39,28/07/2021,10600,10600,10600,10600,-,10600
40,29/07/2021,10600,10600,10600,10600,-,10600
41,30/07/2021,10600,10600,10600,10600,-,10600
42,02/08/2021,10600,10600,10600,10600,-,10600
43,03/08/2021,10600,10600,10600,10600,-,10600
44,04/08/2021,10600,10600,10600,10600,-,10600
45,05/08/2021,10600,10600,10600,10600,-,10600
46,06/08/2021,10600,10600,10600,10600,-,10600
47,09/08/2021,10600,10600,10600,10600,-,10600
48,10/08/2021,10600,10600,10600,10600,-,10600
49,11/08/2021,9100,9100,9100,9100,500,9100
50,12/08/2021,9100,9100,9100,9100,-,9100
51,13/08/2021,9100,9100,9100,9100,-,9100
52,16/08/2021,9100,9100,9100,9100,-,9100
53,17/08/2021,10300,10300,10300,10300,100,10300
54,18/08/2021,11400,8800,11400,8800,1100,8800
55,19/08/2021,9100,9100,9100,9100,-,9100
56,20/08/2021,9100,9100,9100,9100,-,9100
57,23/08/2021,9100,9100,9100,9100,-,9100
58,24/08/2021,9100,9100,9100,9100,-,9100
59,25/08/2021,9100,9100,9100,9100,-,9100
60,26/08/2021,9100,9100,9100,9100,-,9100
61,27/08/2021,8000,8000,8000,8000,600,8000
62,30/08/2021,8000,8000,8000,8000,-,8000
63,31/08/2021,8000,8000,8000,8000,-,8000
64,01/09/2021,8000,8000,8000,8000,-,8000
65,06/09/2021,8000,8000,8000,8000,-,8000
66,07/09/2021,8000,8000,8000,8000,-,8000
67,08/09/2021,8000,8000,8000,8000,-,8000
68,09/09/2021,8000,8000,8000,8000,-,8000
69,10/09/2021,8100,8100,8100,8100,100,8100
70,13/09/2021,8100,8100,8100,8100,-,8100
71,14/09/2021,8100,8100,8100,8100,-,8100
72,15/09/2021,8100,8100,8100,8100,-,8100
73,16/09/2021,8100,8100,8100,8100,-,8100
74,17/09/2021,8100,8100,8100,8100,-,8100
75,20/09/2021,8100,8100,8100,8100,-,8100
76,21/09/2021,8100,8100,8100,8100,-,8100
77,22/09/2021,8100,8100,8100,8100,-,8100
78,23/09/2021,8100,8100,8100,8100,-,8100
79,24/09/2021,8800,8800,8800,8800,200,8800
80,27/09/2021,8800,8800,8800,8800,-,8800
81,28/09/2021,8800,8800,8800,8800,-,8800
82,29/09/2021,8800,8800,8800,8800,-,8800
83,30/09/2021,8800,8800,8800,8800,-,8800
84,01/10/2021,8800,8800,8800,8800,-,8800
85,04/10/2021,8800,8800,8800,8800,-,8800
86,05/10/2021,8800,8800,8800,8800,-,8800
87,06/10/2021,9000,9000,9000,9000,500,9000
88,07/10/2021,9000,9000,9000,9000,-,9000
89,08/10/2021,9000,9000,9000,9000,-,9000
90,11/10/2021,9000,9000,9000,9000,-,9000
91,12/10/2021,9000,9000,9000,9000,-,9000
92,13/10/2021,9000,9000,9000,9000,-,9000
93,14/10/2021,8100,8100,8100,8100,100,8100
94,15/10/2021,8100,8100,8100,8100,-,8100
95,18/10/2021,8100,8100,8100,8100,-,8100
96,19/10/2021,8100,8100,8100,8100,-,8100
97,20/10/2021,8100,8100,8100,8100,-,8100
98,21/10/2021,8100,8100,8100,8100,-,8100
99,22/10/2021,8100,8100,8100,8100,-,8100
100,25/10/2021,8100,8100,8100,8100,-,8100
101,26/10/2021,8100,8100,8100,8100,-,8100
102,27/10/2021,8100,8100,8100,8100,-,8100
103,28/10/2021,8100,8100,8100,8100,-,8100
104,29/10/2021,8100,8100,8100,8100,1000,8100
105,01/11/2021,8100,8100,8100,8100,-,8100
106,02/11/2021,8100,8100,8100,8100,-,8100
107,03/11/2021,8900,8900,8900,8900,100,8900
108,04/11/2021,8900,8900,8900,8900,-,8900
109,05/11/2021,8900,8900,8900,8900,100,8900
110,08/11/2021,9000,8900,8900,9000,500,9000
111,09/11/2021,8900,8900,8900,8900,200,8900
112,10/11/2021,9000,9000,9000,9000,1800,9000
113,11/11/2021,8300,8300,8300,8300,400,8300
114,12/11/2021,8300,8300,8300,8300,-,8300
115,15/11/2021,8200,8100,8200,8100,200,8100
116,16/11/2021,8200,8200,8200,8200,-,8200
117,17/11/2021,8200,8200,8200,8200,-,8200
118,18/11/2021,8200,8200,8200,8200,-,8200
119,19/11/2021,9100,9000,9000,9100,300,9100
120,22/11/2021,9100,9100,9100,9100,-,9100
121,23/11/2021,9100,9100,9100,9100,-,9100
122,24/11/2021,9100,9100,9100,9100,-,9100
123,25/11/2021,9100,9100,9100,9100,-,9100
124,26/11/2021,9000,9000,9000,9000,500,9000
125,29/11/2021,10300,10300,10300,10300,700,10300
126,30/11/2021,10300,10300,10300,10300,-,10300
127,01/12/2021,11000,11000,11000,11000,200,11000
128,02/12/2021,11000,11000,11000,11000,-,11000
129,03/12/2021,11000,11000,11000,11000,-,11000
130,06/12/2021,11000,11000,11000,11000,-,11000
131,07/12/2021,10000,10000,10000,10000,200,10000
132,08/12/2021,10000,10000,10000,10000,-,10000
133,09/12/2021,10000,10000,10000,10000,-,10000
134,10/12/2021,10000,10000,10000,10000,-,10000
135,13/12/2021,10000,10000,10000,10000,-,10000
136,14/12/2021,10000,10000,10000,10000,-,10000
137,15/12/2021,10000,10000,10000,10000,-,10000
138,16/12/2021,10000,10000,10000,10000,-,10000
139,17/12/2021,10000,10000,10000,10000,-,10000
140,20/12/2021,10000,10000,10000,10000,-,10000
141,21/12/2021,10000,10000,10000,10000,-,10000
142,22/12/2021,10000,10000,10000,10000,-,10000
143,23/12/2021,10000,10000,10000,10000,-,10000
144,24/12/2021,10000,10000,10000,10000,-,10000
