,Date,High,Low,Open,Close,Volume,Adj Close
0,07/06/2021,9800,9600,9600,9800,4600,9100
1,08/06/2021,9800,9600,9600,9800,13100,9100
2,09/06/2021,9800,9800,9800,9800,12000,9100
3,10/06/2021,9800,9800,9800,9800,900,9100
4,11/06/2021,9800,9700,9700,9800,2400,9100
5,14/06/2021,9800,9600,9700,9800,18100,9100
6,15/06/2021,9800,9700,9700,9800,5700,9100
7,16/06/2021,9800,9700,9700,9800,10200,9100
8,17/06/2021,9800,9800,9800,9800,500,9100
9,18/06/2021,9800,9600,9700,9800,8900,9100
10,21/06/2021,9900,9700,9700,9900,1500,9100
11,22/06/2021,9800,9800,9800,9800,16400,9100
12,23/06/2021,9900,9800,9900,9900,1200,9100
13,24/06/2021,9800,9800,9800,9800,-,9100
14,25/06/2021,9800,9800,9800,9800,-,9100
15,28/06/2021,9900,9700,9800,9900,13100,9100
16,29/06/2021,9900,9700,9900,9800,3100,9100
17,30/06/2021,9800,9300,9700,9800,1900,9100
18,01/07/2021,9800,9800,9800,9800,100,9100
19,02/07/2021,9800,9800,9800,9800,-,9100
20,05/07/2021,9800,9800,9800,9800,-,9100
21,06/07/2021,9800,9800,9800,9800,100,9100
22,07/07/2021,9800,9700,9700,9800,1500,9100
23,08/07/2021,9900,9700,9700,9900,10500,9100
24,09/07/2021,9700,9700,9700,9700,3000,9000
25,12/07/2021,9800,9100,9800,9800,3900,9100
26,13/07/2021,9800,9800,9800,9800,100,9100
27,14/07/2021,9800,9500,9800,9800,6601,9100
28,15/07/2021,9700,9600,9600,9700,9700,9000
29,16/07/2021,9800,9600,9600,9700,8700,9000
30,19/07/2021,9700,9700,9700,9700,-,9000
31,20/07/2021,9800,9600,9600,9800,3400,9100
32,21/07/2021,10000,9800,9800,10000,3600,9200
33,22/07/2021,10100,10000,10000,10100,1200,9300
34,23/07/2021,11500,9900,9900,11500,5200,10600
35,26/07/2021,10300,9500,10300,10100,7800,9300
36,27/07/2021,11100,9700,9700,11100,2700,10300
37,28/07/2021,10500,10500,10500,10500,100,9700
38,29/07/2021,10500,10500,10500,10500,-,9700
39,30/07/2021,12000,10500,10500,10900,4900,10100
