,Date,High,Low,Open,Close,Volume,Adj Close
0,15/06/2021,22000,22000,22000,22000,-,18600
1,16/06/2021,22000,22000,22000,22000,-,18600
2,17/06/2021,18700,18700,18700,18700,100,15800
3,18/06/2021,16000,16000,16000,16000,100,13500
4,21/06/2021,13700,13700,13700,13700,200,11600
5,22/06/2021,13700,13700,13700,13700,2875,11600
6,23/06/2021,13700,13700,13700,13700,-,11600
7,24/06/2021,13700,13700,13700,13700,400,11600
8,25/06/2021,13700,13700,13700,13700,-,11600
9,28/06/2021,13700,13700,13700,13700,-,11600
10,29/06/2021,13700,13700,13700,13700,-,11600
11,30/06/2021,13700,13700,13700,13700,-,11600
12,01/07/2021,13700,13700,13700,13700,-,11600
13,02/07/2021,13700,13700,13700,13700,-,11600
14,05/07/2021,13700,13700,13700,13700,-,11600
15,06/07/2021,13700,13700,13700,13700,-,11600
16,07/07/2021,13700,13700,13700,13700,-,11600
17,08/07/2021,13700,13700,13700,13700,-,11600
18,09/07/2021,13700,13700,13700,13700,-,11600
19,12/07/2021,13700,13700,13700,13700,-,11600
20,13/07/2021,13700,13700,13700,13700,-,11600
21,14/07/2021,13700,13700,13700,13700,-,11600
22,15/07/2021,13700,13700,13700,13700,-,11600
23,16/07/2021,13700,13700,13700,13700,-,11600
24,19/07/2021,13700,13700,13700,13700,-,11600
25,20/07/2021,13700,13700,13700,13700,-,11600
26,21/07/2021,13700,13700,13700,13700,-,11600
27,22/07/2021,13700,13700,13700,13700,-,11600
28,23/07/2021,13700,13700,13700,13700,-,11600
29,26/07/2021,13700,13700,13700,13700,-,11600
30,27/07/2021,13700,13700,13700,13700,-,11600
31,28/07/2021,13700,13700,13700,13700,-,11600
32,29/07/2021,13800,13800,13800,13800,30000,11700
33,30/07/2021,13800,13800,13800,13800,-,11700
34,02/08/2021,13800,13800,13800,13800,-,11700
35,03/08/2021,13800,13800,13800,13800,-,11700
36,04/08/2021,13800,13800,13800,13800,-,11700
37,05/08/2021,15800,15800,15800,15800,100,13300
38,06/08/2021,15800,15800,15800,15800,-,13300
39,09/08/2021,14300,14300,14300,14300,-,13300
40,10/08/2021,16400,16400,16400,16400,100,15300
41,11/08/2021,18800,18800,18800,18800,100,17500
42,12/08/2021,18800,18800,18800,18800,-,17500
43,13/08/2021,18800,18800,18800,18800,-,17500
44,16/08/2021,21600,21600,21600,21600,100,20200
45,17/08/2021,24800,24800,24800,24800,600,23100
46,18/08/2021,24800,24800,24800,24800,-,23100
47,19/08/2021,24800,24800,24800,24800,500,23100
48,20/08/2021,24800,24800,24800,24800,-,23100
49,23/08/2021,24800,24800,24800,24800,-,23100
50,24/08/2021,28300,28300,28300,28300,600,26400
51,25/08/2021,28300,28300,28300,28300,-,26400
52,26/08/2021,28300,28300,28300,28300,-,26400
53,27/08/2021,28300,28300,28300,28300,-,26400
54,30/08/2021,28300,28300,28300,28300,-,26400
55,31/08/2021,28300,28300,28300,28300,-,26400
56,01/09/2021,32500,32400,32500,32400,3600,30200
57,06/09/2021,32400,32400,32400,32400,-,30200
58,07/09/2021,35500,35500,35500,35500,100,33100
59,08/09/2021,35500,35500,35500,35500,1000,33100
60,09/09/2021,35500,35500,35500,35500,-,33100
61,10/09/2021,35500,35500,35500,35500,-,33100
62,13/09/2021,35500,35500,35500,35500,-,33100
