,Date,High,Low,Open,Close,Volume,Adj Close
0,03/06/2021,10000,10000,10000,10000,400,9900
1,04/06/2021,10000,10000,10000,10000,-,9900
2,07/06/2021,8800,8800,8800,8800,2000,8700
3,08/06/2021,8800,8800,8800,8800,-,8700
4,09/06/2021,9000,8800,8800,9000,200,8900
5,10/06/2021,9400,9400,9400,9400,1200,9400
6,11/06/2021,9400,9400,9400,9400,800,9400
7,14/06/2021,9400,9400,9400,9400,-,9400
8,15/06/2021,9400,8600,9400,9400,1800,9400
9,16/06/2021,9400,9400,9400,9400,600,9400
10,17/06/2021,8800,8800,8800,8800,100,8800
11,18/06/2021,9400,9400,9400,9400,800,9400
12,21/06/2021,9400,9400,9400,9400,-,9400
13,22/06/2021,9000,8700,8800,9000,2600,9000
14,23/06/2021,8600,8600,8600,8600,200,8600
15,24/06/2021,8600,8600,8600,8600,-,8600
16,25/06/2021,8600,8600,8600,8600,10,8600
17,28/06/2021,9000,9000,9000,9000,300,9000
18,29/06/2021,9000,9000,9000,9000,40,9000
19,30/06/2021,9000,9000,9000,9000,-,9000
20,01/07/2021,9000,9000,9000,9000,-,9000
21,02/07/2021,9000,9000,9000,9000,-,9000
22,05/07/2021,9000,9000,9000,9000,-,9000
23,06/07/2021,9200,9200,9200,9200,4000,9200
24,07/07/2021,9200,9200,9200,9200,-,9200
25,08/07/2021,9200,9200,9200,9200,-,9200
26,09/07/2021,8800,8800,8800,8800,100,8800
27,12/07/2021,8600,8300,8600,8300,1700,8300
28,13/07/2021,8400,8400,8400,8400,200,8400
29,14/07/2021,8400,8400,8400,8400,-,8400
30,15/07/2021,8400,8400,8400,8400,-,8400
31,16/07/2021,8400,8400,8400,8400,-,8400
32,19/07/2021,8400,8400,8400,8400,-,8400
33,20/07/2021,8400,8400,8400,8400,-,8400
34,21/07/2021,8400,8400,8400,8400,-,8400
35,22/07/2021,8400,8400,8400,8400,-,8400
36,23/07/2021,8400,8400,8400,8400,-,8400
37,26/07/2021,8800,8800,8800,8800,100,8800
38,27/07/2021,8800,8800,8800,8800,-,8800
39,28/07/2021,9000,9000,9000,9000,100,9000
40,29/07/2021,9000,9000,9000,9000,506,9000
41,30/07/2021,9000,9000,9000,9000,-,9000
42,02/08/2021,8900,8600,8600,8900,200,8900
43,03/08/2021,8600,8000,8600,8000,300,8000
44,04/08/2021,8400,8400,8400,8400,-,8400
45,05/08/2021,9000,9000,9000,9000,500,9000
46,06/08/2021,10300,9400,9400,10300,700,10300
47,09/08/2021,9600,9600,9600,9600,-,9600
48,10/08/2021,10200,10100,10100,10200,234,10200
49,11/08/2021,9000,9000,9000,9000,100,9000
50,12/08/2021,10300,10300,10300,10300,100,10300
51,13/08/2021,10300,10300,10300,10300,-,10300
52,16/08/2021,9000,9000,9000,9000,600,9000
53,17/08/2021,9000,9000,9000,9000,-,9000
54,18/08/2021,10000,9000,9000,10000,600,10000
55,19/08/2021,8600,8600,8600,8600,300,8600
56,20/08/2021,8600,8600,8600,8600,100,8600
57,23/08/2021,8600,8600,8600,8600,-,8600
58,24/08/2021,9000,8200,9000,8200,400,8200
59,25/08/2021,8500,8500,8500,8500,-,8500
60,26/08/2021,8500,8500,8500,8500,83,8500
61,27/08/2021,9000,9000,9000,9000,300,9000
62,30/08/2021,9000,9000,9000,9000,100,9000
63,31/08/2021,9000,9000,9000,9000,-,9000
64,01/09/2021,9000,9000,9000,9000,-,9000
65,06/09/2021,9000,9000,9000,9000,100,9000
66,07/09/2021,8900,8900,8900,8900,100,8900
67,08/09/2021,8900,8900,8900,8900,-,8900
68,09/09/2021,8600,8600,8600,8600,400,8600
69,10/09/2021,8600,8600,8600,8600,-,8600
70,13/09/2021,8600,8600,8600,8600,-,8600
71,14/09/2021,8900,8900,8900,8900,100,8900
72,15/09/2021,8900,8600,8600,8900,200,8900
73,16/09/2021,8800,8800,8800,8800,1300,8800
74,17/09/2021,9200,9000,9000,9200,1200,9200
75,20/09/2021,10000,8600,9100,9000,6800,9000
76,21/09/2021,10300,8800,10300,9900,10600,9900
77,22/09/2021,10200,9500,10200,9500,400,9500
78,23/09/2021,10200,8800,9400,9800,3000,9800
79,24/09/2021,9500,9500,9500,9500,100,9500
80,27/09/2021,10600,10000,10600,10000,350,10000
81,28/09/2021,10000,8700,8700,10000,1300,10000
82,29/09/2021,9400,9400,9400,9400,33,9400
83,30/09/2021,9900,8800,9900,9900,400,9900
84,01/10/2021,9600,9600,9600,9600,-,9600
85,04/10/2021,9900,8300,8700,9900,3000,9900
86,05/10/2021,8900,8900,8900,8900,4000,8900
87,06/10/2021,9000,8700,8900,8900,3500,8900
88,07/10/2021,8800,8600,8800,8800,400,8800
89,08/10/2021,9000,8600,8600,9000,700,9000
90,11/10/2021,8900,8600,8600,8900,1700,8900
91,12/10/2021,8800,8800,8800,8800,400,8800
92,13/10/2021,8900,8900,8900,8900,350,8900
93,14/10/2021,8900,8900,8900,8900,1300,8900
94,15/10/2021,9000,8900,8900,9000,3500,9000
95,18/10/2021,9000,9000,9000,9000,4200,9000
96,19/10/2021,9000,9000,9000,9000,700,9000
97,20/10/2021,9000,9000,9000,9000,100,9000
98,21/10/2021,9100,9000,9000,9100,600,9100
99,22/10/2021,9100,9000,9000,9100,300,9100
100,25/10/2021,9100,9000,9100,9000,1300,9000
101,26/10/2021,9200,9000,9000,9200,900,9200
102,27/10/2021,9800,9400,9800,9400,300,9400
103,28/10/2021,9700,9700,9700,9700,-,9700
104,29/10/2021,8800,8800,8800,8800,1000,8800
105,01/11/2021,9300,9000,9300,9000,2300,9000
106,02/11/2021,9400,9000,9000,9400,4600,9400
107,03/11/2021,9400,8800,9200,9000,3250,9000
108,04/11/2021,9100,9000,9100,9000,1400,9000
109,05/11/2021,9000,9000,9000,9000,-,9000
110,08/11/2021,9000,9000,9000,9000,-,9000
111,09/11/2021,9400,8900,8900,9000,4500,9000
112,10/11/2021,9000,8900,9000,8900,3100,8900
113,11/11/2021,9100,9000,9100,9000,3500,9000
114,12/11/2021,9000,9000,9000,9000,800,9000
115,15/11/2021,9300,9000,9000,9300,2820,9300
116,16/11/2021,9500,9200,9200,9500,3620,9500
117,17/11/2021,10000,9600,9600,10000,4801,10000
118,18/11/2021,10000,9900,10000,10000,1009,10000
119,19/11/2021,10000,9900,10000,9900,18600,9900
120,22/11/2021,10000,9800,9900,9800,2600,9800
121,23/11/2021,10200,10000,10000,10200,1000,10200
122,24/11/2021,10000,9000,10000,9000,6800,9000
123,25/11/2021,9100,9000,9000,9100,4900,9100
124,26/11/2021,9900,9800,9900,9800,467,9800
125,29/11/2021,9900,9000,9000,9100,5400,9100
126,30/11/2021,9400,9400,9400,9400,700,9400
127,01/12/2021,9400,9000,9100,9400,4100,9400
128,02/12/2021,9400,9000,9000,9400,3900,9400
129,03/12/2021,10000,9400,9400,9500,5100,9500
130,06/12/2021,10000,9500,9500,9600,4100,9600
131,07/12/2021,9500,9200,9500,9500,942,9500
132,08/12/2021,9900,9400,9800,9400,5000,9400
133,09/12/2021,9400,9000,9400,9400,2400,9400
134,10/12/2021,10000,9400,9600,9400,800,9400
135,13/12/2021,9400,9400,9400,9400,2800,9400
136,14/12/2021,9400,9400,9400,9400,1100,9400
137,15/12/2021,9400,9400,9400,9400,2900,9400
138,16/12/2021,9500,9400,9500,9400,4000,9400
139,17/12/2021,9400,9400,9400,9400,4310,9400
140,20/12/2021,10000,9400,9500,9900,19800,9900
141,21/12/2021,11200,9500,9500,10700,1823,10700
142,22/12/2021,11500,11500,11500,11500,1023,11500
143,23/12/2021,10000,9800,9800,10000,17500,10000
144,24/12/2021,11200,10000,10000,11100,1900,11100
145,27/12/2021,9700,9700,9700,9700,1000,9700
146,28/12/2021,10500,9500,10500,9600,6047,9600
147,29/12/2021,9800,9500,9800,9500,3830,9500
148,30/12/2021,9600,9500,9500,9600,5100,9600
149,31/12/2021,9600,9400,9600,9400,2900,9400
150,04/01/2022,9500,9300,9500,9300,3110,9300
151,05/01/2022,10000,9300,9400,9400,10700,9400
152,06/01/2022,10000,9800,10000,9900,3807,9900
153,07/01/2022,10000,9800,9800,10000,1000,10000
154,10/01/2022,10400,9900,9900,10000,2370,10000
155,11/01/2022,9900,9800,9900,9900,400,9900
156,12/01/2022,9900,9900,9900,9900,-,9900
157,13/01/2022,9800,9700,9800,9700,1600,9700
158,14/01/2022,9900,9800,9800,9800,5570,9800
159,17/01/2022,9700,9700,9700,9700,1000,9700
160,18/01/2022,10100,9200,9300,10100,1600,10100
161,19/01/2022,9300,9000,9000,9300,5647,9300
162,20/01/2022,9300,9300,9300,9300,-,9300
163,21/01/2022,9500,9500,9500,9500,200,9500
164,24/01/2022,9800,9200,9800,9200,450,9200
165,25/01/2022,9500,9500,9500,9500,-,9500
166,26/01/2022,9600,9600,9600,9600,300,9600
167,27/01/2022,9600,9600,9600,9600,10,9600
168,28/01/2022,9300,8300,9300,8300,1200,8300
169,07/02/2022,9100,9100,9100,9100,220,9100
170,08/02/2022,9900,9200,9200,9500,4200,9500
171,09/02/2022,9500,9500,9500,9500,100,9500
172,10/02/2022,9600,9500,9500,9500,6300,9500
173,11/02/2022,9500,9500,9500,9500,450,9500
174,14/02/2022,10200,9500,9500,9600,1400,9600
175,15/02/2022,9800,9600,9800,9600,500,9600
176,16/02/2022,9600,9600,9600,9600,400,9600
177,17/02/2022,9600,9600,9600,9600,-,9600
178,18/02/2022,9800,9800,9800,9800,1300,9800
179,21/02/2022,9900,9800,9800,9800,1300,9800
180,22/02/2022,9800,9800,9800,9800,-,9800
181,23/02/2022,9800,9800,9800,9800,-,9800
182,24/02/2022,9400,9100,9300,9300,700,9300
183,25/02/2022,10300,9400,9800,9400,3693,9400
184,28/02/2022,9300,9200,9300,9200,500,9200
185,01/03/2022,10000,9300,9500,10000,3800,10000
186,02/03/2022,9800,9300,9400,9800,1100,9800
187,03/03/2022,9700,9400,9700,9400,1200,9400
188,04/03/2022,9700,9500,9500,9700,300,9700
189,07/03/2022,9900,9300,9500,9800,4900,9800
