,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,3100,3100,3100,3100,-,3100
1,18/06/2021,3200,3200,3200,3200,500,3200
2,21/06/2021,3200,3200,3200,3200,-,3200
3,22/06/2021,3200,3200,3200,3200,-,3200
4,23/06/2021,3200,3200,3200,3200,-,3200
5,24/06/2021,3200,3200,3200,3200,-,3200
6,25/06/2021,3200,3200,3200,3200,-,3200
7,28/06/2021,3200,3200,3200,3200,-,3200
8,29/06/2021,3200,3200,3200,3200,-,3200
9,30/06/2021,3200,3200,3200,3200,-,3200
10,01/07/2021,3200,3200,3200,3200,-,3200
11,02/07/2021,3600,3300,3600,3300,8200,3300
12,05/07/2021,3500,3500,3500,3500,-,3500
13,06/07/2021,3500,3500,3500,3500,-,3500
14,07/07/2021,3500,3500,3500,3500,-,3500
15,08/07/2021,3500,3500,3500,3500,-,3500
16,09/07/2021,3300,3300,3300,3300,500,3300
17,12/07/2021,3300,3300,3300,3300,-,3300
18,13/07/2021,3300,3300,3300,3300,-,3300
19,14/07/2021,3300,3300,3300,3300,-,3300
20,15/07/2021,3300,3300,3300,3300,-,3300
21,16/07/2021,3300,3300,3300,3300,-,3300
22,19/07/2021,3300,3300,3300,3300,-,3300
23,20/07/2021,3300,3300,3300,3300,-,3300
24,21/07/2021,3300,3300,3300,3300,-,3300
25,22/07/2021,3300,3300,3300,3300,-,3300
26,23/07/2021,3500,3400,3400,3500,1200,3500
27,26/07/2021,3500,3500,3500,3500,-,3500
28,27/07/2021,3500,3500,3500,3500,-,3500
29,28/07/2021,3500,3500,3500,3500,-,3500
30,29/07/2021,3500,3500,3500,3500,-,3500
31,30/07/2021,3600,3600,3600,3600,12600,3600
32,02/08/2021,3600,3600,3600,3600,-,3600
33,03/08/2021,3600,3600,3600,3600,-,3600
34,04/08/2021,3600,3600,3600,3600,-,3600
35,05/08/2021,3600,3600,3600,3600,-,3600
36,06/08/2021,3600,3600,3600,3600,-,3600
37,09/08/2021,3600,3600,3600,3600,-,3600
38,10/08/2021,3600,3600,3600,3600,-,3600
39,11/08/2021,3600,3600,3600,3600,-,3600
40,12/08/2021,3600,3600,3600,3600,-,3600
