,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,6000,6000,6000,6000,-,6000
1,18/06/2021,6000,6000,6000,6000,-,6000
2,21/06/2021,6000,6000,6000,6000,-,6000
3,22/06/2021,6000,6000,6000,6000,-,6000
4,23/06/2021,5100,5100,5100,5100,100,5100
5,24/06/2021,5100,5100,5100,5100,-,5100
6,25/06/2021,5100,5100,5100,5100,-,5100
7,28/06/2021,5100,5100,5100,5100,-,5100
8,29/06/2021,5100,5100,5100,5100,-,5100
9,30/06/2021,5100,5100,5100,5100,-,5100
10,01/07/2021,5800,5800,5800,5800,200,5800
11,02/07/2021,6600,6500,6600,6500,187034,6500
12,05/07/2021,6500,6500,6500,6500,-,6500
13,06/07/2021,6500,6500,6500,6500,-,6500
14,07/07/2021,6500,6500,6500,6500,-,6500
15,08/07/2021,6500,6500,6500,6500,-,6500
16,09/07/2021,6500,6500,6500,6500,-,6500
17,12/07/2021,6000,6000,6000,6000,600,6000
18,13/07/2021,6000,6000,6000,6000,200,6000
19,14/07/2021,6000,6000,6000,6000,-,6000
20,15/07/2021,6000,6000,6000,6000,-,6000
21,16/07/2021,6000,6000,6000,6000,200,6000
22,19/07/2021,6000,6000,6000,6000,-,6000
23,20/07/2021,6000,6000,6000,6000,-,6000
24,21/07/2021,6000,6000,6000,6000,-,6000
25,22/07/2021,6000,6000,6000,6000,-,6000
26,23/07/2021,6000,6000,6000,6000,-,6000
27,26/07/2021,6000,6000,6000,6000,-,6000
28,27/07/2021,6000,6000,6000,6000,-,6000
29,28/07/2021,6000,6000,6000,6000,-,6000
30,29/07/2021,6000,6000,6000,6000,-,6000
31,30/07/2021,6000,6000,6000,6000,-,6000
32,02/08/2021,6000,6000,6000,6000,-,6000
33,03/08/2021,6000,6000,6000,6000,-,6000
34,04/08/2021,6000,6000,6000,6000,-,6000
35,05/08/2021,6000,6000,6000,6000,-,6000
36,06/08/2021,6000,6000,6000,6000,-,6000
37,09/08/2021,6000,6000,6000,6000,-,6000
38,10/08/2021,6000,6000,6000,6000,-,6000
39,11/08/2021,6000,6000,6000,6000,-,6000
40,12/08/2021,6000,6000,6000,6000,-,6000
41,13/08/2021,6000,6000,6000,6000,-,6000
42,16/08/2021,6000,6000,6000,6000,-,6000
43,17/08/2021,6000,6000,6000,6000,-,6000
44,18/08/2021,6000,6000,6000,6000,-,6000
45,19/08/2021,6000,6000,6000,6000,-,6000
46,20/08/2021,6000,6000,6000,6000,-,6000
47,23/08/2021,6000,6000,6000,6000,-,6000
48,24/08/2021,6000,6000,6000,6000,-,6000
49,25/08/2021,6000,6000,6000,6000,-,6000
50,26/08/2021,6000,6000,6000,6000,-,6000
51,27/08/2021,6000,6000,6000,6000,-,6000
52,30/08/2021,6000,6000,6000,6000,-,6000
53,31/08/2021,6000,6000,6000,6000,-,6000
54,01/09/2021,6000,6000,6000,6000,-,6000
55,06/09/2021,6000,6000,6000,6000,-,6000
56,07/09/2021,6000,6000,6000,6000,-,6000
57,08/09/2021,6000,6000,6000,6000,-,6000
58,09/09/2021,6000,6000,6000,6000,-,6000
59,10/09/2021,6000,6000,6000,6000,-,6000
60,13/09/2021,6000,6000,6000,6000,-,6000
61,14/09/2021,6000,6000,6000,6000,-,6000
62,15/09/2021,6000,6000,6000,6000,-,6000
63,16/09/2021,8400,8400,8400,8400,100,8400
64,17/09/2021,7200,7200,7200,7200,300,7200
65,20/09/2021,7000,7000,7000,7000,100,7000
66,21/09/2021,6500,6500,6500,6500,100,6500
67,22/09/2021,7400,7400,7400,7400,300,7400
68,23/09/2021,7400,7400,7400,7400,-,7400
69,24/09/2021,7400,7400,7400,7400,-,7400
70,27/09/2021,7400,7400,7400,7400,-,7400
71,28/09/2021,7400,7400,7400,7400,-,7400
72,29/09/2021,6300,6300,6300,6300,700,6300
73,30/09/2021,6300,6300,6300,6300,30,6300
74,01/10/2021,6300,6300,6300,6300,-,6300
75,04/10/2021,6300,6300,6300,6300,-,6300
76,05/10/2021,6300,6300,6300,6300,-,6300
77,06/10/2021,6300,6300,6300,6300,-,6300
78,07/10/2021,6300,6300,6300,6300,-,6300
79,08/10/2021,6300,6300,6300,6300,-,6300
80,11/10/2021,5500,5500,5500,5500,600,5500
81,12/10/2021,5500,5500,5500,5500,-,5500
82,13/10/2021,5500,5500,5500,5500,-,5500
83,14/10/2021,5500,5500,5500,5500,-,5500
84,15/10/2021,6000,6000,6000,6000,500,6000
85,18/10/2021,6000,6000,6000,6000,-,6000
86,19/10/2021,6000,6000,6000,6000,-,6000
87,20/10/2021,6000,6000,6000,6000,-,6000
88,21/10/2021,6000,6000,6000,6000,-,6000
89,22/10/2021,6000,6000,6000,6000,400,6000
90,25/10/2021,6000,6000,6000,6000,1,6000
91,26/10/2021,6000,6000,6000,6000,200,6000
92,27/10/2021,6000,5100,5100,6000,400,6000
93,28/10/2021,6600,5200,5200,6600,600,6600
94,29/10/2021,6600,6600,6600,6600,128,6600
95,01/11/2021,5700,5700,5700,5700,100,5700
96,02/11/2021,6500,5800,6500,5800,200,5800
97,03/11/2021,7100,6200,6200,7100,228,7100
98,04/11/2021,7500,7000,7000,7500,300,7500
99,05/11/2021,8200,6200,6200,8200,1200,8200
100,08/11/2021,7200,7200,7200,7200,1000,7200
101,09/11/2021,7200,7200,7200,7200,-,7200
102,10/11/2021,7200,7200,7200,7200,-,7200
103,11/11/2021,7300,6600,6600,7300,1000,7300
104,12/11/2021,7200,7200,7200,7200,100,7200
105,15/11/2021,7200,7200,7200,7200,-,7200
106,16/11/2021,6700,6500,6600,6500,12800,6500
107,17/11/2021,6600,6600,6600,6600,-,6600
