,Date,High,Low,Open,Close,Volume,Adj Close
0,21/06/2021,12000,12000,12000,12000,-,12000
1,22/06/2021,12000,12000,12000,12000,-,12000
2,23/06/2021,12000,12000,12000,12000,-,12000
3,24/06/2021,12000,12000,12000,12000,-,12000
4,25/06/2021,12000,10200,10200,12000,10500,12000
5,28/06/2021,12000,12000,12000,12000,-,12000
6,29/06/2021,12000,12000,12000,12000,-,12000
7,30/06/2021,12000,12000,12000,12000,-,12000
8,01/07/2021,12000,12000,12000,12000,-,12000
9,02/07/2021,12000,12000,12000,12000,1000,12000
10,05/07/2021,12000,12000,12000,12000,-,12000
11,06/07/2021,12000,12000,12000,12000,-,12000
12,07/07/2021,12000,12000,12000,12000,-,12000
13,08/07/2021,12000,12000,12000,12000,-,12000
14,09/07/2021,12000,12000,12000,12000,-,12000
15,12/07/2021,12000,12000,12000,12000,-,12000
16,13/07/2021,12000,12000,12000,12000,-,12000
17,14/07/2021,12000,12000,12000,12000,-,12000
18,15/07/2021,12000,12000,12000,12000,-,12000
19,16/07/2021,12000,12000,12000,12000,-,12000
20,19/07/2021,12000,12000,12000,12000,-,12000
21,20/07/2021,12000,12000,12000,12000,-,12000
22,21/07/2021,12000,12000,12000,12000,-,12000
23,22/07/2021,12000,12000,12000,12000,-,12000
24,23/07/2021,13000,12000,12000,13000,3200,13000
25,26/07/2021,12500,12500,12500,12500,-,12500
26,27/07/2021,12500,12500,12500,12500,-,12500
27,28/07/2021,12500,12500,12500,12500,-,12500
28,29/07/2021,12500,12500,12500,12500,-,12500
29,30/07/2021,12500,12500,12500,12500,-,12500
30,02/08/2021,12500,12500,12500,12500,-,12500
31,03/08/2021,12500,12500,12500,12500,-,12500
32,04/08/2021,12500,12500,12500,12500,-,12500
33,05/08/2021,12500,12500,12500,12500,-,12500
34,06/08/2021,12800,12200,12500,12200,13700,12200
35,09/08/2021,12500,12500,12500,12500,-,12500
36,10/08/2021,12500,12500,12500,12500,-,12500
37,11/08/2021,12500,12500,12500,12500,-,12500
38,12/08/2021,12500,12500,12500,12500,-,12500
39,13/08/2021,12500,12500,12500,12500,-,12500
40,16/08/2021,12500,12500,12500,12500,-,12500
41,17/08/2021,12500,12500,12500,12500,-,12500
42,18/08/2021,12500,12500,12500,12500,-,12500
43,19/08/2021,12500,12500,12500,12500,-,12500
44,20/08/2021,12500,12500,12500,12500,1,12500
45,23/08/2021,12500,12500,12500,12500,-,12500
46,24/08/2021,12500,12500,12500,12500,-,12500
47,25/08/2021,12500,12500,12500,12500,-,12500
48,26/08/2021,12500,12500,12500,12500,-,12500
49,27/08/2021,12500,12500,12500,12500,-,12500
50,30/08/2021,12500,12500,12500,12500,-,12500
51,31/08/2021,12500,12500,12500,12500,-,12500
52,01/09/2021,12500,12500,12500,12500,-,12500
53,06/09/2021,12500,12500,12500,12500,-,12500
54,07/09/2021,12500,12500,12500,12500,-,12500
55,08/09/2021,12500,12500,12500,12500,-,12500
56,09/09/2021,12500,12500,12500,12500,-,12500
57,10/09/2021,12500,12500,12500,12500,-,12500
58,13/09/2021,12500,12500,12500,12500,-,12500
59,14/09/2021,12500,12500,12500,12500,-,12500
60,15/09/2021,12500,12500,12500,12500,-,12500
61,16/09/2021,12500,12500,12500,12500,-,12500
62,17/09/2021,12500,12500,12500,12500,-,12500
