,Date,High,Low,Open,Close,Volume,Adj Close
0,03/06/2021,4800,4800,4800,4800,-,3100
1,04/06/2021,4800,4800,4800,4800,-,3100
2,07/06/2021,5500,5500,5500,5500,100,3600
3,08/06/2021,5500,5500,5500,5500,-,3600
4,09/06/2021,5500,5500,5500,5500,-,3600
5,10/06/2021,6300,6300,6300,6300,100,4100
6,11/06/2021,7200,7200,7200,7200,100,4700
7,14/06/2021,7200,7200,7200,7200,-,4700
8,15/06/2021,7200,7200,7200,7200,-,4700
9,16/06/2021,7200,7200,7200,7200,100,4700
10,17/06/2021,7200,7200,7200,7200,-,4700
11,18/06/2021,8200,8200,8200,8200,7200,5300
12,21/06/2021,8200,8200,8200,8200,20000,5300
13,22/06/2021,7000,7000,7000,7000,100,4600
14,23/06/2021,7000,7000,7000,7000,-,4600
15,24/06/2021,7000,7000,7000,7000,20000,4600
16,25/06/2021,7500,7500,7500,7500,400,4900
17,28/06/2021,7500,7500,7500,7500,-,4900
18,29/06/2021,6500,6500,6500,6500,100,4200
19,30/06/2021,6500,6500,6500,6500,-,4200
20,01/07/2021,6500,6500,6500,6500,-,4200
21,02/07/2021,6500,6500,6500,6500,-,4200
22,05/07/2021,6500,6500,6500,6500,-,4200
23,06/07/2021,5600,5600,5600,5600,100,3700
24,07/07/2021,5600,5600,5600,5600,-,3700
25,08/07/2021,5600,5600,5600,5600,-,3700
26,09/07/2021,5600,5600,5600,5600,-,3700
27,12/07/2021,5600,5600,5600,5600,-,3700
28,13/07/2021,5600,5600,5600,5600,-,3700
29,14/07/2021,5600,5600,5600,5600,-,3700
30,15/07/2021,5600,5600,5600,5600,-,3700
31,16/07/2021,5600,5600,5600,5600,-,3700
32,19/07/2021,5600,5600,5600,5600,-,3700
33,20/07/2021,5600,5600,5600,5600,-,3700
34,21/07/2021,5600,5600,5600,5600,-,3700
35,22/07/2021,5600,5600,5600,5600,-,3700
36,23/07/2021,5600,5600,5600,5600,-,3700
37,26/07/2021,5600,5600,5600,5600,-,3700
38,27/07/2021,5600,5600,5600,5600,-,3700
39,28/07/2021,5600,5600,5600,5600,-,3700
40,29/07/2021,5600,5600,5600,5600,-,3700
41,30/07/2021,5600,5600,5600,5600,-,3700
42,02/08/2021,5600,5600,5600,5600,-,3700
43,03/08/2021,5600,5600,5600,5600,-,3700
44,04/08/2021,5600,5600,5600,5600,-,3700
45,05/08/2021,5600,5600,5600,5600,-,3700
46,06/08/2021,5600,5600,5600,5600,-,3700
47,09/08/2021,5600,5600,5600,5600,-,3700
48,10/08/2021,5600,5600,5600,5600,-,3700
49,11/08/2021,5600,5600,5600,5600,-,3700
50,12/08/2021,7800,7800,7800,7800,200,5100
51,13/08/2021,6700,6700,6700,6700,200,4400
52,16/08/2021,6700,6700,6700,6700,-,4400
53,17/08/2021,6700,6700,6700,6700,-,4400
54,18/08/2021,6100,6100,6100,6100,100,4000
55,19/08/2021,6100,6100,6100,6100,-,4000
56,20/08/2021,6100,6100,6100,6100,-,4000
57,23/08/2021,6100,6100,6100,6100,-,4000
58,24/08/2021,6100,6100,6100,6100,-,4000
59,25/08/2021,6100,6100,6100,6100,-,4000
60,26/08/2021,6100,6100,6100,6100,-,4000
61,27/08/2021,6100,6100,6100,6100,-,4000
62,30/08/2021,6100,6100,6100,6100,-,4000
63,31/08/2021,6100,6100,6100,6100,-,4000
64,01/09/2021,6100,6100,6100,6100,-,4000
65,06/09/2021,6100,6100,6100,6100,-,4000
66,07/09/2021,6100,6100,6100,6100,-,4000
67,08/09/2021,6100,6100,6100,6100,-,4000
68,09/09/2021,6100,6100,6100,6100,-,4000
69,10/09/2021,6100,6100,6100,6100,-,4000
70,13/09/2021,6100,6100,6100,6100,-,4000
71,14/09/2021,6100,6100,6100,6100,-,4000
72,15/09/2021,6100,6100,6100,6100,-,4000
73,16/09/2021,6100,6100,6100,6100,-,4000
74,17/09/2021,6100,6100,6100,6100,-,4000
75,20/09/2021,6100,6100,6100,6100,-,4000
76,21/09/2021,6100,6100,6100,6100,-,4000
77,22/09/2021,6100,6100,6100,6100,-,4000
78,23/09/2021,6100,6100,6100,6100,-,4000
79,24/09/2021,7000,7000,7000,7000,100,4600
80,27/09/2021,8000,8000,8000,8000,5100,5200
81,28/09/2021,8000,8000,8000,8000,-,5200
82,29/09/2021,9100,6800,9100,8500,400,5500
83,30/09/2021,7800,7800,7800,7800,-,5100
84,01/10/2021,8900,6700,6700,8900,200,5800
