,Date,High,Low,Open,Close,Volume,Adj Close
0,09/06/2021,11100,11100,11100,11100,400,11100
1,10/06/2021,12700,12700,12700,12700,1400,12700
2,11/06/2021,14600,14600,14600,14600,11640,14600
3,14/06/2021,16700,16700,16700,16700,400,16700
4,15/06/2021,19200,19100,19200,19200,2902,19200
5,16/06/2021,22000,17400,22000,21900,2300,21900
6,17/06/2021,22700,21900,22700,22600,1600,22600
7,18/06/2021,25300,18700,25300,18700,1500,18700
8,21/06/2021,21900,18700,21900,18700,400,18700
9,22/06/2021,22400,19500,22400,19500,200,19500
10,23/06/2021,24100,18700,24100,18700,1510,18700
11,24/06/2021,21900,16300,21900,16300,3700,16300
12,25/06/2021,20200,18900,20200,18900,456,18900
13,28/06/2021,22100,19300,22100,19300,800,19300
14,29/06/2021,22700,16900,22700,16900,2900,16900
15,30/06/2021,20200,18000,20200,18000,200,18000
16,01/07/2021,16300,16300,16300,16300,800,16300
17,02/07/2021,18700,15800,18700,15800,201,15800
18,05/07/2021,19800,16500,19800,16500,2355,16500
19,06/07/2021,19000,16900,19000,16900,200,16900
20,07/07/2021,20500,16000,20500,16000,400,16000
21,08/07/2021,19500,19500,19500,19500,100,19500
22,09/07/2021,22400,16600,22400,16600,200,16600
23,12/07/2021,22400,16600,22400,16600,200,16600
24,13/07/2021,22400,16600,22400,16600,400,16600
25,14/07/2021,20800,16500,20800,16500,400,16500
26,15/07/2021,20100,15500,20100,15500,300,15500
27,16/07/2021,19400,15000,19400,15000,500,15000
28,19/07/2021,18000,17500,18000,18000,1400,18000
29,20/07/2021,20500,16500,20500,16500,800,16500
30,21/07/2021,19800,15000,19800,15000,300,15000
31,22/07/2021,19000,17500,19000,17500,200,17500
32,23/07/2021,21000,15800,21000,15800,500,15800
33,26/07/2021,19400,19400,19400,19400,100,19400
34,27/07/2021,22300,16500,22300,16500,1602,16500
35,28/07/2021,16900,16900,16900,16900,-,16900
36,29/07/2021,19300,19300,19300,19300,100,19300
37,30/07/2021,16500,16500,16500,16500,1400,16500
38,02/08/2021,16200,16200,16200,16200,100,16200
39,03/08/2021,16200,16200,16200,16200,-,16200
40,04/08/2021,16200,16200,16200,16200,-,16200
41,05/08/2021,16200,16200,16200,16200,-,16200
42,06/08/2021,16200,16200,16200,16200,-,16200
43,09/08/2021,16200,16200,16200,16200,-,16200
44,10/08/2021,14000,13800,14000,13800,3000,13800
45,11/08/2021,15200,13800,15200,13800,700,13800
46,12/08/2021,14400,14400,14400,14400,-,14400
47,13/08/2021,14400,14400,14400,14400,-,14400
48,16/08/2021,16500,12300,16500,12500,1000,12500
49,17/08/2021,12900,12900,12900,12900,-,12900
50,18/08/2021,12900,12900,12900,12900,200,12900
51,19/08/2021,11500,11100,11100,11500,400,11500
52,20/08/2021,11500,11300,11500,11300,200,11300
53,23/08/2021,11400,11400,11400,11400,-,11400
54,24/08/2021,13100,13100,13100,13100,502,13100
55,25/08/2021,15000,14500,14500,15000,6100,15000
56,26/08/2021,17100,17000,17000,17100,2100,17100
57,27/08/2021,19600,15000,15000,19600,4630,19600
58,30/08/2021,16500,16400,16500,16400,2434,16400
59,31/08/2021,18800,18800,18800,18800,4000,18800
60,01/09/2021,18800,18800,18800,18800,227573,18800
61,06/09/2021,18800,18800,18800,18800,-,18800
62,07/09/2021,18800,18800,18800,18800,4000,18800
63,08/09/2021,18800,18800,18800,18800,1000,18800
64,09/09/2021,18800,18800,18800,18800,-,18800
65,10/09/2021,18800,18800,18800,18800,-,18800
66,13/09/2021,16000,16000,16000,16000,400,16000
67,14/09/2021,16000,16000,16000,16000,14,16000
68,15/09/2021,16000,16000,16000,16000,-,16000
69,16/09/2021,16000,16000,16000,16000,10,16000
70,17/09/2021,16000,16000,16000,16000,-,16000
71,20/09/2021,16000,16000,16000,16000,-,16000
72,21/09/2021,16000,16000,16000,16000,55,16000
73,22/09/2021,16000,16000,16000,16000,-,16000
74,23/09/2021,16000,16000,16000,16000,-,16000
75,24/09/2021,13600,13600,13600,13600,600,13600
76,27/09/2021,13600,13600,13600,13600,-,13600
77,28/09/2021,13600,13600,13600,13600,-,13600
78,29/09/2021,13600,13600,13600,13600,2,13600
79,30/09/2021,13600,13600,13600,13600,-,13600
80,01/10/2021,13600,13600,13600,13600,-,13600
81,04/10/2021,13600,13600,13600,13600,-,13600
82,05/10/2021,13600,13600,13600,13600,20,13600
83,06/10/2021,13600,13600,13600,13600,-,13600
84,07/10/2021,12200,12200,12200,12200,100,12200
85,08/10/2021,12200,12200,12200,12200,-,12200
86,11/10/2021,12200,12200,12200,12200,-,12200
87,12/10/2021,12200,12200,12200,12200,-,12200
88,13/10/2021,12200,12200,12200,12200,-,12200
89,14/10/2021,12200,12200,12200,12200,49,12200
90,15/10/2021,12200,12200,12200,12200,-,12200
91,18/10/2021,14000,14000,14000,14000,100,14000
92,19/10/2021,14000,14000,14000,14000,-,14000
93,20/10/2021,14000,14000,14000,14000,-,14000
94,21/10/2021,14000,14000,14000,14000,-,14000
95,22/10/2021,14000,14000,14000,14000,-,14000
96,25/10/2021,14000,14000,14000,14000,101,14000
97,26/10/2021,14000,14000,14000,14000,-,14000
98,27/10/2021,14000,14000,14000,14000,-,14000
99,28/10/2021,14000,14000,14000,14000,12,14000
100,29/10/2021,14000,14000,14000,14000,-,14000
101,01/11/2021,14000,14000,14000,14000,-,14000
102,02/11/2021,14000,14000,14000,14000,-,14000
103,03/11/2021,14000,14000,14000,14000,-,14000
104,04/11/2021,14000,14000,14000,14000,-,14000
105,05/11/2021,14000,14000,14000,14000,-,14000
106,08/11/2021,15900,15900,15900,15900,100,15900
107,09/11/2021,15900,15900,15900,15900,-,15900
108,10/11/2021,15900,15900,15900,15900,1,15900
109,11/11/2021,15900,15900,15900,15900,-,15900
110,12/11/2021,16700,13700,13700,16700,616,16700
111,15/11/2021,14200,14200,14200,14200,-,14200
112,16/11/2021,14200,14200,14200,14200,-,14200
113,17/11/2021,14200,14200,14200,14200,-,14200
114,18/11/2021,14200,14200,14200,14200,-,14200
115,19/11/2021,14200,14200,14200,14200,-,14200
116,22/11/2021,14200,14200,14200,14200,-,14200
117,23/11/2021,14200,14200,14200,14200,-,14200
118,24/11/2021,14200,14200,14200,14200,-,14200
119,25/11/2021,14200,14200,14200,14200,-,14200
120,26/11/2021,14200,14200,14200,14200,-,14200
121,29/11/2021,14200,14200,14200,14200,-,14200
122,30/11/2021,14200,14200,14200,14200,-,14200
123,01/12/2021,14200,14200,14200,14200,-,14200
124,02/12/2021,14200,14200,14200,14200,-,14200
125,03/12/2021,14300,13500,13500,14300,200,14300
126,06/12/2021,13900,13900,13900,13900,-,13900
127,07/12/2021,13900,13900,13900,13900,-,13900
128,08/12/2021,13900,13900,13900,13900,-,13900
129,09/12/2021,13000,13000,13000,13000,200,13000
130,10/12/2021,13000,13000,13000,13000,-,13000
131,13/12/2021,14900,14900,14900,14900,400,14900
132,14/12/2021,14900,14900,14900,14900,-,14900
133,15/12/2021,14900,14900,14900,14900,-,14900
134,16/12/2021,14900,14900,14900,14900,20,14900
135,17/12/2021,14900,14900,14900,14900,-,14900
136,20/12/2021,14900,14900,14900,14900,-,14900
137,21/12/2021,13900,13900,13900,13900,1107,13900
138,22/12/2021,13900,13900,13900,13900,2003,13900
139,23/12/2021,13900,13900,13900,13900,-,13900
140,24/12/2021,13900,13900,13900,13900,-,13900
141,27/12/2021,13900,13900,13900,13900,-,13900
142,28/12/2021,13900,13900,13900,13900,-,13900
143,29/12/2021,13900,13900,13900,13900,-,13900
144,30/12/2021,13900,13900,13900,13900,-,13900
145,31/12/2021,13900,13900,13900,13900,-,13900
146,04/01/2022,13900,13900,13900,13900,-,13900
147,05/01/2022,13900,13900,13900,13900,-,13900
148,06/01/2022,13900,13900,13900,13900,-,13900
149,07/01/2022,13900,13900,13900,13900,-,13900
150,10/01/2022,13900,13900,13900,13900,-,13900
151,11/01/2022,13900,13900,13900,13900,-,13900
152,12/01/2022,13900,13900,13900,13900,-,13900
153,13/01/2022,13900,13900,13900,13900,-,13900
154,14/01/2022,13900,13900,13900,13900,-,13900
155,17/01/2022,13900,13900,13900,13900,-,13900
156,18/01/2022,13900,13900,13900,13900,-,13900
157,19/01/2022,13900,13900,13900,13900,-,13900
158,20/01/2022,13900,13900,13900,13900,-,13900
159,21/01/2022,13900,13900,13900,13900,-,13900
160,24/01/2022,13900,13900,13900,13900,-,13900
161,25/01/2022,13900,13900,13900,13900,-,13900
162,26/01/2022,13900,13900,13900,13900,-,13900
163,27/01/2022,13900,13900,13900,13900,-,13900
164,28/01/2022,13900,13900,13900,13900,-,13900
165,07/02/2022,13900,13900,13900,13900,-,13900
166,08/02/2022,13900,13900,13900,13900,-,13900
167,09/02/2022,13900,13900,13900,13900,-,13900
168,10/02/2022,13900,13900,13900,13900,-,13900
169,11/02/2022,13900,13900,13900,13900,-,13900
170,14/02/2022,13900,13900,13900,13900,-,13900
171,15/02/2022,13900,13900,13900,13900,-,13900
172,16/02/2022,13900,13900,13900,13900,-,13900
173,17/02/2022,13900,13900,13900,13900,-,13900
174,18/02/2022,13900,13900,13900,13900,-,13900
175,21/02/2022,13900,13900,13900,13900,-,13900
176,22/02/2022,13900,13900,13900,13900,-,13900
177,23/02/2022,13900,13900,13900,13900,-,13900
178,24/02/2022,13900,13900,13900,13900,100,13900
179,25/02/2022,13900,13900,13900,13900,800,13900
180,28/02/2022,13900,13900,13900,13900,5,13900
181,01/03/2022,13900,13900,13900,13900,-,13900
182,02/03/2022,13900,13900,13900,13900,-,13900
183,03/03/2022,13900,13900,13900,13900,-,13900
184,04/03/2022,13900,13900,13900,13900,400,13900
185,07/03/2022,13900,13900,13900,13900,-,13900
186,08/03/2022,13900,13900,13900,13900,-,13900
187,09/03/2022,12100,11900,12100,11900,300,11900
188,10/03/2022,12000,11900,11900,12000,323,12000
189,11/03/2022,13500,13400,13500,13400,200,13400
190,14/03/2022,13500,13500,13500,13500,-,13500
191,15/03/2022,13000,13000,13000,13000,100,13000
192,16/03/2022,13000,13000,13000,13000,-,13000
193,17/03/2022,13000,13000,13000,13000,-,13000
194,18/03/2022,14900,14700,14900,14700,1400,14700
195,21/03/2022,14800,14800,14800,14800,-,14800
196,22/03/2022,14800,12600,12600,14800,1700,14800
197,23/03/2022,14300,14300,14300,14300,600,14300
198,24/03/2022,15800,13300,15800,14900,1300,14900
199,25/03/2022,15500,13000,15500,13000,700,13000
200,28/03/2022,15900,14400,15600,14400,1100,14400
201,29/03/2022,15300,13200,15300,15100,900,15100
202,30/03/2022,16500,14200,15300,16100,3300,16100
203,31/03/2022,18300,18300,18300,18300,400,18300
204,01/04/2022,18300,18300,18300,18300,-,18300
205,04/04/2022,18200,18200,18200,18200,100,18200
206,05/04/2022,18200,18200,18200,18200,-,18200
207,06/04/2022,20900,15500,15500,20900,5629,20900
208,07/04/2022,21200,20600,21200,20600,200,20600
209,08/04/2022,24000,23000,23000,23900,431,23900
210,12/04/2022,23700,23700,23700,23700,-,23700
211,13/04/2022,23700,23700,23700,23700,-,23700
212,14/04/2022,20200,20200,20200,20200,100,20200
213,15/04/2022,20200,20200,20200,20200,-,20200
214,18/04/2022,20200,20200,20200,20200,-,20200
215,19/04/2022,20200,20200,20200,20200,-,20200
216,20/04/2022,20200,20200,20200,20200,-,20200
217,21/04/2022,20200,20200,20200,20200,-,20200
218,22/04/2022,20200,20200,20200,20200,-,20200
219,25/04/2022,20200,20200,20200,20200,-,20200
220,26/04/2022,20200,20200,20200,20200,-,20200
221,27/04/2022,20200,20200,20200,20200,-,20200
222,28/04/2022,23200,17200,17200,20200,7100,20200
223,29/04/2022,21900,21900,21900,21900,100,21900
224,04/05/2022,24900,21900,21900,24900,1000,24900
225,05/05/2022,27500,20500,24000,27200,5000,27200
226,06/05/2022,29400,29000,29400,29000,500,29000
227,09/05/2022,31900,29400,29400,31900,700,31900
228,10/05/2022,33900,31700,33900,31700,1000,31700
229,11/05/2022,33500,33500,33500,31700,3,33500
230,12/05/2022,33500,33500,33500,33500,-,33500
231,13/05/2022,33500,33500,33500,33500,-,33500
232,16/05/2022,33500,33500,33500,33500,-,33500
233,17/05/2022,33500,33500,33500,33500,-,33500
234,18/05/2022,33500,33500,33500,33500,-,33500
235,19/05/2022,33500,33500,33500,33500,-,33500
236,20/05/2022,34900,34900,34900,34900,200,34900
237,23/05/2022,34900,34900,34900,34900,-,34900
238,24/05/2022,38400,38400,38400,38400,500,38400
239,25/05/2022,32700,32700,32700,32700,100,32700
240,26/05/2022,32700,32700,32700,32700,-,32700
241,27/05/2022,32700,32700,32700,32700,-,32700
242,30/05/2022,32700,32700,32700,32700,-,32700
243,31/05/2022,32700,32700,32700,32700,-,32700
244,01/06/2022,32700,32700,32700,32700,-,32700
245,02/06/2022,27800,27800,27800,27800,601,27800
246,03/06/2022,27800,27800,27800,27800,41,27800
247,06/06/2022,27800,27800,27800,27800,-,27800
248,07/06/2022,27800,27800,27800,27800,-,27800
249,08/06/2022,27800,27800,27800,27800,-,27800
250,09/06/2022,27800,27800,27800,27800,-,27800
