,Date,High,Low,Open,Close,Volume,Adj Close
0,08/06/2021,7100,7100,7100,7100,100,6500
1,09/06/2021,7500,7500,7500,7500,100,6800
2,10/06/2021,7500,7500,7500,7500,200,6800
3,11/06/2021,7500,7500,7500,7500,232,6800
4,14/06/2021,7500,7500,7500,7500,3,6800
5,15/06/2021,7500,7500,7500,7500,-,6800
6,16/06/2021,7500,7500,7500,7500,-,6800
7,17/06/2021,7500,7500,7500,7500,-,6800
8,18/06/2021,7400,7400,7400,7400,701,6700
9,21/06/2021,7500,7500,7500,7500,800,6800
10,22/06/2021,7500,7500,7500,7500,20,6800
11,23/06/2021,7500,7500,7500,7500,5500,6800
12,24/06/2021,7200,7200,7200,7200,100,6600
13,25/06/2021,7200,7200,7200,7200,-,6600
14,28/06/2021,7200,7200,7200,7200,-,6600
15,29/06/2021,7200,7200,7200,7200,-,6600
16,30/06/2021,7200,7200,7200,7200,-,6600
17,01/07/2021,7200,7200,7200,7200,-,6600
18,02/07/2021,7100,7100,7100,7100,200,6500
19,05/07/2021,7300,7300,7300,7300,200,6700
20,06/07/2021,7800,7800,7800,7800,100,7100
21,07/07/2021,7800,7800,7800,7800,-,7100
22,08/07/2021,7800,7800,7800,7800,-,7100
23,09/07/2021,7800,7800,7800,7800,-,7100
24,12/07/2021,7800,7800,7800,7800,-,7100
25,13/07/2021,7800,7800,7800,7800,-,7100
26,14/07/2021,7800,7800,7800,7800,-,7100
27,15/07/2021,8500,8500,8500,8500,300,7700
28,16/07/2021,8500,8500,8500,8500,-,7700
29,19/07/2021,8500,8500,8500,8500,-,7700
30,20/07/2021,8500,8500,8500,8500,-,7700
31,21/07/2021,8500,8500,8500,8500,-,7700
32,22/07/2021,8500,8500,8500,8500,-,7700
33,23/07/2021,8500,8500,8500,8500,-,7700
34,26/07/2021,8500,8500,8500,8500,-,7700
35,27/07/2021,8500,8500,8500,8500,-,7700
36,28/07/2021,8500,8500,8500,8500,150000,7700
37,29/07/2021,8500,8500,8500,8500,-,7700
38,30/07/2021,8500,8500,8500,8500,-,7700
39,02/08/2021,8500,8500,8500,8500,-,7700
40,03/08/2021,8500,8500,8500,8500,-,7700
