,Date,High,Low,Open,Close,Volume,Adj Close
0,02/06/2021,8700,8000,8000,8500,158773,8300
1,03/06/2021,9200,8000,8800,8300,139868,8100
2,04/06/2021,9000,7700,8500,8900,213307,8700
3,07/06/2021,9300,8500,9000,9000,237700,8800
4,08/06/2021,9200,7900,9200,8000,111031,7800
5,09/06/2021,8300,7100,8100,8100,150750,7900
6,10/06/2021,8000,7500,7600,7500,63600,7300
7,11/06/2021,7900,7400,7900,7700,41500,7500
8,14/06/2021,8000,7500,7800,7900,74305,7700
9,15/06/2021,7900,7500,7900,7700,36101,7500
10,16/06/2021,8200,7800,7900,8000,136050,7800
11,17/06/2021,8400,7800,8000,8300,109300,8100
12,18/06/2021,8500,8000,8200,8200,73400,8000
13,21/06/2021,8400,8100,8200,8300,307260,8100
14,22/06/2021,8600,8100,8500,8300,118086,8100
15,23/06/2021,8300,8000,8300,8000,37711,7800
16,24/06/2021,8000,7700,8000,7900,306717,7700
17,25/06/2021,8000,7700,7900,8000,38300,7800
18,28/06/2021,7900,7700,7900,7900,51200,7700
19,29/06/2021,7900,7600,7900,7900,54740,7700
20,30/06/2021,7900,7600,7700,7700,38100,7500
21,01/07/2021,7700,7400,7700,7600,67000,7400
22,02/07/2021,7900,7500,7600,7700,37400,7500
23,05/07/2021,7600,7400,7600,7500,24700,7300
24,06/07/2021,7600,7300,7500,7300,35350,7100
25,07/07/2021,7400,6900,7400,7200,64622,7000
26,08/07/2021,7100,6900,7000,7000,10600,6800
27,09/07/2021,7100,6900,7100,6900,24500,6700
28,12/07/2021,6900,6000,6900,6200,25486,6100
29,13/07/2021,6700,6500,6500,6600,27700,6500
30,14/07/2021,6600,6400,6600,6400,10822,6300
31,15/07/2021,6700,6500,6500,6700,21900,6600
32,16/07/2021,6700,6500,6700,6500,9100,6400
33,19/07/2021,6500,6000,6500,6000,45300,5900
34,20/07/2021,6100,5700,6000,6100,31200,6000
35,21/07/2021,6200,6000,6000,6200,18900,6100
36,22/07/2021,6300,6200,6200,6200,12468,6100
37,23/07/2021,6300,6200,6200,6200,7400,6100
38,26/07/2021,6100,6000,6100,6100,6200,6000
39,27/07/2021,6500,6000,6100,6300,43000,6200
40,28/07/2021,6600,5300,6600,6200,31328,6100
41,29/07/2021,6300,6100,6300,6100,16900,6000
42,30/07/2021,6300,6100,6200,6300,37067,6200
43,02/08/2021,6300,6000,6100,6200,8600,6100
44,03/08/2021,6200,6100,6100,6100,12400,6000
45,04/08/2021,6300,6100,6100,6200,19900,6100
46,05/08/2021,6300,6200,6300,6300,36000,6200
47,06/08/2021,6600,6400,6400,6500,34700,6400
48,09/08/2021,6500,6400,6500,6500,12050,6400
49,10/08/2021,6600,6500,6500,6600,42528,6500
50,11/08/2021,7200,6800,6800,7100,87900,6900
51,12/08/2021,7000,6800,7000,6900,21870,6700
52,13/08/2021,6900,6600,6900,6600,31800,6500
53,16/08/2021,6800,6600,6600,6800,21900,6700
54,17/08/2021,7200,6700,7200,6900,24600,6700
55,18/08/2021,6900,6600,6900,6800,16500,6700
56,19/08/2021,6900,6600,6900,6700,27900,6600
57,20/08/2021,6700,6500,6700,6600,47000,6500
58,23/08/2021,6600,6400,6600,6400,34600,6300
59,24/08/2021,6400,6300,6400,6400,8540,6300
60,25/08/2021,6400,6200,6400,6300,8200,6200
61,26/08/2021,6400,6200,6300,6400,6700,6300
62,27/08/2021,6500,6300,6500,6400,19800,6300
63,30/08/2021,6500,6400,6400,6500,9500,6400
64,31/08/2021,6600,6500,6500,6600,16400,6500
65,01/09/2021,6800,6600,6600,6800,69900,6700
66,06/09/2021,7500,6800,6800,7300,96350,7100
67,07/09/2021,7500,7000,7400,7300,26500,7100
68,08/09/2021,7200,6700,7200,6800,38500,6700
69,09/09/2021,7200,6700,6800,7200,56200,7000
70,10/09/2021,7300,6900,7200,7000,30500,6800
71,13/09/2021,7200,6900,7200,7000,60000,6800
72,14/09/2021,7200,7000,7000,7200,96500,7000
73,15/09/2021,8100,7200,7200,8100,284490,7900
74,16/09/2021,9200,8200,8600,8700,231700,8500
75,17/09/2021,8800,8100,8800,8100,101900,7900
76,20/09/2021,9300,7700,8100,8700,252546,8500
77,21/09/2021,8600,7800,8000,8500,155900,8300
78,22/09/2021,9500,8300,8300,9400,442052,9200
79,23/09/2021,9600,8800,9400,9100,181973,8900
80,24/09/2021,8800,8300,8800,8500,81100,8300
