,Date,High,Low,Open,Close,Volume,Adj Close
0,09/06/2021,1900,1900,1900,1900,-,1700
1,10/06/2021,1900,1900,1900,1900,-,1700
2,11/06/2021,1900,1900,1900,1900,-,1700
3,14/06/2021,1900,1900,1900,1900,-,1700
4,15/06/2021,1900,1900,1900,1900,-,1700
5,16/06/2021,1900,1900,1900,1900,-,1700
6,17/06/2021,1900,1900,1900,1900,-,1700
7,18/06/2021,1900,1900,1900,1900,400,1700
8,21/06/2021,1900,1900,1900,1900,-,1700
9,22/06/2021,1900,1900,1900,1900,-,1700
10,23/06/2021,1900,1900,1900,1900,-,1700
11,24/06/2021,1900,1900,1900,1900,-,1700
12,25/06/2021,1900,1900,1900,1900,-,1700
13,28/06/2021,1900,1900,1900,1900,-,1700
14,29/06/2021,1900,1900,1900,1900,-,1700
15,30/06/2021,1900,1900,1900,1900,-,1700
16,01/07/2021,1900,1900,1900,1900,-,1700
17,02/07/2021,1900,1900,1900,1900,-,1700
18,05/07/2021,1900,1900,1900,1900,-,1700
19,06/07/2021,1900,1900,1900,1900,-,1700
20,07/07/2021,1900,1900,1900,1900,-,1700
21,08/07/2021,1900,1900,1900,1900,-,1700
22,09/07/2021,1900,1900,1900,1900,-,1700
23,12/07/2021,1900,1900,1900,1900,-,1700
24,13/07/2021,1900,1900,1900,1900,-,1700
25,14/07/2021,1900,1900,1900,1900,-,1700
26,15/07/2021,1900,1900,1900,1900,-,1700
27,16/07/2021,1700,1700,1700,1700,2000,1500
28,19/07/2021,1700,1700,1700,1700,-,1500
29,20/07/2021,1700,1700,1700,1700,-,1500
30,21/07/2021,1700,1700,1700,1700,-,1500
31,22/07/2021,1700,1700,1700,1700,-,1500
32,23/07/2021,1700,1700,1700,1700,-,1500
33,26/07/2021,1700,1700,1700,1700,-,1500
34,27/07/2021,1700,1700,1700,1700,-,1500
35,28/07/2021,1700,1700,1700,1700,-,1500
36,29/07/2021,1700,1700,1700,1700,-,1500
37,30/07/2021,1500,1500,1500,1500,800,1400
38,02/08/2021,1500,1500,1500,1500,-,1400
39,03/08/2021,1500,1500,1500,1500,-,1400
40,04/08/2021,1500,1500,1500,1500,-,1400
41,05/08/2021,1500,1500,1500,1500,-,1400
42,06/08/2021,1600,1300,1600,1300,2800,1200
43,09/08/2021,1300,1300,1300,1300,-,1200
44,10/08/2021,1300,1300,1300,1300,-,1200
45,11/08/2021,1300,1300,1300,1300,-,1200
46,12/08/2021,1300,1300,1300,1300,-,1200
47,13/08/2021,1400,1200,1200,1400,1900,1300
48,16/08/2021,1200,1200,1200,1200,-,1100
49,17/08/2021,1200,1200,1200,1200,-,1100
50,18/08/2021,1200,1200,1200,1200,-,1100
51,19/08/2021,1200,1200,1200,1200,-,1100
52,20/08/2021,1300,1100,1300,1100,21700,1000
53,23/08/2021,1200,1200,1200,1200,-,1100
54,24/08/2021,1200,1200,1200,1200,-,1100
55,25/08/2021,1200,1200,1200,1200,-,1100
56,26/08/2021,1200,1200,1200,1200,-,1100
57,27/08/2021,1300,1100,1100,1300,27900,1200
58,30/08/2021,1200,1200,1200,1200,-,1100
59,31/08/2021,1200,1200,1200,1200,-,1100
60,01/09/2021,1200,1200,1200,1200,-,1100
61,06/09/2021,1200,1200,1200,1200,-,1100
62,07/09/2021,1200,1200,1200,1200,-,1100
63,08/09/2021,1200,1200,1200,1200,-,1100
64,09/09/2021,1200,1200,1200,1200,-,1100
65,10/09/2021,1300,1100,1200,1300,10600,1200
66,13/09/2021,1300,1300,1300,1300,-,1200
67,14/09/2021,1300,1300,1300,1300,-,1200
68,15/09/2021,1300,1300,1300,1300,-,1200
69,16/09/2021,1300,1300,1300,1300,-,1200
70,17/09/2021,1400,1400,1400,1400,12500,1300
71,20/09/2021,1400,1400,1400,1400,-,1300
72,21/09/2021,1400,1400,1400,1400,-,1300
73,22/09/2021,1400,1400,1400,1400,-,1300
74,23/09/2021,1400,1400,1400,1400,-,1300
75,24/09/2021,1600,1400,1500,1500,20400,1400
76,27/09/2021,1500,1500,1500,1500,-,1400
77,28/09/2021,1500,1500,1500,1500,-,1400
78,29/09/2021,1500,1500,1500,1500,-,1400
79,30/09/2021,1500,1500,1500,1500,-,1400
80,01/10/2021,1500,1500,1500,1500,7600,1400
81,04/10/2021,1500,1500,1500,1500,-,1400
82,05/10/2021,1500,1500,1500,1500,-,1400
83,06/10/2021,1500,1500,1500,1500,-,1400
84,07/10/2021,1500,1500,1500,1500,-,1400
85,08/10/2021,1700,1500,1600,1700,42900,1500
86,11/10/2021,1600,1600,1600,1600,-,1500
87,12/10/2021,1600,1600,1600,1600,-,1500
88,13/10/2021,1600,1600,1600,1600,-,1500
89,14/10/2021,1600,1600,1600,1600,-,1500
90,15/10/2021,1800,1600,1600,1800,16200,1700
91,18/10/2021,1800,1800,1800,1800,-,1700
92,19/10/2021,1800,1800,1800,1800,-,1700
93,20/10/2021,1800,1800,1800,1800,-,1700
94,21/10/2021,1800,1800,1800,1800,-,1700
95,22/10/2021,2000,2000,2000,2000,23000,1900
96,25/10/2021,2000,2000,2000,2000,-,1900
97,26/10/2021,2000,2000,2000,2000,-,1900
98,27/10/2021,2000,2000,2000,2000,-,1900
99,28/10/2021,2000,2000,2000,2000,-,1900
100,29/10/2021,2300,2300,2300,2300,5300,2200
101,01/11/2021,2300,2300,2300,2300,-,2200
102,02/11/2021,2300,2300,2300,2300,-,2200
103,03/11/2021,2300,2300,2300,2300,-,2200
104,04/11/2021,2300,2300,2300,2300,-,2200
105,05/11/2021,2600,2600,2600,2600,36600,2500
106,08/11/2021,2600,2600,2600,2600,-,2500
107,09/11/2021,2600,2600,2600,2600,-,2500
108,10/11/2021,2600,2600,2600,2600,-,2500
109,11/11/2021,2600,2600,2600,2600,-,2500
110,12/11/2021,2900,2900,2900,2900,5700,2800
111,15/11/2021,2900,2900,2900,2900,-,2800
112,16/11/2021,2900,2900,2900,2900,-,2800
113,17/11/2021,2900,2900,2900,2900,-,2800
114,18/11/2021,2900,2900,2900,2900,-,2800
115,19/11/2021,3300,2900,2900,3300,7100,3200
116,22/11/2021,3300,3300,3300,3300,-,3200
117,23/11/2021,3300,3300,3300,3300,-,3200
118,24/11/2021,3300,3300,3300,3300,-,3200
119,25/11/2021,3300,3300,3300,3300,-,3200
120,26/11/2021,3700,3000,3700,3700,77700,3600
121,29/11/2021,3700,3700,3700,3700,-,3600
122,30/11/2021,3700,3700,3700,3700,-,3600
123,01/12/2021,3700,3700,3700,3700,-,3600
124,02/12/2021,3700,3700,3700,3700,-,3600
125,03/12/2021,4200,3700,3700,4000,173400,3900
126,06/12/2021,4100,4100,4100,4100,-,4000
127,07/12/2021,4100,4100,4100,4100,-,4000
128,08/12/2021,4100,4100,4100,4100,-,4000
129,09/12/2021,4100,4100,4100,4100,-,4000
130,10/12/2021,4300,3500,4300,3900,49600,3800
131,13/12/2021,3800,3800,3800,3800,-,3700
132,14/12/2021,3800,3800,3800,3800,-,3700
133,15/12/2021,3800,3800,3800,3800,-,3700
134,16/12/2021,3800,3800,3800,3800,-,3700
