,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,900,900,900,900,-,900
1,18/06/2021,1000,800,800,1000,146400,1000
2,21/06/2021,900,900,900,900,-,900
3,22/06/2021,900,900,900,900,-,900
4,23/06/2021,900,900,900,900,-,900
5,24/06/2021,900,900,900,900,-,900
6,25/06/2021,1000,800,800,800,77000,800
7,28/06/2021,800,800,800,800,-,800
8,29/06/2021,800,800,800,800,-,800
9,30/06/2021,800,800,800,800,-,800
10,01/07/2021,800,800,800,800,-,800
11,02/07/2021,900,700,700,700,34500,700
12,05/07/2021,800,800,800,800,-,800
13,06/07/2021,800,800,800,800,-,800
14,07/07/2021,800,800,800,800,-,800
15,08/07/2021,800,800,800,800,-,800
16,09/07/2021,800,700,700,700,1100,700
17,12/07/2021,700,700,700,700,-,700
18,13/07/2021,700,700,700,700,-,700
19,14/07/2021,700,700,700,700,-,700
20,15/07/2021,700,700,700,700,-,700
21,16/07/2021,700,600,600,700,18100,700
22,19/07/2021,700,700,700,700,-,700
23,20/07/2021,700,700,700,700,-,700
24,21/07/2021,700,700,700,700,-,700
25,22/07/2021,700,700,700,700,-,700
26,23/07/2021,700,600,600,600,40300,600
27,26/07/2021,600,600,600,600,-,600
28,27/07/2021,600,600,600,600,-,600
29,28/07/2021,600,600,600,600,-,600
30,29/07/2021,600,600,600,600,-,600
31,30/07/2021,700,600,600,700,14700,700
32,02/08/2021,600,600,600,600,-,600
33,03/08/2021,600,600,600,600,-,600
34,04/08/2021,600,600,600,600,-,600
35,05/08/2021,600,600,600,600,-,600
36,06/08/2021,700,500,600,600,38100,600
37,09/08/2021,600,600,600,600,-,600
38,10/08/2021,600,600,600,600,-,600
39,11/08/2021,600,600,600,600,-,600
40,12/08/2021,600,600,600,600,-,600
41,13/08/2021,700,600,600,700,21500,700
42,16/08/2021,700,700,700,700,-,700
43,17/08/2021,700,700,700,700,-,700
44,18/08/2021,700,700,700,700,-,700
45,19/08/2021,700,700,700,700,-,700
46,20/08/2021,800,800,800,800,19700,800
47,23/08/2021,800,800,800,800,-,800
48,24/08/2021,800,800,800,800,-,800
49,25/08/2021,800,800,800,800,-,800
50,26/08/2021,800,800,800,800,-,800
51,27/08/2021,900,700,700,900,18600,900
52,30/08/2021,800,800,800,800,-,800
53,31/08/2021,800,800,800,800,-,800
54,01/09/2021,800,800,800,800,-,800
55,06/09/2021,800,800,800,800,-,800
56,07/09/2021,800,800,800,800,-,800
57,08/09/2021,800,800,800,800,-,800
58,09/09/2021,800,800,800,800,-,800
59,10/09/2021,900,800,900,900,14000,900
60,13/09/2021,900,900,900,900,-,900
61,14/09/2021,900,900,900,900,-,900
62,15/09/2021,900,900,900,900,-,900
63,16/09/2021,900,900,900,900,-,900
64,17/09/2021,1000,1000,1000,1000,18400,1000
65,20/09/2021,1000,1000,1000,1000,-,1000
66,21/09/2021,1000,1000,1000,1000,-,1000
67,22/09/2021,1000,1000,1000,1000,-,1000
68,23/09/2021,1000,1000,1000,1000,-,1000
69,24/09/2021,1100,1100,1100,1100,38200,1100
70,27/09/2021,1100,1100,1100,1100,-,1100
71,28/09/2021,1100,1100,1100,1100,-,1100
72,29/09/2021,1100,1100,1100,1100,-,1100
73,30/09/2021,1100,1100,1100,1100,-,1100
74,01/10/2021,1200,1200,1200,1200,39200,1200
75,04/10/2021,1200,1200,1200,1200,-,1200
76,05/10/2021,1200,1200,1200,1200,-,1200
77,06/10/2021,1200,1200,1200,1200,-,1200
78,07/10/2021,1200,1200,1200,1200,-,1200
79,08/10/2021,1300,1300,1300,1300,49100,1300
80,11/10/2021,1300,1300,1300,1300,-,1300
81,12/10/2021,1300,1300,1300,1300,-,1300
82,13/10/2021,1300,1300,1300,1300,-,1300
83,14/10/2021,1300,1300,1300,1300,-,1300
84,15/10/2021,1400,1400,1400,1400,30200,1400
85,18/10/2021,1400,1400,1400,1400,-,1400
86,19/10/2021,1400,1400,1400,1400,-,1400
87,20/10/2021,1400,1400,1400,1400,-,1400
88,21/10/2021,1400,1400,1400,1400,-,1400
89,22/10/2021,1600,1500,1600,1600,241900,1600
90,25/10/2021,1600,1600,1600,1600,-,1600
91,26/10/2021,1600,1600,1600,1600,-,1600
92,27/10/2021,1600,1600,1600,1600,-,1600
93,28/10/2021,1600,1600,1600,1600,-,1600
94,29/10/2021,1800,1800,1800,1800,30000,1800
95,01/11/2021,1800,1800,1800,1800,-,1800
96,02/11/2021,1800,1800,1800,1800,-,1800
97,03/11/2021,1800,1800,1800,1800,-,1800
