,Date,High,Low,Open,Close,Volume,Adj Close
0,10/06/2021,25300,25300,25300,25300,-,23700
1,11/06/2021,25300,25300,25300,25300,-,23700
2,14/06/2021,25300,25300,25300,25300,-,23700
3,15/06/2021,25300,25300,25300,25300,-,23700
4,16/06/2021,25300,25300,25300,25300,-,23700
5,17/06/2021,25300,25300,25300,25300,-,23700
6,18/06/2021,25300,25300,25300,25300,-,23700
7,21/06/2021,25300,25300,25300,25300,-,23700
8,22/06/2021,26000,26000,26000,26000,1800,24400
9,23/06/2021,27900,27900,27900,27900,100,26200
10,24/06/2021,28400,28400,28400,28400,100,26700
11,25/06/2021,28400,28400,28400,28400,-,26700
12,28/06/2021,25000,25000,25000,25000,3000,23500
13,29/06/2021,27000,27000,27000,27000,2800,25300
14,30/06/2021,27000,27000,27000,27000,-,25300
15,01/07/2021,27000,27000,27000,27000,900,25300
16,02/07/2021,26500,26500,26500,26500,100,24900
17,05/07/2021,27000,27000,27000,27000,500,25300
18,06/07/2021,27000,27000,27000,27000,-,25300
19,07/07/2021,27000,27000,27000,27000,200,25300
20,08/07/2021,27000,27000,27000,27000,-,25300
21,09/07/2021,27000,27000,27000,27000,-,25300
22,12/07/2021,27000,27000,27000,27000,-,25300
23,13/07/2021,27000,27000,27000,27000,-,25300
24,14/07/2021,27000,27000,27000,27000,-,25300
25,15/07/2021,27000,27000,27000,27000,3500,25300
26,16/07/2021,27000,27000,27000,27000,3500,25300
27,19/07/2021,27000,27000,27000,27000,3200,25300
28,20/07/2021,27000,27000,27000,27000,-,25300
29,21/07/2021,27000,27000,27000,27000,5500,25300
30,22/07/2021,27000,27000,27000,27000,1800,25300
31,23/07/2021,27000,27000,27000,27000,-,25300
32,26/07/2021,27000,27000,27000,27000,500,25300
33,27/07/2021,27000,27000,27000,27000,1800,25300
34,28/07/2021,26900,26900,26900,26900,200,25200
35,29/07/2021,26800,26800,26800,26800,500,25200
36,30/07/2021,26800,26800,26800,26800,-,25200
37,02/08/2021,26800,26800,26800,26800,-,25200
38,03/08/2021,26800,26800,26800,26800,-,25200
39,04/08/2021,26800,26800,26800,26800,-,25200
40,05/08/2021,26800,26800,26800,26800,-,25200
41,06/08/2021,26800,26800,26800,26800,-,25200
42,09/08/2021,27000,26000,27000,26000,8500,24400
43,10/08/2021,26300,26300,26300,26300,-,24700
44,11/08/2021,27000,27000,27000,27000,11500,25300
45,12/08/2021,29000,27500,27500,29000,3500,27200
46,13/08/2021,27900,27900,27900,27900,-,26200
47,16/08/2021,27900,27900,27900,27900,-,26200
48,17/08/2021,27900,27900,27900,27900,-,26200
49,18/08/2021,30000,29000,29000,30000,3500,28200
50,19/08/2021,28500,28500,28500,28500,4500,26700
51,20/08/2021,28500,28500,28500,28500,-,26700
52,23/08/2021,28500,28500,28500,28500,-,26700
53,24/08/2021,28500,28500,28500,28500,-,26700
54,25/08/2021,29000,29000,29000,29000,500,27200
55,26/08/2021,29000,29000,29000,29000,700,27200
56,27/08/2021,30000,30000,30000,30000,1000,28200
57,30/08/2021,30000,30000,30000,30000,-,28200
58,31/08/2021,30000,30000,30000,30000,-,28200
59,01/09/2021,30000,30000,30000,30000,-,28200
60,06/09/2021,30000,30000,30000,30000,-,28200
61,07/09/2021,27000,27000,27000,27000,200,25300
62,08/09/2021,27000,27000,27000,27000,-,25300
63,09/09/2021,27000,27000,27000,27000,-,25300
64,10/09/2021,27000,27000,27000,27000,-,25300
65,13/09/2021,27000,27000,27000,27000,-,25300
66,14/09/2021,27000,27000,27000,27000,-,25300
67,15/09/2021,27000,27000,27000,27000,-,25300
68,16/09/2021,27000,27000,27000,27000,-,25300
69,17/09/2021,30000,29500,29500,30000,1900,28200
70,20/09/2021,29900,29900,29900,29900,-,28100
71,21/09/2021,34300,34300,34300,34300,100,32200
72,22/09/2021,30000,30000,30000,30000,600,28200
73,23/09/2021,30000,30000,30000,30000,-,28200
74,24/09/2021,30000,30000,30000,30000,-,28200
75,27/09/2021,31000,30000,31000,30200,10100,28300
76,28/09/2021,30400,30400,30400,30400,-,28500
77,29/09/2021,31000,30000,30000,31000,1800,29100
78,30/09/2021,31000,31000,31000,31000,5400,29100
79,01/10/2021,31000,31000,31000,31000,900,29100
80,04/10/2021,35600,31000,31000,35600,3000,33400
81,05/10/2021,30500,30000,30000,30000,5300,30000
82,06/10/2021,29900,29800,29800,29900,900,29900
83,07/10/2021,29800,29800,29800,29800,100,29800
84,08/10/2021,27500,27200,27200,27400,600,27400
85,11/10/2021,27900,27400,27800,27700,7300,27700
86,12/10/2021,27500,27500,27500,27500,200,27500
87,13/10/2021,27500,27500,27500,27500,2600,27500
88,14/10/2021,27500,27500,27500,27500,-,27500
89,15/10/2021,27500,27500,27500,27500,-,27500
90,18/10/2021,27500,27200,27500,27200,3000,27200
91,19/10/2021,27400,27200,27200,27400,800,27400
92,20/10/2021,30000,30000,30000,30000,100,30000
93,21/10/2021,27600,27300,27300,27600,1100,27600
94,22/10/2021,28000,28000,28000,28000,100,28000
95,25/10/2021,28000,28000,28000,28000,-,28000
96,26/10/2021,28000,28000,28000,28000,-,28000
97,27/10/2021,28000,27000,28000,27000,300,27000
98,28/10/2021,27300,27300,27300,27300,-,27300
99,29/10/2021,28500,27000,27500,28500,3600,28500
100,01/11/2021,27500,27500,27500,27500,-,27500
101,02/11/2021,29000,28800,29000,28800,200,28800
102,03/11/2021,28900,28900,28900,28900,-,28900
103,04/11/2021,28900,28900,28900,28900,-,28900
104,05/11/2021,28600,28600,28600,28600,200,28600
105,08/11/2021,28500,28000,28000,28500,3100,28500
106,09/11/2021,27200,27100,27100,27200,1500,27200
107,10/11/2021,27300,26800,27300,26800,6600,26800
108,11/11/2021,27000,27000,27000,27000,-,27000
109,12/11/2021,27200,27100,27200,27100,1500,27100
110,15/11/2021,27100,27100,27100,27100,-,27100
111,16/11/2021,27500,27500,27500,27500,100,27500
112,17/11/2021,28700,27400,27400,28700,16600,28700
113,18/11/2021,28900,28400,28400,28500,6800,28500
114,19/11/2021,28500,28000,28500,28000,3100,28000
