,Date,High,Low,Open,Close,Volume,Adj Close
0,08/07/2011,16000,16000,16000.0,16000,10,14600
1,11/07/2011,16000,16000,16000.0,16000,-,14600
2,12/07/2011,16000,16000,16000.0,16000,-,14600
3,13/07/2011,15200,15200,15200.0,15200,10,13900
4,14/07/2011,14500,14500,14500.0,14500,10,13300
5,15/07/2011,13800,13800,13800.0,13800,10,12600
6,18/07/2011,13200,13200,13200.0,13200,2,12100
7,19/07/2011,12600,12600,12600.0,12600,10,11500
8,20/07/2011,12000,12000,12000.0,12000,10,11000
9,21/07/2011,11400,11400,11400.0,11400,10,10400
10,22/07/2011,10900,10900,10900.0,10900,380,10000
11,25/07/2011,10400,10400,10400.0,10400,100,9500
12,26/07/2011,9900,9900,9900.0,9900,100,9000
13,27/07/2011,9500,9500,9500.0,9500,100,8700
14,28/07/2011,9100,9100,9100.0,9100,450,8300
15,29/07/2011,8700,8700,8700.0,8700,1000,8000
16,01/08/2011,8300,8300,8300.0,8300,2000,7600
17,02/08/2011,7900,7900,7900.0,7900,3200,7200
18,03/08/2011,7600,7600,7600.0,7600,1840,6900
19,04/08/2011,7300,7300,7300.0,7300,1410,6700
20,05/08/2011,7000,7000,7000.0,7000,2700,6400
21,08/08/2011,6700,6700,6700.0,6700,2400,6100
22,09/08/2011,6400,6400,6400.0,6400,1450,5800
23,10/08/2011,6100,6100,6100.0,6100,1310,5600
24,11/08/2011,5800,5800,5800.0,5800,2300,5300
25,12/08/2011,6000,5600,5600.0,5600,7810,5100
26,15/08/2011,5400,5400,5400.0,5400,6700,4900
27,16/08/2011,5600,5200,5200.0,5200,15800,4800
28,17/08/2011,5400,5100,5400.0,5100,540,4700
29,18/08/2011,5300,4900,5000.0,5300,56230,4800
30,19/08/2011,5500,5100,5200.0,5500,48380,5000
31,22/08/2011,5700,5600,5700.0,5700,33370,5200
32,23/08/2011,5700,5500,5700.0,5500,32580,5000
33,24/08/2011,5400,5300,5400.0,5300,33430,4800
34,25/08/2011,5400,5100,5400.0,5300,15060,4800
35,26/08/2011,5400,5100,5100.0,5400,3870,4900
