,Date,High,Low,Open,Close,Volume,Adj Close
0,22/06/2021,6600,6600,6600,6600,1000,6300
1,23/06/2021,5800,5700,5700,5800,31800,5500
2,24/06/2021,5900,5800,5900,5800,4000,5500
3,25/06/2021,6700,6000,6000,6700,6000,6400
4,28/06/2021,6800,6400,6400,6800,17500,6500
5,29/06/2021,6700,5900,5900,6700,600,6400
6,30/06/2021,6900,6400,6400,6900,4450,6600
7,01/07/2021,6200,6200,6200,6200,100,5900
8,02/07/2021,7000,7000,7000,7000,100,6700
9,05/07/2021,7000,7000,7000,7000,-,6700
10,06/07/2021,7000,7000,7000,7000,-,6700
11,07/07/2021,7300,7300,7300,7300,100,7000
12,08/07/2021,7300,7300,7300,7300,-,7000
13,09/07/2021,7300,7300,7300,7300,-,7000
14,12/07/2021,7300,7300,7300,7300,-,7000
15,13/07/2021,7300,7300,7300,7300,-,7000
16,14/07/2021,7300,7300,7300,7300,-,7000
17,15/07/2021,7300,7300,7300,7300,-,7000
18,16/07/2021,7300,7300,7300,7300,-,7000
19,19/07/2021,7300,7300,7300,7300,-,7000
20,20/07/2021,7300,7300,7300,7300,-,7000
21,21/07/2021,7300,7300,7300,7300,-,7000
22,22/07/2021,7300,7300,7300,7300,-,7000
23,23/07/2021,7300,7300,7300,7300,-,7000
24,26/07/2021,7300,7300,7300,7300,-,7000
25,27/07/2021,7300,7300,7300,7300,-,7000
26,28/07/2021,7300,7300,7300,7300,-,7000
27,29/07/2021,7300,7300,7300,7300,-,7000
28,30/07/2021,7300,7300,7300,7300,-,7000
29,02/08/2021,7300,7300,7300,7300,-,7000
30,03/08/2021,7300,7300,7300,7300,-,7000
31,04/08/2021,7300,7300,7300,7300,-,7000
32,05/08/2021,7300,7300,7300,7300,-,7000
33,06/08/2021,6500,6300,6300,6500,300,6200
34,09/08/2021,6400,6400,6400,6400,-,6100
35,10/08/2021,6400,6400,6400,6400,-,6100
36,11/08/2021,6400,6400,6400,6400,-,6100
37,12/08/2021,6400,6400,6400,6400,-,6100
38,13/08/2021,5700,5700,5700,5700,100,5400
39,16/08/2021,5700,5700,5700,5700,-,5400
40,17/08/2021,5700,5700,5700,5700,-,5400
41,18/08/2021,5700,5700,5700,5700,-,5400
42,19/08/2021,5700,5700,5700,5700,-,5400
43,20/08/2021,5700,4900,4900,5700,200,5400
44,23/08/2021,5300,5300,5300,5300,-,5100
45,24/08/2021,5300,5300,5300,5300,-,5100
46,25/08/2021,5300,5300,5300,5300,-,5100
47,26/08/2021,5300,5300,5300,5300,-,5100
48,27/08/2021,4600,4600,4600,4600,500,4400
49,30/08/2021,4600,4600,4600,4600,-,4400
50,31/08/2021,4600,4600,4600,4600,-,4400
51,01/09/2021,4600,4600,4600,4600,-,4400
52,06/09/2021,4600,4600,4600,4600,-,4400
53,07/09/2021,4600,4600,4600,4600,-,4400
54,08/09/2021,4600,4600,4600,4600,-,4400
55,09/09/2021,4600,4600,4600,4600,-,4400
56,10/09/2021,4100,4100,4100,4100,2000,3900
57,13/09/2021,4100,4100,4100,4100,-,3900
58,14/09/2021,4100,4100,4100,4100,-,3900
59,15/09/2021,4100,4100,4100,4100,-,3900
60,16/09/2021,4100,4100,4100,4100,-,3900
61,17/09/2021,4700,4700,4700,4700,100,4500
62,20/09/2021,4700,4700,4700,4700,-,4500
63,21/09/2021,4700,4700,4700,4700,-,4500
64,22/09/2021,4700,4700,4700,4700,-,4500
65,23/09/2021,4700,4700,4700,4700,-,4500
66,24/09/2021,4700,4700,4700,4700,-,4500
67,27/09/2021,4700,4700,4700,4700,-,4500
68,28/09/2021,4700,4700,4700,4700,-,4500
69,29/09/2021,4700,4700,4700,4700,-,4500
70,30/09/2021,4700,4700,4700,4700,-,4500
