,Date,High,Low,Open,Close,Volume,Adj Close
0,23/06/2021,25200,25200,25200,25200,300,23700
1,24/06/2021,26800,24000,26800,24000,200,22500
2,25/06/2021,29200,21700,27000,28000,6300,26300
3,28/06/2021,28800,28800,28800,28800,-,27100
4,29/06/2021,28800,28800,28800,28800,-,27100
5,30/06/2021,28800,28800,28800,28800,-,27100
6,01/07/2021,28800,28800,28800,28800,-,27100
7,02/07/2021,28800,28800,28800,28800,-,27100
8,05/07/2021,28800,28800,28800,28800,-,27100
9,06/07/2021,28800,28800,28800,28800,-,27100
10,07/07/2021,28800,28800,28800,28800,-,27100
11,08/07/2021,28800,28800,28800,28800,-,27100
12,09/07/2021,28800,28800,28800,28800,-,27100
13,12/07/2021,28800,28800,28800,28800,-,27100
14,13/07/2021,28800,28800,28800,28800,400,27100
15,14/07/2021,28800,28800,28800,28800,-,27100
16,15/07/2021,28800,28800,28800,28800,-,27100
17,16/07/2021,24500,24500,24500,24500,100,23000
18,19/07/2021,24500,24500,24500,24500,-,23000
19,20/07/2021,27000,27000,27000,27000,100,25400
20,21/07/2021,27000,27000,27000,27000,-,25400
21,22/07/2021,27000,27000,27000,27000,-,25400
22,23/07/2021,27000,27000,27000,27000,-,25400
23,26/07/2021,27000,27000,27000,27000,-,25400
24,27/07/2021,27000,27000,27000,27000,-,25400
25,28/07/2021,27000,27000,27000,27000,-,25400
26,29/07/2021,27000,27000,27000,27000,-,25400
27,30/07/2021,27000,27000,27000,27000,-,25400
28,02/08/2021,27000,27000,27000,27000,-,25400
29,03/08/2021,23000,23000,23000,23000,300,21600
30,04/08/2021,20000,19700,20000,19700,900,18500
31,05/08/2021,17000,16800,17000,16800,1700,15800
32,06/08/2021,18000,17200,17200,17200,600,16200
33,09/08/2021,17500,17400,17400,17500,835,16400
34,10/08/2021,17600,17600,17600,17600,300,16500
35,11/08/2021,17900,17900,17900,17900,200,16800
36,12/08/2021,17900,17900,17900,17900,-,16800
37,13/08/2021,17900,17900,17900,17900,-,16800
38,16/08/2021,18200,18200,18200,18200,100,17100
39,17/08/2021,18200,18200,18200,18200,-,17100
40,18/08/2021,18200,18200,18200,18200,-,17100
