,Date,High,Low,Open,Close,Volume,Adj Close
0,23/06/2021,15100,15100,15100,15100,-,13900
1,24/06/2021,15100,15100,15100,15100,-,13900
2,25/06/2021,15100,15100,15100,15100,-,13900
3,28/06/2021,15100,15100,15100,15100,-,13900
4,29/06/2021,15100,15100,15100,15100,-,13900
5,30/06/2021,13900,13900,13900,13900,-,13900
6,01/07/2021,13900,13900,13900,13900,-,13900
7,02/07/2021,13900,13900,13900,13900,1,13900
8,05/07/2021,13900,13900,13900,13900,-,13900
9,06/07/2021,13900,13900,13900,13900,-,13900
10,07/07/2021,13900,13900,13900,13900,-,13900
11,08/07/2021,13900,13900,13900,13900,-,13900
12,09/07/2021,13900,13900,13900,13900,-,13900
13,12/07/2021,13900,13900,13900,13900,-,13900
14,13/07/2021,13900,13900,13900,13900,-,13900
15,14/07/2021,13900,13900,13900,13900,-,13900
16,15/07/2021,13900,13900,13900,13900,-,13900
17,16/07/2021,13900,13900,13900,13900,-,13900
18,19/07/2021,13900,13900,13900,13900,-,13900
19,20/07/2021,13900,13900,13900,13900,-,13900
20,21/07/2021,13900,13900,13900,13900,-,13900
21,22/07/2021,14000,14000,14000,14000,186,14000
22,23/07/2021,14000,14000,14000,14000,-,14000
23,26/07/2021,14000,14000,14000,14000,-,14000
24,27/07/2021,11900,11900,11900,11900,112,11900
25,28/07/2021,11900,11900,11900,11900,-,11900
26,29/07/2021,11900,11900,11900,11900,-,11900
27,30/07/2021,11100,11100,11100,11100,100,11100
28,02/08/2021,11100,11100,11100,11100,-,11100
29,03/08/2021,11100,11100,11100,11100,-,11100
30,04/08/2021,11100,11100,11100,11100,-,11100
31,05/08/2021,11100,11100,11100,11100,-,11100
32,06/08/2021,11100,11100,11100,11100,-,11100
33,09/08/2021,11100,11100,11100,11100,-,11100
34,10/08/2021,11100,11100,11100,11100,-,11100
35,11/08/2021,11100,11100,11100,11100,-,11100
36,12/08/2021,11100,11100,11100,11100,-,11100
37,13/08/2021,11100,11100,11100,11100,-,11100
38,16/08/2021,11100,11100,11100,11100,-,11100
39,17/08/2021,11100,11100,11100,11100,-,11100
40,18/08/2021,11100,11100,11100,11100,-,11100
41,19/08/2021,11100,11100,11100,11100,-,11100
42,20/08/2021,11100,11100,11100,11100,-,11100
43,23/08/2021,11100,11100,11100,11100,-,11100
44,24/08/2021,11100,11100,11100,11100,-,11100
45,25/08/2021,9500,9500,9500,9500,100,9500
46,26/08/2021,9500,9500,9500,9500,-,9500
47,27/08/2021,9500,9500,9500,9500,-,9500
48,30/08/2021,10900,10900,10900,10900,4000,10900
49,31/08/2021,12500,12500,12500,12500,100,12500
50,01/09/2021,12500,12500,12500,12500,-,12500
51,06/09/2021,14100,14100,14100,14100,100,14100
52,07/09/2021,14900,14900,14900,14900,101,14900
53,08/09/2021,14900,14900,14900,14900,-,14900
54,09/09/2021,16700,16700,16700,16700,100,16700
55,10/09/2021,14300,14300,14300,14300,2300,14300
56,13/09/2021,14300,14300,14300,14300,-,14300
57,14/09/2021,16400,16400,16400,16400,100,16400
58,15/09/2021,18600,17500,17500,18600,400,18600
59,16/09/2021,17900,17900,17900,17900,-,17900
60,17/09/2021,17900,17900,17900,17900,-,17900
61,20/09/2021,17900,17900,17900,17900,-,17900
62,21/09/2021,17900,17900,17900,17900,-,17900
63,22/09/2021,17900,17900,17900,17900,-,17900
64,23/09/2021,17900,17900,17900,17900,-,17900
65,24/09/2021,17900,17900,17900,17900,-,17900
66,27/09/2021,17900,17900,17900,17900,-,17900
67,28/09/2021,17900,17900,17900,17900,-,17900
68,29/09/2021,17900,17900,17900,17900,-,17900
69,30/09/2021,17900,17900,17900,17900,-,17900
70,01/10/2021,17900,17900,17900,17900,-,17900
71,04/10/2021,17900,17900,17900,17900,-,17900
72,05/10/2021,17900,17900,17900,17900,-,17900
73,06/10/2021,17900,17900,17900,17900,-,17900
74,07/10/2021,17900,17900,17900,17900,-,17900
75,08/10/2021,17900,17900,17900,17900,-,17900
76,11/10/2021,17900,17900,17900,17900,-,17900
77,12/10/2021,17900,17900,17900,17900,-,17900
78,13/10/2021,17900,17900,17900,17900,-,17900
79,14/10/2021,17900,17900,17900,17900,-,17900
80,15/10/2021,17900,17900,17900,17900,-,17900
81,18/10/2021,17900,17900,17900,17900,-,17900
82,19/10/2021,17900,17900,17900,17900,-,17900
83,20/10/2021,17900,17900,17900,17900,-,17900
84,21/10/2021,17900,17900,17900,17900,-,17900
85,22/10/2021,17900,17900,17900,17900,-,17900
86,25/10/2021,17900,17900,17900,17900,-,17900
87,26/10/2021,17900,17900,17900,17900,-,17900
88,27/10/2021,17900,17900,17900,17900,-,17900
89,28/10/2021,17900,17900,17900,17900,-,17900
90,29/10/2021,17900,17900,17900,17900,-,17900
91,01/11/2021,17900,17900,17900,17900,-,17900
92,02/11/2021,17900,17900,17900,17900,-,17900
93,03/11/2021,15000,15000,15000,15000,700,15000
94,04/11/2021,15000,15000,15000,15000,400,15000
95,05/11/2021,15000,15000,15000,15000,-,15000
96,08/11/2021,15000,15000,15000,15000,-,15000
