,Date,High,Low,Open,Close,Volume,Adj Close
0,02/06/2021,33000,33000,33000,33000,-,30600
1,03/06/2021,33000,33000,33000,33000,-,30600
2,04/06/2021,33000,33000,33000,33000,-,30600
3,07/06/2021,33000,33000,33000,33000,-,30600
4,08/06/2021,33000,33000,33000,33000,-,30600
5,09/06/2021,33000,33000,33000,33000,-,30600
6,10/06/2021,33000,33000,33000,33000,-,30600
7,11/06/2021,33000,33000,33000,33000,-,30600
8,14/06/2021,33000,33000,33000,33000,-,30600
9,15/06/2021,33000,33000,33000,33000,-,30600
10,16/06/2021,33000,33000,33000,33000,-,30600
11,17/06/2021,33000,33000,33000,33000,-,30600
12,18/06/2021,33000,33000,33000,33000,-,30600
13,21/06/2021,33000,33000,33000,33000,-,30600
14,22/06/2021,33000,33000,33000,33000,-,30600
15,23/06/2021,33000,33000,33000,33000,-,30600
16,24/06/2021,33000,33000,33000,33000,-,30600
17,25/06/2021,33000,33000,33000,33000,-,30600
18,28/06/2021,33000,33000,33000,33000,-,30600
19,29/06/2021,33000,33000,33000,33000,-,30600
20,30/06/2021,33000,33000,33000,33000,-,30600
21,01/07/2021,33000,33000,33000,33000,-,30600
22,02/07/2021,33000,33000,33000,33000,-,30600
23,05/07/2021,33000,33000,33000,33000,-,30600
24,06/07/2021,33000,33000,33000,33000,-,30600
25,07/07/2021,33000,33000,33000,33000,-,30600
26,08/07/2021,33000,33000,33000,33000,-,30600
27,09/07/2021,33000,33000,33000,33000,-,30600
28,12/07/2021,33000,33000,33000,33000,-,30600
29,13/07/2021,33000,33000,33000,33000,-,30600
30,14/07/2021,33000,33000,33000,33000,-,30600
31,15/07/2021,33000,33000,33000,33000,-,30600
32,16/07/2021,33000,33000,33000,33000,-,30600
33,19/07/2021,33000,33000,33000,33000,-,30600
34,20/07/2021,33000,33000,33000,33000,-,30600
35,21/07/2021,33000,33000,33000,33000,-,30600
36,22/07/2021,33000,33000,33000,33000,-,30600
37,23/07/2021,33000,33000,33000,33000,-,30600
38,26/07/2021,33000,33000,33000,33000,-,30600
39,27/07/2021,33000,33000,33000,33000,-,30600
40,28/07/2021,33000,33000,33000,33000,-,30600
41,29/07/2021,33000,33000,33000,33000,-,30600
42,30/07/2021,33000,33000,33000,33000,-,30600
43,02/08/2021,33000,33000,33000,33000,-,30600
44,03/08/2021,33000,33000,33000,33000,-,30600
45,04/08/2021,33000,33000,33000,33000,-,30600
46,05/08/2021,33000,33000,33000,33000,-,30600
47,06/08/2021,33000,33000,33000,33000,-,30600
48,09/08/2021,33000,33000,33000,33000,-,30600
49,10/08/2021,33000,33000,33000,33000,-,30600
50,11/08/2021,33000,33000,33000,33000,-,30600
51,12/08/2021,33000,33000,33000,33000,-,30600
52,13/08/2021,33000,33000,33000,33000,-,30600
53,16/08/2021,33000,33000,33000,33000,-,30600
54,17/08/2021,33000,33000,33000,33000,-,30600
55,18/08/2021,33000,33000,33000,33000,-,30600
56,19/08/2021,33000,33000,33000,33000,-,30600
57,20/08/2021,33000,33000,33000,33000,-,30600
58,23/08/2021,33000,33000,33000,33000,-,30600
59,24/08/2021,33000,33000,33000,33000,-,30600
60,25/08/2021,33000,33000,33000,33000,-,30600
61,26/08/2021,33000,33000,33000,33000,-,30600
62,27/08/2021,33000,33000,33000,33000,-,30600
63,30/08/2021,33000,33000,33000,33000,-,30600
64,31/08/2021,33000,33000,33000,33000,-,30600
65,01/09/2021,33000,33000,33000,33000,-,30600
66,06/09/2021,33000,33000,33000,33000,-,30600
67,07/09/2021,33000,33000,33000,33000,-,30600
68,08/09/2021,40000,40000,40000,40000,700,37100
69,09/09/2021,40000,40000,40000,40000,-,37100
70,10/09/2021,40000,40000,40000,40000,-,37100
71,13/09/2021,40000,40000,40000,40000,2,37100
72,14/09/2021,40000,40000,40000,40000,-,37100
73,15/09/2021,40000,40000,40000,40000,-,37100
74,16/09/2021,41000,41000,41000,41000,100,38000
75,17/09/2021,41000,41000,41000,41000,-,38000
