,Date,High,Low,Open,Close,Volume,Adj Close
0,08/06/2021,19200,19200,19200,19200,-,18200
1,09/06/2021,19200,19200,19200,19200,-,18200
2,10/06/2021,19200,19200,19200,19200,-,18200
3,11/06/2021,19200,19200,19200,19200,-,18200
4,14/06/2021,19200,19200,19200,19200,-,18200
5,15/06/2021,19200,19200,19200,19200,4,18200
6,16/06/2021,19200,19200,19200,19200,-,18200
7,17/06/2021,19200,19200,19200,19200,-,18200
8,18/06/2021,19200,19200,19200,19200,-,18200
9,21/06/2021,19200,19200,19200,19200,-,18200
10,22/06/2021,19200,19200,19200,19200,-,18200
11,23/06/2021,19200,19200,19200,19200,-,18200
12,24/06/2021,19200,19200,19200,19200,-,18200
13,25/06/2021,19200,19200,19200,19200,-,18200
14,28/06/2021,19200,19200,19200,19200,-,18200
15,29/06/2021,19200,19200,19200,19200,-,18200
16,30/06/2021,19200,19200,19200,19200,-,18200
17,01/07/2021,19200,19200,19200,19200,-,18200
18,02/07/2021,19200,19200,19200,19200,-,18200
19,05/07/2021,19200,19200,19200,19200,-,18200
20,06/07/2021,19200,19200,19200,19200,-,18200
21,07/07/2021,25000,25000,25000,25000,800,23700
22,08/07/2021,25000,25000,25000,25000,800,23700
23,09/07/2021,25000,25000,25000,25000,700,23700
24,12/07/2021,25000,25000,25000,25000,-,23700
25,13/07/2021,25000,25000,25000,25000,-,23700
26,14/07/2021,25000,25000,25000,25000,-,23700
27,15/07/2021,25000,25000,25000,25000,-,23700
28,16/07/2021,25000,25000,25000,25000,10,23700
29,19/07/2021,28000,28000,28000,28000,300,26500
30,20/07/2021,28000,28000,28000,28000,-,26500
31,21/07/2021,28000,28000,28000,28000,-,26500
32,22/07/2021,28000,28000,28000,28000,5,26500
33,23/07/2021,28000,28000,28000,28000,10,26500
34,26/07/2021,28000,28000,28000,28000,-,26500
35,27/07/2021,28000,28000,28000,28000,-,26500
36,28/07/2021,28000,28000,28000,28000,-,26500
37,29/07/2021,28000,28000,28000,28000,-,26500
38,30/07/2021,28000,28000,28000,28000,-,26500
39,02/08/2021,28000,28000,28000,28000,-,26500
40,03/08/2021,28000,28000,28000,28000,-,26500
41,04/08/2021,28000,28000,28000,28000,-,26500
42,05/08/2021,28000,28000,28000,28000,-,26500
43,06/08/2021,28000,28000,28000,28000,-,26500
44,09/08/2021,28000,28000,28000,28000,115,26500
45,10/08/2021,28000,28000,28000,28000,-,26500
46,11/08/2021,28000,28000,28000,28000,-,26500
47,12/08/2021,28000,28000,28000,28000,-,26500
48,13/08/2021,28000,28000,28000,28000,-,26500
49,16/08/2021,26000,26000,26000,26000,100,24600
50,17/08/2021,26000,26000,26000,26000,-,24600
51,18/08/2021,26000,26000,26000,26000,-,24600
52,19/08/2021,26000,26000,26000,26000,-,24600
53,20/08/2021,26000,26000,26000,26000,300,24600
54,23/08/2021,26000,26000,26000,26000,-,24600
55,24/08/2021,26000,26000,26000,26000,-,24600
56,25/08/2021,26000,26000,26000,26000,-,24600
57,26/08/2021,26000,26000,26000,26000,-,24600
58,27/08/2021,26000,26000,26000,26000,-,24600
59,30/08/2021,26100,26000,26000,26100,600,26100
60,31/08/2021,26100,26100,26100,26100,-,26100
61,01/09/2021,26100,26100,26100,26100,-,26100
62,06/09/2021,26100,26100,26100,26100,-,26100
63,07/09/2021,26100,26100,26100,26100,-,26100
64,08/09/2021,26200,26200,26200,26200,138,26200
65,09/09/2021,26000,26000,26000,26000,100,26000
66,10/09/2021,26000,26000,26000,26000,-,26000
67,13/09/2021,26000,26000,26000,26000,-,26000
68,14/09/2021,26000,26000,26000,26000,-,26000
69,15/09/2021,26000,26000,26000,26000,100,26000
70,16/09/2021,26000,26000,26000,26000,-,26000
71,17/09/2021,26000,26000,26000,26000,300,26000
72,20/09/2021,26000,26000,26000,26000,-,26000
73,21/09/2021,26000,26000,26000,26000,100,26000
74,22/09/2021,26000,26000,26000,26000,100,26000
75,23/09/2021,26000,26000,26000,26000,-,26000
76,24/09/2021,26000,26000,26000,26000,-,26000
77,27/09/2021,26000,26000,26000,26000,-,26000
78,28/09/2021,26000,26000,26000,26000,-,26000
79,29/09/2021,26000,26000,26000,26000,-,26000
80,30/09/2021,26000,26000,26000,26000,-,26000
81,01/10/2021,26000,26000,26000,26000,-,26000
82,04/10/2021,26000,26000,26000,26000,-,26000
83,05/10/2021,26000,26000,26000,26000,-,26000
84,06/10/2021,26000,26000,26000,26000,-,26000
85,07/10/2021,26000,26000,26000,26000,-,26000
86,08/10/2021,26000,26000,26000,26000,-,26000
87,11/10/2021,26000,26000,26000,26000,-,26000
88,12/10/2021,26000,26000,26000,26000,-,26000
89,13/10/2021,26000,26000,26000,26000,-,26000
90,14/10/2021,26000,26000,26000,26000,-,26000
91,15/10/2021,26000,26000,26000,26000,-,26000
92,18/10/2021,26000,26000,26000,26000,-,26000
93,19/10/2021,26000,26000,26000,26000,-,26000
94,20/10/2021,26000,26000,26000,26000,-,26000
95,21/10/2021,26000,26000,26000,26000,-,26000
96,22/10/2021,26000,26000,26000,26000,1000,26000
97,25/10/2021,26000,26000,26000,26000,-,26000
98,26/10/2021,26000,26000,26000,26000,-,26000
99,27/10/2021,26000,26000,26000,26000,-,26000
100,28/10/2021,26000,26000,26000,26000,-,26000
101,29/10/2021,26000,26000,26000,26000,-,26000
102,01/11/2021,26000,26000,26000,26000,-,26000
103,02/11/2021,26000,26000,26000,26000,-,26000
104,03/11/2021,26000,26000,26000,26000,-,26000
105,04/11/2021,22100,22100,22100,22100,11200,22100
106,05/11/2021,19000,19000,19000,19000,8300,19000
107,08/11/2021,19000,19000,19000,19000,-,19000
108,09/11/2021,19000,19000,19000,19000,-,19000
109,10/11/2021,19000,19000,19000,19000,-,19000
110,11/11/2021,19000,19000,19000,19000,-,19000
111,12/11/2021,16200,16200,16200,16200,3000,16200
112,15/11/2021,16200,16200,16200,16200,-,16200
113,16/11/2021,16200,16200,16200,16200,-,16200
114,17/11/2021,16200,16200,16200,16200,-,16200
115,18/11/2021,16200,16200,16200,16200,30,16200
116,19/11/2021,16200,16200,16200,16200,-,16200
117,22/11/2021,16200,16200,16200,16200,-,16200
118,23/11/2021,16200,16200,16200,16200,-,16200
119,24/11/2021,16200,16200,16200,16200,-,16200
120,25/11/2021,16200,16200,16200,16200,1800,16200
121,26/11/2021,16200,16200,16200,16200,-,16200
122,29/11/2021,16200,16200,16200,16200,5,16200
123,30/11/2021,16200,16200,16200,16200,-,16200
124,01/12/2021,16200,16200,16200,16200,-,16200
125,02/12/2021,16200,16200,16200,16200,-,16200
126,03/12/2021,16200,16200,16200,16200,1,16200
127,06/12/2021,16200,16200,16200,16200,-,16200
128,07/12/2021,16200,16200,16200,16200,-,16200
129,08/12/2021,16200,16200,16200,16200,-,16200
130,09/12/2021,16200,16200,16200,16200,-,16200
131,10/12/2021,16200,16200,16200,16200,-,16200
132,13/12/2021,16200,16200,16200,16200,-,16200
133,14/12/2021,16200,16200,16200,16200,-,16200
134,15/12/2021,16200,16200,16200,16200,5,16200
135,16/12/2021,16200,16200,16200,16200,-,16200
136,17/12/2021,16200,16200,16200,16200,-,16200
137,20/12/2021,16200,16200,16200,16200,-,16200
138,21/12/2021,16200,16200,16200,16200,-,16200
139,22/12/2021,16200,16200,16200,16200,-,16200
140,23/12/2021,16200,16200,16200,16200,-,16200
141,24/12/2021,16200,16200,16200,16200,-,16200
