,Date,High,Low,Open,Close,Volume,Adj Close
0,23/06/2021,35000,33900,34800,34400,648950,34400
1,24/06/2021,34400,33200,34000,33400,569202,33400
2,25/06/2021,33400,32300,33400,32600,871758,32600
3,28/06/2021,33500,32600,32600,33300,454459,33300
4,29/06/2021,33600,32800,33300,33000,242327,33000
5,30/06/2021,33200,32500,33200,32600,310466,32600
6,01/07/2021,32900,32100,32900,32500,402822,32500
7,02/07/2021,33000,31900,32500,32000,524057,32000
8,05/07/2021,32000,30900,32000,31000,653100,31000
9,06/07/2021,32000,30000,31000,30400,554500,30400
10,07/07/2021,30800,29900,30400,30800,398860,30800
11,08/07/2021,31200,30000,31200,30400,196062,30400
12,09/07/2021,30500,29200,30500,29300,439410,29300
13,12/07/2021,29300,26000,29200,27100,481708,27100
14,13/07/2021,28000,27100,27100,28000,292175,28000
15,14/07/2021,28400,27400,28000,28000,243855,28000
16,15/07/2021,28400,27500,28000,28200,134809,28200
17,16/07/2021,29500,28400,28400,29300,331230,29300
18,19/07/2021,29200,27500,29200,27700,255088,27700
19,20/07/2021,28300,27500,27700,28300,143645,28300
20,21/07/2021,28800,27900,28800,28000,180863,28000
21,22/07/2021,28600,28000,28200,28600,235072,28600
22,23/07/2021,28600,28000,28600,28300,184042,28300
23,26/07/2021,28400,27600,28300,28300,173500,28300
24,27/07/2021,29900,28300,28300,29500,597872,29500
25,28/07/2021,31000,29300,29300,30400,414731,30400
26,29/07/2021,30500,29900,30500,30200,197135,30200
27,30/07/2021,30300,29900,30300,30000,283980,30000
28,02/08/2021,31500,30400,30900,31400,883621,31400
29,03/08/2021,31500,30500,31500,31100,390051,31100
30,04/08/2021,31200,30800,31000,30900,236688,30900
31,05/08/2021,31000,30400,31000,30800,409698,30800
32,06/08/2021,31200,29900,30800,30500,625336,30500
33,09/08/2021,31900,30200,30400,31400,521370,31400
34,10/08/2021,32200,31400,31500,31800,431731,31800
35,11/08/2021,33000,31700,31700,32700,1072967,32700
36,12/08/2021,32900,32200,32500,32500,560635,32500
37,13/08/2021,32600,31600,32500,32300,424050,32300
38,16/08/2021,32900,31900,32300,32800,612549,32800
39,17/08/2021,34300,32800,33000,33500,1036816,33500
40,18/08/2021,33700,33000,33500,33100,427166,33100
41,19/08/2021,33700,33000,33100,33200,387855,33200
42,20/08/2021,33300,30000,33300,31200,1277002,31200
43,23/08/2021,31400,29500,31400,29800,698795,29800
44,24/08/2021,30500,29100,30200,29500,631035,29500
45,25/08/2021,29800,28500,29500,29300,605124,29300
46,26/08/2021,30300,29000,29000,29500,324706,29500
47,27/08/2021,30500,29400,29500,30300,367830,30300
48,30/08/2021,31000,30400,30500,31000,430424,31000
49,31/08/2021,31800,31100,31400,31300,423772,31300
50,01/09/2021,31600,31000,31600,31200,401824,31200
51,06/09/2021,33100,31100,31200,32700,925643,32700
52,07/09/2021,33500,31900,33500,32300,842589,32300
53,08/09/2021,32400,31500,32000,31800,418422,31800
54,09/09/2021,32600,31500,31600,32600,477162,32600
55,10/09/2021,35400,32500,32500,34800,3925002,34800
56,13/09/2021,35500,34200,34800,34400,901212,34400
57,14/09/2021,36800,34100,34700,36000,1803482,36000
58,15/09/2021,36200,35200,36000,35800,1446818,35800
59,16/09/2021,35900,34600,35800,35500,1082583,35500
60,17/09/2021,37200,34800,35400,36300,1688471,36300
61,20/09/2021,37000,35000,36300,35400,1122197,35400
62,21/09/2021,35200,34000,35200,34700,1158899,34700
63,22/09/2021,35500,34200,34900,35200,918382,35200
64,23/09/2021,35800,34600,35400,35000,916639,35000
65,24/09/2021,35500,34000,35000,34100,838100,34100
66,27/09/2021,34500,31800,34200,33500,1760846,33500
67,28/09/2021,34200,32500,32800,33900,841725,33900
68,29/09/2021,35000,33300,33500,34200,414159,34200
69,30/09/2021,34900,33600,34200,34300,558925,34300
70,01/10/2021,34900,33700,34000,34300,452090,34300
71,04/10/2021,35900,34300,34500,35500,1425614,35500
72,05/10/2021,37000,35300,35300,36100,1233975,36100
73,06/10/2021,36600,35900,36200,36100,504394,36100
74,07/10/2021,37700,35900,36100,37000,1966581,37000
75,08/10/2021,37300,36500,37000,36600,637084,36600
76,11/10/2021,37500,36400,36600,36700,915647,36700
77,12/10/2021,36700,35900,36700,36200,1078166,36200
78,13/10/2021,38100,35700,36200,38000,1982878,38000
79,14/10/2021,38700,37500,37500,37900,1105474,37900
80,15/10/2021,38500,37200,37800,38200,956521,38200
81,18/10/2021,39200,37800,38000,38600,1882648,38600
82,19/10/2021,39000,37900,38600,38600,600653,38600
83,20/10/2021,38500,37200,38000,38300,604450,38300
84,21/10/2021,38800,37400,38500,37800,396243,37800
85,22/10/2021,38000,37000,37800,37500,669286,37500
86,25/10/2021,37900,36700,37900,36900,533523,36900
87,26/10/2021,37800,36600,36900,37400,727721,37400
88,27/10/2021,37900,37300,37400,37500,752737,37500
89,28/10/2021,38100,37600,37800,38100,847445,38100
90,29/10/2021,39400,38200,38200,39000,2310413,39000
91,01/11/2021,39800,38500,39100,38700,1240132,38700
92,02/11/2021,39400,38000,38700,38800,1602069,38800
93,03/11/2021,39000,37500,38800,37500,1490049,37500
94,04/11/2021,37900,37300,37500,37900,741502,37900
95,05/11/2021,38400,37500,37900,37700,706291,37700
96,08/11/2021,38000,37200,37500,37700,952340,37700
97,09/11/2021,37900,37300,37500,37600,821840,37600
98,10/11/2021,37900,37200,37600,37300,690836,37300
99,11/11/2021,37500,36300,37400,36600,1524668,36600
100,12/11/2021,36700,36000,36600,36400,1172252,36400
101,15/11/2021,37300,36000,36200,37200,684508,37200
102,16/11/2021,37300,36400,37300,36700,556379,36700
103,17/11/2021,38200,36300,36700,37700,1473873,37700
104,18/11/2021,38000,37000,37400,37400,814868,37400
105,19/11/2021,37900,34700,37400,36300,944685,36300
106,22/11/2021,36800,33500,36800,33600,1146248,33600
107,23/11/2021,34800,33000,33600,34600,694691,34600
108,24/11/2021,35500,34200,34900,34600,611841,34600
109,25/11/2021,35300,34600,34600,34900,377788,34900
110,26/11/2021,35200,33900,35000,34400,734626,34400
111,29/11/2021,34200,33200,33600,33900,561544,33900
112,30/11/2021,35500,33700,33700,34700,563492,34700
113,01/12/2021,35400,34400,34700,34800,372316,34800
114,02/12/2021,35000,34600,34800,34900,284615,34900
115,03/12/2021,35200,33400,35000,33400,478373,33400
116,06/12/2021,34100,31500,34100,31900,732063,31900
117,07/12/2021,33200,31700,31900,32400,637131,32400
118,08/12/2021,33000,31900,33000,32200,398143,32200
119,09/12/2021,32600,31800,32200,32500,442200,32500
120,10/12/2021,32900,32300,32500,32800,366400,32800
121,13/12/2021,33500,32800,32800,33400,328314,33400
