,Date,High,Low,Open,Close,Volume,Adj Close
0,21/06/2021,7200,7200,7200,7200,-,7200
1,22/06/2021,7200,7200,7200,7200,1300,7200
2,23/06/2021,7700,7200,7200,7500,2800,7500
3,24/06/2021,7300,7300,7300,7300,-,7300
4,25/06/2021,7200,7200,7200,7200,300,7200
5,28/06/2021,7200,7200,7200,7200,-,7200
6,29/06/2021,7000,7000,7000,7000,100,7000
7,30/06/2021,7000,7000,7000,7000,-,7000
8,01/07/2021,6100,6000,6100,6000,4800,6000
9,02/07/2021,6900,6900,6900,6900,800,6900
10,05/07/2021,7000,7000,7000,7000,900,7000
11,06/07/2021,6900,6900,6900,6900,500,6900
12,07/07/2021,7100,7000,7000,7100,11300,7100
13,08/07/2021,7400,7100,7100,7400,200,7400
14,09/07/2021,7000,7000,7000,7000,5900,7000
15,12/07/2021,6800,6700,6800,6700,200,6700
16,13/07/2021,7000,6500,6500,7000,4500,7000
17,14/07/2021,7200,7000,7000,7200,6500,7200
18,15/07/2021,6400,6400,6400,6400,200,6400
19,16/07/2021,6400,6400,6400,6400,-,6400
20,19/07/2021,6400,6400,6400,6400,100,6400
21,20/07/2021,6900,6500,6500,6900,200,6900
22,21/07/2021,6700,6700,6700,6700,500,6700
23,22/07/2021,6700,6700,6700,6700,-,6700
24,23/07/2021,6700,6700,6700,6700,-,6700
25,26/07/2021,6700,6700,6700,6700,-,6700
26,27/07/2021,6700,6700,6700,6700,-,6700
27,28/07/2021,6700,6700,6700,6700,-,6700
28,29/07/2021,6700,6700,6700,6700,-,6700
29,30/07/2021,6800,6800,6800,6800,1300,6800
30,02/08/2021,6800,6800,6800,6800,-,6800
31,03/08/2021,6800,6800,6800,6800,-,6800
32,04/08/2021,6800,6800,6800,6800,-,6800
33,05/08/2021,6800,6800,6800,6800,-,6800
34,06/08/2021,7000,6100,7000,6100,1101,6100
35,09/08/2021,6300,6300,6300,6300,-,6300
36,10/08/2021,6300,6300,6300,6300,-,6300
37,11/08/2021,6300,6300,6300,6300,-,6300
38,12/08/2021,6300,6300,6300,6300,-,6300
39,13/08/2021,7200,7200,7200,7200,2304000,7200
