,Date,High,Low,Open,Close,Volume,Adj Close
0,08/06/2021,600,600,600,600,-,600
1,09/06/2021,600,600,600,600,-,600
2,10/06/2021,600,600,600,600,-,600
3,11/06/2021,600,600,600,600,-,600
4,14/06/2021,600,600,600,600,-,600
5,15/06/2021,600,600,600,600,-,600
6,16/06/2021,600,600,600,600,-,600
7,17/06/2021,600,600,600,600,-,600
8,18/06/2021,600,600,600,600,-,600
9,21/06/2021,600,600,600,600,-,600
10,22/06/2021,600,600,600,600,-,600
11,23/06/2021,600,600,600,600,-,600
12,02/07/2021,800,800,800,800,759200,800
13,05/07/2021,800,800,800,800,-,800
14,06/07/2021,800,800,800,800,-,800
15,07/07/2021,800,800,800,800,-,800
16,08/07/2021,800,800,800,800,-,800
17,09/07/2021,900,900,900,900,424300,900
18,12/07/2021,900,900,900,900,-,900
19,13/07/2021,900,900,900,900,-,900
20,14/07/2021,900,900,900,900,-,900
21,15/07/2021,900,900,900,900,-,900
22,16/07/2021,1000,1000,1000,1000,71503,1000
23,19/07/2021,1000,1000,1000,1000,-,1000
24,20/07/2021,1000,1000,1000,1000,-,1000
25,21/07/2021,1000,1000,1000,1000,-,1000
26,22/07/2021,1000,1000,1000,1000,-,1000
27,23/07/2021,1100,1000,1100,1100,1443601,1100
28,26/07/2021,1100,1100,1100,1100,-,1100
29,27/07/2021,1100,1100,1100,1100,-,1100
30,28/07/2021,1100,1100,1100,1100,-,1100
31,29/07/2021,1100,1100,1100,1100,-,1100
32,30/07/2021,1200,1000,1200,1000,641806,1000
33,02/08/2021,1000,1000,1000,1000,-,1000
34,03/08/2021,1000,1000,1000,1000,-,1000
35,04/08/2021,1000,1000,1000,1000,-,1000
36,05/08/2021,1000,1000,1000,1000,-,1000
37,06/08/2021,1000,900,1000,900,448400,900
38,09/08/2021,900,900,900,900,-,900
39,10/08/2021,900,900,900,900,-,900
40,11/08/2021,900,900,900,900,-,900
41,12/08/2021,900,900,900,900,-,900
42,13/08/2021,900,800,800,900,350400,900
43,16/08/2021,800,800,800,800,-,800
44,17/08/2021,800,800,800,800,-,800
45,18/08/2021,800,800,800,800,-,800
46,19/08/2021,800,800,800,800,-,800
47,20/08/2021,900,700,800,900,291400,900
48,23/08/2021,800,800,800,800,-,800
49,24/08/2021,800,800,800,800,-,800
50,25/08/2021,800,800,800,800,-,800
51,26/08/2021,800,800,800,800,-,800
52,27/08/2021,900,800,900,900,39800,900
53,30/08/2021,800,800,800,800,-,800
54,31/08/2021,800,800,800,800,-,800
55,01/09/2021,800,800,800,800,-,800
56,06/09/2021,800,800,800,800,-,800
57,07/09/2021,800,800,800,800,-,800
58,08/09/2021,800,800,800,800,-,800
59,09/09/2021,800,800,800,800,-,800
60,10/09/2021,900,800,800,900,393405,900
61,13/09/2021,900,900,900,900,-,900
62,14/09/2021,900,900,900,900,-,900
63,15/09/2021,900,900,900,900,-,900
64,16/09/2021,900,900,900,900,-,900
65,17/09/2021,1000,1000,1000,1000,431800,1000
66,20/09/2021,1000,1000,1000,1000,-,1000
67,21/09/2021,1000,1000,1000,1000,-,1000
68,22/09/2021,1000,1000,1000,1000,-,1000
69,23/09/2021,1000,1000,1000,1000,-,1000
70,24/09/2021,1100,1100,1100,1100,615800,1100
71,27/09/2021,1100,1100,1100,1100,-,1100
72,28/09/2021,1100,1100,1100,1100,-,1100
73,29/09/2021,1100,1100,1100,1100,-,1100
74,30/09/2021,1100,1100,1100,1100,-,1100
75,01/10/2021,1200,1200,1200,1200,716215,1200
76,04/10/2021,1200,1200,1200,1200,-,1200
77,05/10/2021,1200,1200,1200,1200,-,1200
78,06/10/2021,1200,1200,1200,1200,-,1200
79,07/10/2021,1200,1200,1200,1200,-,1200
80,08/10/2021,1300,1300,1300,1300,24000,1300
81,11/10/2021,1300,1300,1300,1300,-,1300
82,12/10/2021,1300,1300,1300,1300,-,1300
83,13/10/2021,1300,1300,1300,1300,-,1300
84,14/10/2021,1300,1300,1300,1300,-,1300
85,15/10/2021,1400,1400,1400,1400,10000,1400
86,18/10/2021,1400,1400,1400,1400,-,1400
87,19/10/2021,1400,1400,1400,1400,-,1400
88,20/10/2021,1400,1400,1400,1400,-,1400
89,21/10/2021,1400,1400,1400,1400,-,1400
90,22/10/2021,1600,1600,1600,1600,40100,1600
91,25/10/2021,1600,1600,1600,1600,-,1600
92,26/10/2021,1600,1600,1600,1600,-,1600
93,27/10/2021,1600,1600,1600,1600,-,1600
94,28/10/2021,1600,1600,1600,1600,-,1600
95,29/10/2021,1800,1800,1800,1800,10700,1800
96,01/11/2021,1800,1800,1800,1800,-,1800
97,02/11/2021,1800,1800,1800,1800,-,1800
98,03/11/2021,1800,1800,1800,1800,-,1800
99,04/11/2021,1800,1800,1800,1800,-,1800
100,05/11/2021,2000,2000,2000,2000,84100,2000
101,08/11/2021,2000,2000,2000,2000,-,2000
102,09/11/2021,2000,2000,2000,2000,-,2000
103,10/11/2021,2000,2000,2000,2000,-,2000
104,11/11/2021,2000,2000,2000,2000,-,2000
105,12/11/2021,2300,2300,2300,2300,274802,2300
106,15/11/2021,2300,2300,2300,2300,-,2300
107,16/11/2021,2300,2300,2300,2300,-,2300
108,17/11/2021,2300,2300,2300,2300,-,2300
109,18/11/2021,2300,2300,2300,2300,-,2300
110,19/11/2021,2600,2500,2600,2600,979900,2600
111,22/11/2021,2600,2600,2600,2600,-,2600
112,23/11/2021,2600,2600,2600,2600,-,2600
113,24/11/2021,2600,2600,2600,2600,-,2600
114,25/11/2021,2600,2600,2600,2600,-,2600
115,26/11/2021,2900,2800,2900,2900,359710,2900
116,29/11/2021,2900,2900,2900,2900,-,2900
117,30/11/2021,2900,2900,2900,2900,-,2900
118,01/12/2021,2900,2900,2900,2900,-,2900
119,02/12/2021,2900,2900,2900,2900,-,2900
120,03/12/2021,3300,3300,3300,3300,294030,3300
121,06/12/2021,3300,3300,3300,3300,-,3300
122,07/12/2021,3300,3300,3300,3300,-,3300
123,08/12/2021,3300,3300,3300,3300,-,3300
124,09/12/2021,3300,3300,3300,3300,-,3300
125,10/12/2021,3700,3300,3700,3500,1922809,3500
126,13/12/2021,3600,3600,3600,3600,-,3600
127,14/12/2021,3600,3600,3600,3600,-,3600
128,15/12/2021,3600,3600,3600,3600,-,3600
129,16/12/2021,3600,3600,3600,3600,-,3600
130,17/12/2021,3700,3100,3700,3300,1245604,3300
131,20/12/2021,3300,3300,3300,3300,-,3300
132,21/12/2021,3300,3300,3300,3300,-,3300
133,22/12/2021,3300,3300,3300,3300,-,3300
134,23/12/2021,3300,3300,3300,3300,-,3300
135,24/12/2021,3300,2900,3300,2900,1085745,2900
136,27/12/2021,2900,2900,2900,2900,-,2900
137,28/12/2021,2900,2900,2900,2900,-,2900
138,29/12/2021,2900,2900,2900,2900,-,2900
139,30/12/2021,2900,2900,2900,2900,-,2900
140,31/12/2021,2900,2500,2900,2600,679145,2600
141,04/01/2022,2700,2700,2700,2700,-,2700
142,05/01/2022,2700,2700,2700,2700,-,2700
143,06/01/2022,2700,2700,2700,2700,-,2700
144,07/01/2022,3100,2700,2700,3100,666600,3100
145,10/01/2022,3000,3000,3000,3000,-,3000
146,11/01/2022,3000,3000,3000,3000,-,3000
147,12/01/2022,3000,3000,3000,3000,-,3000
148,13/01/2022,3000,3000,3000,3000,-,3000
149,14/01/2022,3000,2600,2900,2600,657900,2600
150,17/01/2022,2700,2700,2700,2700,-,2700
151,18/01/2022,2700,2700,2700,2700,-,2700
152,19/01/2022,2700,2700,2700,2700,-,2700
153,20/01/2022,2700,2700,2700,2700,-,2700
154,21/01/2022,2900,2500,2900,2500,335643,2500
155,24/01/2022,2600,2600,2600,2600,-,2600
156,25/01/2022,2600,2600,2600,2600,-,2600
157,26/01/2022,2600,2600,2600,2600,-,2600
158,27/01/2022,2600,2600,2600,2600,-,2600
159,28/01/2022,2500,2300,2500,2300,273600,2300
160,07/02/2022,2300,2300,2300,2300,-,2300
161,08/02/2022,2300,2300,2300,2300,-,2300
162,09/02/2022,2300,2300,2300,2300,-,2300
163,10/02/2022,2300,2300,2300,2300,-,2300
164,11/02/2022,2400,2100,2300,2300,241943,2300
165,14/02/2022,2200,2200,2200,2200,-,2200
166,15/02/2022,2200,2200,2200,2200,-,2200
167,16/02/2022,2200,2200,2200,2200,-,2200
168,17/02/2022,2200,2200,2200,2200,-,2200
169,18/02/2022,2400,2200,2200,2400,130143,2400
170,21/02/2022,2300,2300,2300,2300,-,2300
171,22/02/2022,2300,2300,2300,2300,-,2300
172,23/02/2022,2300,2300,2300,2300,-,2300
173,24/02/2022,2300,2300,2300,2300,-,2300
174,25/02/2022,2500,2200,2500,2300,172700,2300
175,28/02/2022,2300,2300,2300,2300,-,2300
176,01/03/2022,2300,2300,2300,2300,-,2300
177,02/03/2022,2300,2300,2300,2300,-,2300
178,03/03/2022,2300,2300,2300,2300,-,2300
179,04/03/2022,2400,2200,2300,2400,366700,2400
180,07/03/2022,2300,2300,2300,2300,-,2300
181,08/03/2022,2300,2300,2300,2300,-,2300
182,09/03/2022,2300,2300,2300,2300,-,2300
183,10/03/2022,2300,2300,2300,2300,-,2300
184,11/03/2022,2600,2400,2400,2600,909200,2600
185,14/03/2022,2500,2500,2500,2500,-,2500
186,15/03/2022,2500,2500,2500,2500,-,2500
187,16/03/2022,2500,2500,2500,2500,-,2500
188,17/03/2022,2500,2500,2500,2500,-,2500
189,18/03/2022,2700,2400,2700,2500,336043,2500
190,21/03/2022,2600,2600,2600,2600,-,2600
191,22/03/2022,2600,2600,2600,2600,-,2600
192,23/03/2022,2600,2600,2600,2600,-,2600
193,24/03/2022,2600,2600,2600,2600,-,2600
194,25/03/2022,2700,2400,2700,2500,310676,2500
195,28/03/2022,2500,2500,2500,2500,-,2500
196,29/03/2022,2500,2500,2500,2500,-,2500
197,30/03/2022,2500,2500,2500,2500,-,2500
198,31/03/2022,2500,2500,2500,2500,-,2500
199,01/04/2022,2500,2300,2400,2300,166800,2300
200,04/04/2022,2400,2400,2400,2400,-,2400
201,05/04/2022,2400,2400,2400,2400,-,2400
202,06/04/2022,2400,2400,2400,2400,-,2400
203,07/04/2022,2400,2400,2400,2400,-,2400
204,08/04/2022,2400,2100,2200,2100,148600,2100
205,12/04/2022,2100,2100,2100,2100,-,2100
206,13/04/2022,2100,2100,2100,2100,-,2100
207,14/04/2022,2100,2100,2100,2100,-,2100
208,15/04/2022,2100,1800,2100,1900,123100,1900
209,18/04/2022,1900,1900,1900,1900,-,1900
210,19/04/2022,1900,1900,1900,1900,-,1900
211,20/04/2022,1900,1900,1900,1900,-,1900
212,21/04/2022,1900,1900,1900,1900,-,1900
213,22/04/2022,1700,1700,1700,1700,154500,1700
214,25/04/2022,1700,1700,1700,1700,-,1700
215,26/04/2022,1700,1700,1700,1700,-,1700
216,27/04/2022,1700,1700,1700,1700,-,1700
217,28/04/2022,1700,1700,1700,1700,-,1700
218,29/04/2022,1900,1500,1500,1900,197800,1900
219,04/05/2022,1800,1800,1800,1800,-,1800
220,05/05/2022,1800,1800,1800,1800,-,1800
221,06/05/2022,1900,1700,1800,1700,120600,1700
222,09/05/2022,1700,1700,1700,1700,-,1700
223,10/05/2022,1700,1700,1700,1700,-,1700
224,11/05/2022,1700,1700,1700,1700,-,1700
225,12/05/2022,1700,1700,1700,1700,-,1700
226,13/05/2022,1600,1500,1500,1500,130200,1500
227,16/05/2022,1500,1500,1500,1500,-,1500
228,17/05/2022,1500,1500,1500,1500,-,1500
229,18/05/2022,1500,1500,1500,1500,-,1500
230,19/05/2022,1500,1500,1500,1500,-,1500
231,20/05/2022,1700,1500,1500,1700,68100,1700
232,23/05/2022,1700,1700,1700,1700,-,1700
233,24/05/2022,1700,1700,1700,1700,-,1700
234,25/05/2022,1700,1700,1700,1700,-,1700
235,26/05/2022,1700,1700,1700,1700,-,1700
236,27/05/2022,1800,1500,1600,1800,116600,1800
237,30/05/2022,1800,1800,1800,1800,-,1800
238,31/05/2022,1800,1800,1800,1800,-,1800
239,01/06/2022,1800,1800,1800,1800,-,1800
240,02/06/2022,1800,1800,1800,1800,-,1800
241,03/06/2022,1800,1600,1700,1600,76200,1600
242,06/06/2022,1600,1600,1600,1600,-,1600
243,07/06/2022,1600,1600,1600,1600,-,1600
244,08/06/2022,1600,1600,1600,1600,-,1600
