,Date,High,Low,Open,Close,Volume,Adj Close
0,03/06/2021,6200,6200,6200,6200,-,6200
1,04/06/2021,6700,6000,6200,6700,9200,6700
2,07/06/2021,6300,6300,6300,6300,-,6300
3,08/06/2021,6300,6300,6300,6300,-,6300
4,09/06/2021,6300,6300,6300,6300,-,6300
5,10/06/2021,6300,6300,6300,6300,-,6300
6,11/06/2021,6300,6300,6300,6300,3100,6300
7,14/06/2021,6300,6300,6300,6300,-,6300
8,15/06/2021,6300,6300,6300,6300,-,6300
9,16/06/2021,6300,6300,6300,6300,-,6300
10,17/06/2021,6300,6300,6300,6300,-,6300
11,18/06/2021,7000,6500,6500,7000,16400,7000
12,21/06/2021,7900,7500,7500,7500,3600,7500
13,22/06/2021,7600,7000,7600,7600,4600,7600
14,23/06/2021,7500,7000,7500,7500,900,7500
15,24/06/2021,7300,7300,7300,7300,5,7300
16,25/06/2021,6500,6300,6500,6300,7400,6300
17,28/06/2021,6500,6400,6500,6400,200,6400
18,29/06/2021,6500,6500,6500,6500,-,6500
19,30/06/2021,7000,6500,7000,6900,5600,6900
20,01/07/2021,6900,6700,6700,6900,900,6900
21,02/07/2021,6800,6800,6800,6800,-,6800
22,05/07/2021,6600,6500,6500,6600,600,6600
23,06/07/2021,6600,6600,6600,6600,1600,6600
24,07/07/2021,6500,6500,6500,6500,10400,6500
25,08/07/2021,6500,6500,6500,6500,500,6500
26,09/07/2021,6500,6100,6500,6100,1500,6100
27,12/07/2021,6200,6200,6200,6200,200,6200
28,13/07/2021,6200,6200,6200,6200,700,6200
29,14/07/2021,6200,6200,6200,6200,100,6200
30,15/07/2021,6200,6200,6200,6200,1000,6200
31,16/07/2021,6200,6200,6200,6200,-,6200
32,19/07/2021,6200,6200,6200,6200,1500,6200
33,20/07/2021,6200,6200,6200,6200,800,6200
34,21/07/2021,6300,6300,6300,6300,100,6300
35,22/07/2021,6300,6300,6300,6300,-,6300
36,23/07/2021,6300,6300,6300,6300,-,6300
37,26/07/2021,6300,6300,6300,6300,-,6300
38,27/07/2021,6300,6300,6300,6300,-,6300
39,28/07/2021,6300,6300,6300,6300,-,6300
40,29/07/2021,6300,6300,6300,6300,-,6300
41,30/07/2021,6000,5800,6000,5800,600,5800
42,02/08/2021,5900,5900,5900,5900,-,5900
43,03/08/2021,5900,5900,5900,5900,-,5900
44,04/08/2021,5900,5900,5900,5900,-,5900
45,05/08/2021,5900,5900,5900,5900,-,5900
46,06/08/2021,6700,6000,6000,6700,7300,6700
47,09/08/2021,6700,6700,6700,6700,-,6700
48,10/08/2021,6700,6700,6700,6700,-,6700
49,11/08/2021,6700,6700,6700,6700,-,6700
50,12/08/2021,6700,6700,6700,6700,-,6700
51,13/08/2021,7000,5700,5800,7000,33300,7000
52,16/08/2021,5900,5900,5900,5900,-,5900
53,17/08/2021,5900,5900,5900,5900,-,5900
54,18/08/2021,5900,5900,5900,5900,-,5900
55,19/08/2021,5900,5900,5900,5900,-,5900
56,20/08/2021,5900,5800,5900,5900,4600,5900
57,23/08/2021,5900,5900,5900,5900,-,5900
58,24/08/2021,5900,5900,5900,5900,-,5900
59,25/08/2021,5900,5900,5900,5900,-,5900
60,26/08/2021,5900,5900,5900,5900,-,5900
61,27/08/2021,6700,6600,6600,6700,9000,6700
62,30/08/2021,6700,6700,6700,6700,-,6700
63,31/08/2021,6700,6700,6700,6700,-,6700
64,01/09/2021,6700,6700,6700,6700,-,6700
65,06/09/2021,6700,6700,6700,6700,-,6700
66,07/09/2021,6700,6700,6700,6700,-,6700
67,08/09/2021,6700,6700,6700,6700,-,6700
68,09/09/2021,6700,6700,6700,6700,-,6700
69,10/09/2021,7500,6100,6600,7500,18300,7500
70,13/09/2021,7100,7100,7100,7100,-,7100
71,14/09/2021,7100,7100,7100,7100,-,7100
72,15/09/2021,7100,7100,7100,7100,-,7100
73,16/09/2021,7100,7100,7100,7100,-,7100
74,17/09/2021,7000,6800,7000,6800,2800,6800
75,20/09/2021,6900,6900,6900,6900,-,6900
76,21/09/2021,6900,6900,6900,6900,-,6900
77,22/09/2021,6900,6900,6900,6900,-,6900
78,23/09/2021,6900,6900,6900,6900,-,6900
79,24/09/2021,7900,7500,7500,7600,30200,7600
80,27/09/2021,7600,7600,7600,7600,-,7600
81,28/09/2021,7600,7600,7600,7600,-,7600
82,29/09/2021,7600,7600,7600,7600,-,7600
83,30/09/2021,7600,7600,7600,7600,-,7600
84,01/10/2021,7200,7200,7200,7200,10400,7200
85,04/10/2021,7200,7200,7200,7200,-,7200
86,05/10/2021,7200,7200,7200,7200,-,7200
87,06/10/2021,7200,7200,7200,7200,-,7200
88,07/10/2021,7200,7200,7200,7200,-,7200
89,08/10/2021,7100,6500,7100,7000,253500,7000
90,11/10/2021,7000,7000,7000,7000,-,7000
91,12/10/2021,7000,7000,7000,7000,-,7000
92,13/10/2021,7000,7000,7000,7000,-,7000
93,14/10/2021,7000,7000,7000,7000,-,7000
94,15/10/2021,7000,7000,7000,7000,3200,7000
95,18/10/2021,7000,7000,7000,7000,-,7000
96,19/10/2021,7000,7000,7000,7000,-,7000
97,20/10/2021,7000,7000,7000,7000,-,7000
98,21/10/2021,7000,7000,7000,7000,-,7000
99,22/10/2021,7500,7000,7000,7500,14700,7500
100,25/10/2021,7300,7300,7300,7300,-,7300
101,26/10/2021,7300,7300,7300,7300,-,7300
102,27/10/2021,7300,7300,7300,7300,-,7300
103,28/10/2021,7300,7300,7300,7300,-,7300
104,29/10/2021,7300,6800,7300,7200,3800,7200
105,01/11/2021,7100,7100,7100,7100,-,7100
106,02/11/2021,7100,7100,7100,7100,-,7100
107,03/11/2021,7100,7100,7100,7100,-,7100
108,04/11/2021,7100,7100,7100,7100,-,7100
109,05/11/2021,7600,7300,7500,7600,27500,7600
110,08/11/2021,7500,7500,7500,7500,-,7500
111,09/11/2021,7500,7500,7500,7500,-,7500
112,10/11/2021,7500,7500,7500,7500,-,7500
113,11/11/2021,7500,7500,7500,7500,-,7500
114,12/11/2021,8600,7800,7800,8600,55200,8600
115,15/11/2021,8500,8500,8500,8500,-,8500
116,16/11/2021,8500,8500,8500,8500,-,8500
117,17/11/2021,8500,8500,8500,8500,-,8500
118,18/11/2021,8500,8500,8500,8500,-,8500
119,19/11/2021,9700,9700,9700,9700,208601,9700
120,22/11/2021,9700,9700,9700,9700,-,9700
121,23/11/2021,9700,9700,9700,9700,-,9700
122,24/11/2021,9700,9700,9700,9700,-,9700
123,25/11/2021,9700,9700,9700,9700,-,9700
124,26/11/2021,11000,8500,10000,9700,79900,9700
125,29/11/2021,9900,9900,9900,9900,-,9900
126,30/11/2021,9900,9900,9900,9900,-,9900
127,01/12/2021,9900,9900,9900,9900,-,9900
128,02/12/2021,9900,9900,9900,9900,-,9900
129,03/12/2021,9700,8500,9700,8600,108864,8600
130,06/12/2021,8800,8800,8800,8800,-,8800
131,07/12/2021,8800,8800,8800,8800,-,8800
132,08/12/2021,8800,8800,8800,8800,-,8800
133,09/12/2021,8800,8800,8800,8800,-,8800
134,10/12/2021,8800,8000,8800,8100,22500,8100
135,13/12/2021,8300,8300,8300,8300,-,8300
136,14/12/2021,8300,8300,8300,8300,-,8300
137,15/12/2021,8300,8300,8300,8300,-,8300
138,16/12/2021,8300,8300,8300,8300,-,8300
139,17/12/2021,8300,8000,8300,8100,21900,8100
140,20/12/2021,8200,8200,8200,8200,-,8200
141,21/12/2021,8200,8200,8200,8200,-,8200
142,22/12/2021,8200,8200,8200,8200,-,8200
143,23/12/2021,8200,8200,8200,8200,-,8200
144,24/12/2021,8200,7600,8000,7800,87100,7800
145,27/12/2021,7800,7800,7800,7800,-,7800
146,28/12/2021,7800,7800,7800,7800,-,7800
147,29/12/2021,7800,7800,7800,7800,-,7800
148,30/12/2021,7800,7800,7800,7800,-,7800
149,31/12/2021,8000,7700,7800,7800,22500,7800
150,04/01/2022,7900,7900,7900,7900,-,7900
151,05/01/2022,7900,7900,7900,7900,-,7900
152,06/01/2022,7900,7900,7900,7900,-,7900
153,07/01/2022,8700,8000,8400,8000,12400,8000
154,10/01/2022,8300,8300,8300,8300,-,8300
155,11/01/2022,8300,8300,8300,8300,-,8300
156,12/01/2022,8300,8300,8300,8300,-,8300
157,13/01/2022,8300,8300,8300,8300,-,8300
158,14/01/2022,8300,8000,8300,8000,44700,8000
159,17/01/2022,8200,8200,8200,8200,-,8200
160,18/01/2022,8200,8200,8200,8200,-,8200
161,19/01/2022,8200,8200,8200,8200,-,8200
162,20/01/2022,8200,8200,8200,8200,-,8200
163,21/01/2022,8200,7500,7500,8000,22600,8000
164,24/01/2022,7900,7900,7900,7900,-,7900
165,25/01/2022,7900,7900,7900,7900,-,7900
166,26/01/2022,7900,7900,7900,7900,-,7900
167,27/01/2022,7900,7900,7900,7900,-,7900
168,28/01/2022,7300,7300,7300,7300,500,7300
169,07/02/2022,7300,7300,7300,7300,-,7300
170,08/02/2022,7300,7300,7300,7300,-,7300
171,09/02/2022,7300,7300,7300,7300,-,7300
172,10/02/2022,7300,7300,7300,7300,-,7300
173,11/02/2022,7500,6400,7300,6900,12400,6900
174,14/02/2022,6900,6900,6900,6900,-,6900
175,15/02/2022,6900,6900,6900,6900,-,6900
176,16/02/2022,6900,6900,6900,6900,-,6900
177,17/02/2022,6900,6900,6900,6900,-,6900
178,18/02/2022,7100,6900,6900,7100,12500,7100
179,21/02/2022,7000,7000,7000,7000,-,7000
180,22/02/2022,7000,7000,7000,7000,-,7000
181,23/02/2022,7000,7000,7000,7000,-,7000
182,24/02/2022,7000,7000,7000,7000,-,7000
183,25/02/2022,7600,7000,7400,7600,29400,7600
184,28/02/2022,7200,7200,7200,7200,-,7200
185,01/03/2022,7200,7200,7200,7200,-,7200
186,02/03/2022,7200,7200,7200,7200,-,7200
187,03/03/2022,7200,7200,7200,7200,-,7200
188,04/03/2022,8200,7200,7200,8200,80500,8200
189,07/03/2022,7900,7900,7900,7900,-,7900
190,08/03/2022,7900,7900,7900,7900,-,7900
191,09/03/2022,7900,7900,7900,7900,-,7900
192,10/03/2022,7900,7900,7900,7900,-,7900
193,11/03/2022,8900,7800,8500,8400,76900,8400
194,14/03/2022,8400,8400,8400,8400,-,8400
195,15/03/2022,8400,8400,8400,8400,-,8400
196,16/03/2022,8400,8400,8400,8400,-,8400
197,17/03/2022,8400,8400,8400,8400,-,8400
198,18/03/2022,8400,8000,8400,8400,42249,8400
199,21/03/2022,8100,8100,8100,8100,-,8100
200,22/03/2022,8100,8100,8100,8100,-,8100
201,23/03/2022,8100,8100,8100,8100,-,8100
202,24/03/2022,8100,8100,8100,8100,-,8100
203,25/03/2022,8400,7900,8100,8400,48500,8400
204,28/03/2022,8100,8100,8100,8100,-,8100
205,29/03/2022,8100,8100,8100,8100,-,8100
206,30/03/2022,8100,8100,8100,8100,-,8100
207,31/03/2022,8100,8100,8100,8100,-,8100
208,01/04/2022,8100,7600,8100,7600,15601,7600
209,04/04/2022,7900,7900,7900,7900,-,7900
210,05/04/2022,7900,7900,7900,7900,-,7900
211,06/04/2022,7900,7900,7900,7900,-,7900
212,07/04/2022,7900,7900,7900,7900,-,7900
213,08/04/2022,7900,7600,7600,7900,600,7900
214,12/04/2022,7900,7900,7900,7900,-,7900
215,13/04/2022,7900,7900,7900,7900,-,7900
216,14/04/2022,7900,7900,7900,7900,-,7900
217,15/04/2022,8000,7000,7100,7000,19900,7000
218,18/04/2022,7100,7100,7100,7100,-,7100
219,19/04/2022,7100,7100,7100,7100,-,7100
220,20/04/2022,7100,7100,7100,7100,-,7100
221,21/04/2022,7100,7100,7100,7100,-,7100
222,22/04/2022,6400,6100,6300,6200,38800,6200
223,25/04/2022,6200,6200,6200,6200,-,6200
224,26/04/2022,6200,6200,6200,6200,-,6200
225,27/04/2022,6200,6200,6200,6200,-,6200
226,28/04/2022,6200,6200,6200,6200,-,6200
227,29/04/2022,7000,6300,7000,7000,15200,7000
228,04/05/2022,6700,6700,6700,6700,-,6700
229,05/05/2022,6700,6700,6700,6700,-,6700
230,06/05/2022,7000,5800,5800,6200,27600,6200
231,09/05/2022,5900,5900,5900,5900,-,5900
232,10/05/2022,5900,5900,5900,5900,-,5900
233,11/05/2022,5900,5900,5900,5900,-,5900
234,12/05/2022,5900,5900,5900,5900,-,5900
235,13/05/2022,6200,5700,6200,5700,24200,5700
236,16/05/2022,6000,6000,6000,6000,-,6000
237,17/05/2022,6000,6000,6000,6000,-,6000
238,18/05/2022,6000,6000,6000,6000,-,6000
239,19/05/2022,6000,6000,6000,6000,-,6000
240,20/05/2022,6900,6300,6300,6900,21390,6900
241,23/05/2022,6700,6700,6700,6700,-,6700
242,24/05/2022,6700,6700,6700,6700,-,6700
243,25/05/2022,6700,6700,6700,6700,-,6700
244,26/05/2022,6700,6700,6700,6700,-,6700
245,27/05/2022,6900,6500,6900,6500,15500,6500
246,30/05/2022,6700,6700,6700,6700,-,6700
247,31/05/2022,6700,6700,6700,6700,-,6700
248,01/06/2022,6700,6700,6700,6700,-,6700
249,02/06/2022,6700,6700,6700,6700,-,6700
250,03/06/2022,7400,6700,7400,6700,3400,6700
