,Date,High,Low,Open,Close,Volume,Adj Close
0,07/06/2021,1100,1100,1100,1100,-,1100
1,08/06/2021,1100,1100,1100,1100,-,1100
2,09/06/2021,1100,1100,1100,1100,-,1100
3,10/06/2021,1100,1100,1100,1100,-,1100
4,11/06/2021,1200,1100,1200,1200,183600,1200
5,14/06/2021,1100,1100,1100,1100,-,1100
6,15/06/2021,1100,1100,1100,1100,-,1100
7,16/06/2021,1100,1100,1100,1100,-,1100
8,17/06/2021,1100,1100,1100,1100,-,1100
9,18/06/2021,1200,1200,1200,1200,557981,1200
10,21/06/2021,1200,1200,1200,1200,-,1200
11,22/06/2021,1200,1200,1200,1200,-,1200
12,23/06/2021,1200,1200,1200,1200,-,1200
13,24/06/2021,1200,1200,1200,1200,-,1200
14,25/06/2021,1300,1300,1300,1300,155846,1300
15,28/06/2021,1300,1300,1300,1300,-,1300
16,29/06/2021,1300,1300,1300,1300,-,1300
17,30/06/2021,1300,1300,1300,1300,-,1300
18,01/07/2021,1300,1300,1300,1300,-,1300
19,02/07/2021,1400,1400,1400,1400,192262,1400
20,05/07/2021,1400,1400,1400,1400,-,1400
21,06/07/2021,1400,1400,1400,1400,-,1400
22,07/07/2021,1400,1400,1400,1400,-,1400
23,08/07/2021,1400,1400,1400,1400,-,1400
24,09/07/2021,1600,1600,1600,1600,50611,1600
25,12/07/2021,1600,1600,1600,1600,-,1600
26,13/07/2021,1600,1600,1600,1600,-,1600
27,14/07/2021,1600,1600,1600,1600,-,1600
28,15/07/2021,1600,1600,1600,1600,-,1600
29,16/07/2021,1800,1500,1800,1600,597090,1600
30,19/07/2021,1700,1700,1700,1700,-,1700
31,20/07/2021,1700,1700,1700,1700,-,1700
32,21/07/2021,1700,1700,1700,1700,-,1700
33,22/07/2021,1700,1700,1700,1700,-,1700
34,23/07/2021,1700,1500,1600,1700,142000,1700
35,26/07/2021,1600,1600,1600,1600,-,1600
36,27/07/2021,1600,1600,1600,1600,-,1600
37,28/07/2021,1600,1600,1600,1600,-,1600
38,29/07/2021,1600,1600,1600,1600,-,1600
39,30/07/2021,1700,1500,1600,1700,105001,1700
40,02/08/2021,1600,1600,1600,1600,-,1600
41,03/08/2021,1600,1600,1600,1600,-,1600
42,04/08/2021,1600,1600,1600,1600,-,1600
43,05/08/2021,1600,1600,1600,1600,-,1600
