,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,2300,2300,2300,2300,-,2200
1,18/06/2021,2300,2300,2300,2300,-,2200
2,21/06/2021,2300,2300,2300,2300,-,2200
3,22/06/2021,2300,2300,2300,2300,-,2200
4,23/06/2021,2300,2300,2300,2300,-,2200
5,24/06/2021,2300,2300,2300,2300,-,2200
6,25/06/2021,2300,2300,2300,2300,-,2200
7,28/06/2021,2300,2300,2300,2300,-,2200
8,29/06/2021,2300,2300,2300,2300,-,2200
9,30/06/2021,2300,2300,2300,2300,-,2200
10,01/07/2021,2300,2300,2300,2300,-,2200
11,02/07/2021,2300,2300,2300,2300,-,2200
12,05/07/2021,2300,2300,2300,2300,-,2200
13,06/07/2021,2300,2300,2300,2300,-,2200
14,07/07/2021,2300,2300,2300,2300,-,2200
15,08/07/2021,2300,2300,2300,2300,-,2200
16,09/07/2021,2300,2300,2300,2300,-,2200
17,12/07/2021,2300,2300,2300,2300,-,2200
18,13/07/2021,2300,2300,2300,2300,-,2200
19,14/07/2021,2300,2300,2300,2300,-,2200
20,15/07/2021,2300,2300,2300,2300,-,2200
21,16/07/2021,2300,2300,2300,2300,-,2200
22,19/07/2021,2300,2300,2300,2300,-,2200
23,20/07/2021,2300,2300,2300,2300,-,2200
24,21/07/2021,2300,2300,2300,2300,-,2200
25,22/07/2021,2300,2300,2300,2300,-,2200
26,23/07/2021,2300,2300,2300,2300,-,2200
27,26/07/2021,2300,2300,2300,2300,-,2200
28,27/07/2021,2300,2300,2300,2300,-,2200
29,28/07/2021,2300,2300,2300,2300,-,2200
30,29/07/2021,2300,2300,2300,2300,-,2200
31,30/07/2021,2300,2300,2300,2300,-,2200
32,02/08/2021,2300,2300,2300,2300,-,2200
33,03/08/2021,2300,2300,2300,2300,-,2200
34,04/08/2021,2300,2300,2300,2300,-,2200
35,05/08/2021,2300,2300,2300,2300,-,2200
36,06/08/2021,2300,2300,2300,2300,-,2200
37,09/08/2021,2300,2300,2300,2300,-,2200
38,10/08/2021,2300,2300,2300,2300,-,2200
39,11/08/2021,2300,2300,2300,2300,-,2200
40,12/08/2021,2300,2300,2300,2300,-,2200
41,13/08/2021,2300,2300,2300,2300,-,2200
42,16/08/2021,2300,2300,2300,2300,-,2200
