,Date,High,Low,Open,Close,Volume,Adj Close
0,22/06/2021,32700,32700,32700,32700,-,32700
1,23/06/2021,32700,32700,32700,32700,-,32700
2,24/06/2021,32700,32700,32700,32700,-,32700
3,25/06/2021,32700,32700,32700,32700,-,32700
4,28/06/2021,32700,32700,32700,32700,-,32700
5,29/06/2021,32700,32700,32700,32700,-,32700
6,30/06/2021,32700,32700,32700,32700,-,32700
7,01/07/2021,32700,32700,32700,32700,-,32700
8,02/07/2021,32700,32700,32700,32700,-,32700
9,05/07/2021,32700,32700,32700,32700,-,32700
10,06/07/2021,32700,32700,32700,32700,-,32700
11,07/07/2021,32700,32700,32700,32700,-,32700
12,08/07/2021,32700,32700,32700,32700,-,32700
13,09/07/2021,32700,32700,32700,32700,-,32700
14,12/07/2021,32700,32700,32700,32700,-,32700
15,13/07/2021,32700,32700,32700,32700,-,32700
16,14/07/2021,32700,32700,32700,32700,-,32700
17,15/07/2021,32700,32700,32700,32700,-,32700
18,16/07/2021,32700,32700,32700,32700,-,32700
19,19/07/2021,32700,32700,32700,32700,-,32700
20,20/07/2021,32700,32700,32700,32700,-,32700
21,21/07/2021,32700,32700,32700,32700,-,32700
22,22/07/2021,32700,32700,32700,32700,-,32700
23,23/07/2021,32700,32700,32700,32700,-,32700
24,26/07/2021,32700,32700,32700,32700,-,32700
25,27/07/2021,32700,32700,32700,32700,-,32700
26,28/07/2021,32700,32700,32700,32700,-,32700
27,29/07/2021,32700,32700,32700,32700,-,32700
28,30/07/2021,32700,32700,32700,32700,-,32700
29,02/08/2021,32700,32700,32700,32700,-,32700
30,03/08/2021,32700,32700,32700,32700,-,32700
31,04/08/2021,45700,45700,45700,45700,100,45700
32,05/08/2021,45700,45700,45700,45700,-,45700
33,06/08/2021,45700,45700,45700,45700,-,45700
34,09/08/2021,45700,45700,45700,45700,-,45700
35,10/08/2021,44000,44000,44000,44000,100,44000
36,11/08/2021,37400,37400,37400,37400,100,37400
37,12/08/2021,37400,37400,37400,37400,-,37400
38,13/08/2021,34000,34000,34000,34000,100,34000
39,16/08/2021,33000,33000,33000,33000,100,33000
40,17/08/2021,33000,33000,33000,33000,-,33000
41,18/08/2021,33000,33000,33000,33000,-,33000
42,19/08/2021,33000,33000,33000,33000,-,33000
43,20/08/2021,33000,33000,33000,33000,-,33000
44,23/08/2021,33000,33000,33000,33000,-,33000
45,24/08/2021,33000,33000,33000,33000,-,33000
46,25/08/2021,33000,33000,33000,33000,-,33000
47,26/08/2021,33000,33000,33000,33000,-,33000
48,27/08/2021,33000,33000,33000,33000,-,33000
49,30/08/2021,28100,28100,28100,28100,100,28100
50,31/08/2021,23900,23900,23900,23900,100,23900
51,01/09/2021,20400,20400,20400,20400,500,20400
52,06/09/2021,20400,20400,20400,20400,200,20400
53,07/09/2021,23400,20400,20400,23400,200,23400
54,08/09/2021,21900,21900,21900,21900,-,21900
55,09/09/2021,18700,18700,18700,18700,100,18700
56,10/09/2021,18700,18600,18700,18600,200,18600
57,13/09/2021,18700,18700,18700,18700,-,18700
58,14/09/2021,18700,18700,18700,18700,-,18700
59,15/09/2021,18700,18700,18700,18700,-,18700
