,Date,High,Low,Open,Close,Volume,Adj Close
0,09/06/2021,14100,14100,14100,14100,-,13300
1,10/06/2021,14100,14100,14100,14100,-,13300
2,11/06/2021,14100,14100,14100,14100,-,13300
3,14/06/2021,14500,14100,14500,14100,3700,13300
4,15/06/2021,14200,14200,14200,14200,-,13400
5,16/06/2021,14200,14200,14200,14200,-,13400
6,17/06/2021,12400,12400,12400,12400,500,11700
7,18/06/2021,12400,12400,12400,12400,-,11700
8,21/06/2021,11100,11100,11100,11100,100,10500
9,22/06/2021,11100,11100,11100,11100,17760,10500
10,23/06/2021,12700,12700,12700,12700,100,12000
11,24/06/2021,14600,10900,10900,14600,700,13800
12,25/06/2021,11100,11100,11100,11100,400,10500
13,28/06/2021,12700,12700,12700,12700,100,12000
14,29/06/2021,12700,12700,12700,12700,-,12000
15,30/06/2021,13000,13000,13000,13000,4200,12300
16,01/07/2021,13000,13000,13000,13000,-,12300
17,02/07/2021,14900,14900,14900,14900,2200,14100
18,05/07/2021,14900,12700,14900,13100,15200,12400
19,06/07/2021,13100,13100,13100,13100,-,12400
20,07/07/2021,13100,13100,13100,13100,-,12400
21,08/07/2021,13100,13100,13100,13100,-,12400
22,09/07/2021,13100,13100,13100,13100,-,12400
23,12/07/2021,13100,13100,13100,13100,-,12400
24,13/07/2021,14000,14000,14000,14000,100,13200
25,14/07/2021,14000,14000,14000,14000,-,13200
26,15/07/2021,14000,14000,14000,14000,-,13200
27,16/07/2021,14000,14000,14000,14000,-,13200
28,19/07/2021,14000,14000,14000,14000,-,13200
29,20/07/2021,14000,14000,14000,14000,-,13200
30,21/07/2021,14000,14000,14000,14000,-,13200
31,22/07/2021,15900,15900,15900,15900,100,15000
32,23/07/2021,15900,15900,15900,15900,-,15000
33,26/07/2021,15900,15900,15900,15900,-,15000
34,27/07/2021,14200,14200,14200,14200,2900,13400
35,28/07/2021,14200,14200,14200,14200,-,13400
36,29/07/2021,16000,16000,16000,16000,200,15100
37,30/07/2021,17400,16100,17400,16100,300,15200
38,02/08/2021,16000,16000,16000,16000,20000,15100
39,03/08/2021,16000,16000,16000,16000,-,15100
40,04/08/2021,14500,14500,14500,14500,100,13700
41,05/08/2021,14000,14000,14000,14000,100,13200
42,06/08/2021,15800,13600,13600,15800,300,14900
43,09/08/2021,15000,15000,15000,15000,500,14200
44,10/08/2021,14500,14500,14500,14500,1000,13700
45,11/08/2021,14500,14500,14500,14500,200,13700
46,12/08/2021,16400,16400,16400,16400,100,15500
47,13/08/2021,17400,17400,17400,17400,100,16400
48,16/08/2021,18100,15000,18100,15000,2100,14200
49,17/08/2021,16600,16600,16600,16600,200,15700
50,18/08/2021,18900,18900,18900,18900,100,17800
51,19/08/2021,21600,16100,21600,16100,2300,15200
52,20/08/2021,18900,14700,18900,14900,2300,14100
53,23/08/2021,20900,16000,18000,19900,8000,18800
54,24/08/2021,19300,16100,19300,16100,1600,15200
55,25/08/2021,19100,19100,19100,19100,-,18000
56,26/08/2021,16300,16300,16300,16300,900,15400
57,27/08/2021,17100,17100,17100,17100,100,16100
58,30/08/2021,17100,17100,17100,17100,-,16100
59,31/08/2021,17100,17100,17100,17100,-,16100
60,01/09/2021,17100,17100,17100,17100,-,16100
61,06/09/2021,14700,14700,14700,14700,200,13900
62,07/09/2021,15000,15000,15000,15000,600,14200
