,Date,High,Low,Open,Close,Volume,Adj Close
0,10/06/2021,48500,47500,48500,47900,4400,45100
1,11/06/2021,47900,47700,47900,47700,4900,44900
2,14/06/2021,48000,47000,47600,48000,5700,45200
3,15/06/2021,47800,47500,47600,47700,8500,44900
4,16/06/2021,47800,47600,47700,47600,3900,44800
5,17/06/2021,48200,47700,47700,48200,1400,45400
6,18/06/2021,48400,47800,47800,47800,3500,45000
7,21/06/2021,49800,48000,48200,49000,20110,46200
8,22/06/2021,50800,49000,49000,49000,5600,46200
9,23/06/2021,50800,48300,49000,49200,1400,46300
10,24/06/2021,50600,49900,50600,49900,701,47000
11,25/06/2021,49500,49000,49000,49500,1600,46600
12,28/06/2021,49000,48000,49000,48000,5900,45200
13,29/06/2021,49700,48000,49000,49500,1600,46600
14,30/06/2021,50700,50400,50700,50500,500,47600
15,01/07/2021,49900,49000,49800,49500,2200,46600
16,02/07/2021,49500,49400,49500,49500,410,46600
17,05/07/2021,49500,49500,49500,49500,-,46600
18,06/07/2021,49600,48200,49500,48200,2410,45400
19,07/07/2021,50900,48500,48600,49500,4200,46600
20,08/07/2021,49200,48200,48300,49100,1300,46300
21,09/07/2021,49900,48500,49900,48900,3100,46100
22,12/07/2021,48800,48000,48000,48800,200,46000
23,13/07/2021,49700,47800,49700,48400,3090,45600
24,14/07/2021,48400,48200,48400,48200,5300,45400
25,15/07/2021,49800,48300,49800,48300,9500,45500
26,16/07/2021,49200,48200,49200,48800,2600,46000
27,19/07/2021,49900,48000,49900,48500,2900,45700
28,20/07/2021,49000,47600,48100,48800,1210,46000
29,21/07/2021,49800,47000,47000,49000,2812,46200
30,22/07/2021,48500,47800,47800,48500,1106,45700
31,23/07/2021,49400,48000,48000,48500,600,45700
32,26/07/2021,49300,48400,48400,49200,1700,46300
33,27/07/2021,48500,48500,48500,48500,306,45700
34,28/07/2021,48900,48000,48500,48800,1400,46000
35,29/07/2021,50900,48500,50800,48900,2600,46100
36,30/07/2021,50900,48900,49000,50900,5400,48000
37,02/08/2021,50500,50500,50500,50500,105,47600
38,03/08/2021,50200,48800,48800,48900,400,46100
39,04/08/2021,50200,49500,50200,49500,701,46600
40,05/08/2021,50000,48200,50000,49600,3234,46700
41,06/08/2021,49600,48500,49600,48500,1300,45700
42,09/08/2021,49000,48300,49000,49000,2000,46200
43,10/08/2021,48900,48500,48700,48500,1200,45700
44,11/08/2021,48900,48500,48700,48700,4510,45900
45,12/08/2021,48900,48500,48700,48900,15700,46100
46,13/08/2021,48700,48500,48700,48500,5700,45700
47,16/08/2021,48700,48600,48700,48700,12220,45900
48,17/08/2021,49300,48600,49300,49200,2100,46300
49,18/08/2021,49400,48600,49400,48800,3852,46000
50,19/08/2021,48800,48600,48800,48700,6600,45900
51,20/08/2021,48700,48000,48700,48100,18725,45300
52,23/08/2021,48900,46200,48900,48300,3500,45500
53,24/08/2021,48400,48000,48400,48400,700,45600
54,25/08/2021,48500,48300,48300,48500,3400,45700
55,26/08/2021,49000,48000,48000,48400,3900,45600
56,27/08/2021,48800,48000,48800,48600,2300,45800
57,30/08/2021,49000,48400,48600,49000,2820,46200
58,31/08/2021,49900,49100,49400,49900,6400,47000
59,01/09/2021,49500,48100,48100,49500,11003,46600
60,06/09/2021,50000,49500,49500,49500,2410,46600
61,07/09/2021,50000,49800,50000,49800,5229,46900
62,08/09/2021,50500,49500,50500,50000,3800,47100
63,09/09/2021,50400,49900,49900,50000,9220,47100
64,10/09/2021,50500,50400,50500,50400,2340,47500
65,13/09/2021,51500,50200,50400,51200,15000,48200
66,14/09/2021,53000,51500,51500,52500,13900,49500
67,15/09/2021,52200,50100,52200,51500,11800,48500
68,16/09/2021,52800,50600,51500,52800,29010,49700
69,17/09/2021,52600,51200,52600,52400,6800,49400
70,20/09/2021,52400,50400,52400,50500,11006,47600
71,21/09/2021,51200,49800,50500,50200,22124,47300
72,22/09/2021,52000,50000,50200,51800,13700,48800
73,23/09/2021,51800,51000,51800,51000,8700,48000
74,24/09/2021,51700,51000,51700,51700,5801,48700
75,27/09/2021,52000,50500,52000,51000,1000,48000
76,28/09/2021,51500,51000,51500,51500,16200,48500
77,29/09/2021,51900,51800,51900,51800,500,48800
78,30/09/2021,59500,51800,52000,59500,17930,56100
79,01/10/2021,55300,52000,52000,53000,6600,49900
80,04/10/2021,53100,52000,53100,53000,1700,49900
81,05/10/2021,52400,50300,52400,52300,5100,49300
82,06/10/2021,54800,51900,54800,53500,9410,50400
83,07/10/2021,53400,52100,53300,53400,1230,50300
84,08/10/2021,53800,52500,53800,53800,21000,50700
85,11/10/2021,54500,53500,53800,54000,11910,50900
86,12/10/2021,54900,54000,54500,54000,11300,50900
87,13/10/2021,55900,54400,54800,54800,24100,51600
88,14/10/2021,56900,55200,55200,56100,14009,52800
89,15/10/2021,58000,56300,56300,57600,15022,54300
90,18/10/2021,58500,57000,57600,58100,27400,54700
91,19/10/2021,58600,57000,57000,58000,23930,54600
92,20/10/2021,57500,56700,57000,57500,21100,54200
93,21/10/2021,57900,56300,57000,56300,17715,53000
94,22/10/2021,57800,57000,57700,57300,1510,54000
95,25/10/2021,57000,55000,57000,56900,8620,53600
96,26/10/2021,57700,56600,57700,56600,18400,53300
97,27/10/2021,57600,56100,56600,57100,5707,53800
98,28/10/2021,56900,56900,56900,56900,100,53600
99,29/10/2021,56500,54000,54700,55900,19500,52700
100,01/11/2021,56000,54000,56000,54700,20000,51500
101,02/11/2021,55000,54900,55000,55000,2210,51800
102,03/11/2021,55700,54900,54900,55000,38700,51800
103,04/11/2021,56900,55000,56900,56000,2811,52800
104,05/11/2021,56000,55600,56000,55600,221,52400
105,08/11/2021,55700,54700,55700,55400,4566,52200
106,09/11/2021,55900,54100,55900,54100,17100,51000
107,10/11/2021,54500,53100,54300,54500,7431,51300
108,11/11/2021,55800,53000,55800,53800,5000,50700
109,12/11/2021,53300,51000,53300,53000,28800,49900
110,15/11/2021,53000,52000,52500,52200,17210,49200
111,16/11/2021,53800,51600,53800,52000,22700,49000
112,17/11/2021,52300,52000,52000,52300,23922,49300
113,18/11/2021,53700,52000,52000,52000,212311,49000
114,19/11/2021,52100,51800,52000,51900,20800,48900
115,22/11/2021,54800,51900,51900,51900,27800,48900
116,23/11/2021,53100,50300,50300,51500,20500,48500
117,24/11/2021,53000,51400,51900,51900,9300,48900
118,25/11/2021,53500,51700,53000,52300,17900,49300
119,26/11/2021,52700,51500,51900,51900,12300,48900
120,29/11/2021,52100,51500,51800,51700,32900,48700
121,30/11/2021,53000,51600,51600,52500,28200,49500
122,01/12/2021,52400,51700,51800,52300,18810,49300
123,02/12/2021,52500,51800,52100,51800,22600,48800
124,03/12/2021,52500,51800,52100,51900,8881,48900
125,06/12/2021,52900,50500,52500,51600,10100,48600
126,07/12/2021,52400,51300,52400,51300,2200,48300
127,08/12/2021,52200,51200,52200,51200,4711,48200
128,09/12/2021,51800,51300,51300,51800,2029,48800
129,10/12/2021,52400,51700,51800,52200,23202,49200
130,13/12/2021,52000,50500,51900,50500,9438,49000
131,14/12/2021,53000,50500,51000,51000,5701,49400
132,15/12/2021,51000,50400,51000,50500,4109,49000
133,16/12/2021,50700,48000,50600,50100,23100,48600
134,17/12/2021,51000,49800,50000,50000,3401,48500
135,20/12/2021,52000,50000,52000,51000,769,49400
136,21/12/2021,51000,48000,48100,50500,10600,49000
137,22/12/2021,51000,49500,50500,50800,1400,49200
138,23/12/2021,50000,48700,49000,49000,11169,47500
139,24/12/2021,50000,49400,50000,50000,900,48500
140,27/12/2021,50500,49900,50000,49900,1800,48400
141,28/12/2021,50900,49000,50900,49300,5500,47800
142,29/12/2021,50700,48800,50000,49900,15600,48400
143,30/12/2021,50300,49000,50200,50000,3000,48500
144,31/12/2021,53500,49500,50000,53500,20200,51900
145,04/01/2022,51900,50600,51000,51400,10221,49800
146,05/01/2022,51200,50500,51200,51000,7940,49400
147,06/01/2022,51100,50600,51000,50600,11006,49100
148,07/01/2022,51300,50200,51300,50500,3400,49000
149,10/01/2022,50700,50000,50600,50600,3200,49100
150,11/01/2022,50500,49100,50200,49100,5600,47600
151,12/01/2022,50300,49500,50300,49500,2611,48000
152,13/01/2022,50100,49900,50000,50100,4800,48600
153,14/01/2022,50300,49500,49500,50300,2100,48800
154,17/01/2022,50800,50200,50500,50800,14300,49200
155,18/01/2022,50300,49000,50300,50300,3100,48800
156,19/01/2022,50500,49500,50500,49800,4000,48300
157,20/01/2022,50500,49500,50500,50300,700,48800
158,21/01/2022,50500,49700,50000,50300,15550,48800
159,24/01/2022,50300,49500,50000,50300,13700,48800
160,25/01/2022,50300,49500,50300,50300,8417,48800
161,26/01/2022,50500,50200,50300,50500,4200,49000
162,27/01/2022,53000,50400,50500,52300,59000,50700
163,28/01/2022,53500,51600,52000,52800,13600,51200
164,07/02/2022,53900,52500,52800,53800,13520,52200
165,08/02/2022,53900,52000,53300,53000,40510,51400
166,09/02/2022,53900,52600,53300,53000,18400,51400
167,10/02/2022,53400,52000,53300,53000,2300,51400
168,11/02/2022,53200,52700,52800,52700,12601,51100
169,14/02/2022,52800,52000,52500,52000,5800,50400
170,15/02/2022,53300,51200,53000,52900,14379,51300
171,16/02/2022,53400,52500,53400,52900,16600,51300
172,17/02/2022,52800,52400,52800,52700,3910,51100
173,18/02/2022,52700,52300,52300,52400,500,50800
174,21/02/2022,54000,52500,53400,53300,1400,51700
175,22/02/2022,53000,51600,53000,52700,13703,51100
176,23/02/2022,52900,52000,52000,52900,1900,51300
177,24/02/2022,53400,51900,53000,52500,2800,50900
178,25/02/2022,53300,52000,53300,52000,7100,50400
179,28/02/2022,59900,52000,52500,59900,29900,58100
180,01/03/2022,59500,52000,53100,54000,10204,52300
181,02/03/2022,55800,53000,55700,54000,3739,52300
182,03/03/2022,55000,52600,53000,53000,4700,51400
183,04/03/2022,53100,53100,53100,53100,900,51500
184,07/03/2022,54900,52700,54800,53900,3002,52300
185,08/03/2022,53800,52600,53800,53300,2700,51700
186,09/03/2022,54900,53000,53800,53000,10000,51400
187,10/03/2022,54000,52800,54000,53700,12700,52100
188,11/03/2022,53500,53000,53500,53200,6800,51600
189,14/03/2022,53100,52800,52800,53000,7200,51400
190,15/03/2022,54000,52800,54000,53500,1200,51900
191,16/03/2022,53000,52800,53000,52900,8100,51300
192,17/03/2022,53400,52700,53400,53300,1119,51700
193,18/03/2022,53300,53300,53300,53300,100,51700
194,21/03/2022,53100,52900,53000,53000,5100,51400
195,22/03/2022,53500,53400,53500,53400,1400,51800
196,23/03/2022,53500,53000,53500,53000,1600,51400
197,24/03/2022,53200,52500,52800,53000,1900,51400
198,25/03/2022,53400,53400,53400,53400,100,51800
199,28/03/2022,53300,52600,52800,52700,11601,51100
200,29/03/2022,53000,52700,53000,53000,17900,51400
201,30/03/2022,53000,52300,52300,53000,200,51400
202,31/03/2022,55900,52700,53000,55700,12540,54000
203,01/04/2022,54000,52800,54000,52900,39300,51300
204,04/04/2022,52900,52100,52900,52900,38700,51300
205,05/04/2022,53000,52000,53000,52800,38800,51200
206,06/04/2022,52900,52300,52500,52800,1900,51200
207,07/04/2022,53500,52800,53300,52800,9100,51200
208,08/04/2022,53500,52800,53500,52800,21100,51200
209,12/04/2022,53500,52900,53400,53000,35700,51400
210,13/04/2022,54800,52900,53000,53100,10000,51500
211,14/04/2022,54300,53100,53100,53500,2100,51900
212,15/04/2022,53500,53100,53500,53100,2500,51500
213,18/04/2022,53800,52900,53200,53000,13300,51400
214,19/04/2022,54500,53000,53200,53000,9600,51400
215,20/04/2022,54900,52900,53600,52900,13700,51300
216,21/04/2022,53900,51100,53900,51200,1700,49600
217,22/04/2022,52600,51700,51700,52600,900,51000
218,25/04/2022,52600,51000,52600,52000,1200,50400
219,26/04/2022,51100,48100,50000,51100,2700,49500
220,27/04/2022,51500,49700,51500,51000,4900,49400
221,28/04/2022,51800,50000,51800,50900,5500,49300
222,29/04/2022,52100,49200,52100,50700,4500,49100
223,04/05/2022,51700,49500,51700,49600,21100,48100
224,05/05/2022,50800,50000,50800,50000,200,48500
225,06/05/2022,51500,49300,51500,50400,15900,48900
226,09/05/2022,50800,48800,50800,48800,10100,47300
227,10/05/2022,49000,48100,48800,48700,17200,47200
228,11/05/2022,50700,48800,50700,49000,5300,47500
229,12/05/2022,50200,48400,50200,49500,700,48000
230,13/05/2022,52200,45000,50000,45800,26800,44400
231,16/05/2022,49000,46800,48900,48800,3100,47300
232,17/05/2022,49500,48700,48800,49300,2000,47800
233,18/05/2022,50100,48000,50100,48100,2600,46600
234,19/05/2022,49800,49000,49800,49000,1200,47500
235,20/05/2022,49400,49400,49400,49400,-,47900
236,23/05/2022,49200,48800,49200,48800,200,47300
237,24/05/2022,47900,47000,47900,47900,800,47900
238,25/05/2022,49400,48500,49400,49000,900,49000
239,26/05/2022,49300,48700,49300,48800,840,48800
240,27/05/2022,49000,48000,48000,49000,1600,49000
241,30/05/2022,50500,49000,49000,50500,13100,50500
242,31/05/2022,55900,49100,50400,51800,3900,51800
243,01/06/2022,53700,50000,52000,51800,1300,51800
244,02/06/2022,52100,50000,52100,51400,1200,51400
245,03/06/2022,51500,51500,51500,51500,100,51500
246,06/06/2022,52700,52000,52000,52700,200,52700
247,07/06/2022,49900,48600,48600,49100,2000,49100
248,08/06/2022,51900,49200,51900,51400,400,51400
249,09/06/2022,51600,49700,51600,49700,1100,49700
250,10/06/2022,51400,51400,51400,51400,100,51400
