,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,1900,1900,1900,1900,-,400
1,18/06/2021,1900,1900,1900,1900,-,400
2,21/06/2021,1900,1900,1900,1900,-,400
3,22/06/2021,1900,1900,1900,1900,-,400
4,23/06/2021,1900,1900,1900,1900,-,400
5,24/06/2021,1900,1900,1900,1900,-,400
6,25/06/2021,1900,1900,1900,1900,-,400
7,28/06/2021,1900,1900,1900,1900,-,400
8,29/06/2021,1900,1900,1900,1900,-,400
9,30/06/2021,1900,1900,1900,1900,-,400
10,01/07/2021,1900,1900,1900,1900,-,400
11,02/07/2021,1900,1900,1900,1900,-,400
12,05/07/2021,1900,1900,1900,1900,-,400
13,06/07/2021,1900,1900,1900,1900,-,400
14,07/07/2021,1900,1900,1900,1900,-,400
15,08/07/2021,1900,1900,1900,1900,-,400
16,09/07/2021,1900,1900,1900,1900,-,400
17,12/07/2021,1900,1900,1900,1900,-,400
18,13/07/2021,1900,1900,1900,1900,-,400
19,14/07/2021,1900,1900,1900,1900,-,400
20,15/07/2021,1900,1900,1900,1900,-,400
21,16/07/2021,1900,1900,1900,1900,-,400
22,19/07/2021,1900,1900,1900,1900,-,400
23,20/07/2021,1900,1900,1900,1900,-,400
24,21/07/2021,1900,1900,1900,1900,-,400
25,22/07/2021,1900,1900,1900,1900,-,400
26,23/07/2021,1900,1900,1900,1900,-,400
27,26/07/2021,1900,1900,1900,1900,-,400
28,27/07/2021,1900,1900,1900,1900,-,400
29,28/07/2021,1900,1900,1900,1900,-,400
30,29/07/2021,1900,1900,1900,1900,-,400
31,30/07/2021,1900,1900,1900,1900,-,400
32,02/08/2021,1900,1900,1900,1900,-,400
33,03/08/2021,1900,1900,1900,1900,-,400
34,04/08/2021,1900,1900,1900,1900,-,400
35,05/08/2021,1900,1900,1900,1900,-,400
36,06/08/2021,1900,1900,1900,1900,-,400
37,09/08/2021,1900,1900,1900,1900,-,400
38,10/08/2021,1900,1900,1900,1900,-,400
39,11/08/2021,1900,1900,1900,1900,-,400
40,12/08/2021,1900,1900,1900,1900,-,400
41,13/08/2021,1900,1900,1900,1900,-,400
42,16/08/2021,1900,1900,1900,1900,-,400
43,17/08/2021,1900,1900,1900,1900,-,400
44,18/08/2021,1900,1900,1900,1900,-,400
45,19/08/2021,1900,1900,1900,1900,-,400
46,20/08/2021,1900,1900,1900,1900,-,400
47,23/08/2021,1900,1900,1900,1900,-,400
48,24/08/2021,1900,1900,1900,1900,-,400
49,25/08/2021,1900,1900,1900,1900,-,400
50,26/08/2021,1900,1900,1900,1900,-,400
51,27/08/2021,1900,1900,1900,1900,-,400
52,30/08/2021,1900,1900,1900,1900,-,400
53,31/08/2021,1900,1900,1900,1900,-,400
54,01/09/2021,1900,1900,1900,1900,-,400
55,06/09/2021,1900,1900,1900,1900,-,400
56,07/09/2021,1900,1900,1900,1900,-,400
57,08/09/2021,1900,1900,1900,1900,-,400
58,09/09/2021,1900,1900,1900,1900,-,400
59,10/09/2021,1900,1900,1900,1900,-,400
60,13/09/2021,1900,1900,1900,1900,-,400
61,14/09/2021,1900,1900,1900,1900,-,400
62,15/09/2021,1900,1900,1900,1900,-,400
63,16/09/2021,1900,1900,1900,1900,-,400
64,17/09/2021,1900,1900,1900,1900,-,400
65,20/09/2021,1900,1900,1900,1900,-,400
66,21/09/2021,1900,1900,1900,1900,-,400
67,22/09/2021,1900,1900,1900,1900,-,400
68,23/09/2021,1900,1900,1900,1900,-,400
69,24/09/2021,1900,1900,1900,1900,-,400
70,27/09/2021,1900,1900,1900,1900,-,400
71,28/09/2021,1900,1900,1900,1900,-,400
72,29/09/2021,1900,1900,1900,1900,-,400
73,30/09/2021,1900,1900,1900,1900,-,400
74,01/10/2021,1900,1900,1900,1900,-,400
75,04/10/2021,1900,1900,1900,1900,-,400
76,05/10/2021,1900,1900,1900,1900,-,400
77,06/10/2021,1900,1900,1900,1900,-,400
78,07/10/2021,1900,1900,1900,1900,-,400
79,08/10/2021,1900,1900,1900,1900,-,400
80,11/10/2021,1900,1900,1900,1900,-,400
81,12/10/2021,1900,1900,1900,1900,-,400
82,13/10/2021,1900,1900,1900,1900,-,400
83,14/10/2021,1900,1900,1900,1900,-,400
84,15/10/2021,1900,1900,1900,1900,-,400
85,18/10/2021,1900,1900,1900,1900,-,400
86,19/10/2021,1900,1900,1900,1900,-,400
87,20/10/2021,1900,1900,1900,1900,-,400
88,21/10/2021,1900,1900,1900,1900,-,400
89,22/10/2021,1900,1900,1900,1900,-,400
90,25/10/2021,1900,1900,1900,1900,-,400
91,26/10/2021,1900,1900,1900,1900,-,400
92,27/10/2021,1900,1900,1900,1900,-,400
93,28/10/2021,1900,1900,1900,1900,-,400
94,29/10/2021,1900,1900,1900,1900,-,400
95,01/11/2021,1900,1900,1900,1900,-,400
96,02/11/2021,1900,1900,1900,1900,-,400
97,03/11/2021,1900,1900,1900,1900,-,400
98,04/11/2021,1900,1900,1900,1900,-,400
99,05/11/2021,1900,1900,1900,1900,-,400
100,08/11/2021,1900,1900,1900,1900,-,400
101,09/11/2021,1900,1900,1900,1900,-,400
102,10/11/2021,1900,1900,1900,1900,-,400
103,11/11/2021,1900,1900,1900,1900,-,400
104,12/11/2021,1900,1900,1900,1900,-,400
105,15/11/2021,1900,1900,1900,1900,-,400
106,16/11/2021,1900,1900,1900,1900,-,400
107,17/11/2021,1900,1900,1900,1900,-,400
108,18/11/2021,1900,1900,1900,1900,-,400
109,19/11/2021,1900,1900,1900,1900,-,400
110,22/11/2021,1900,1900,1900,1900,-,400
111,23/11/2021,1900,1900,1900,1900,-,400
112,24/11/2021,1900,1900,1900,1900,-,400
113,25/11/2021,1900,1900,1900,1900,-,400
114,26/11/2021,1900,1900,1900,1900,-,400
115,29/11/2021,1900,1900,1900,1900,-,900
116,30/11/2021,1900,1900,1900,1900,-,900
117,01/12/2021,1900,1900,1900,1900,-,900
118,02/12/2021,1900,1900,1900,1900,-,900
119,03/12/2021,1900,1900,1900,1900,-,900
120,06/12/2021,1900,1900,1900,1900,-,900
121,07/12/2021,1900,1900,1900,1900,-,900
122,08/12/2021,1900,1900,1900,1900,-,900
123,09/12/2021,1900,1900,1900,1900,-,900
124,10/12/2021,1900,1900,1900,1900,-,900
125,13/12/2021,1900,1900,1900,1900,-,900
126,14/12/2021,1900,1900,1900,1900,-,900
127,15/12/2021,1900,1900,1900,1900,-,900
128,16/12/2021,1900,1900,1900,1900,-,900
129,17/12/2021,1900,1900,1900,1900,-,900
130,20/12/2021,1900,1900,1900,1900,-,900
131,21/12/2021,1900,1900,1900,1900,-,900
132,22/12/2021,1900,1900,1900,1900,-,900
133,23/12/2021,1900,1900,1900,1900,-,900
134,24/12/2021,1900,1900,1900,1900,-,900
135,27/12/2021,1900,1900,1900,1900,-,900
136,28/12/2021,1900,1900,1900,1900,-,900
137,29/12/2021,1900,1900,1900,1900,-,900
138,30/12/2021,1900,1900,1900,1900,-,900
139,31/12/2021,1900,1900,1900,1900,-,900
140,04/01/2022,1900,1900,1900,1900,-,900
141,05/01/2022,1900,1900,1900,1900,-,900
142,06/01/2022,1900,1900,1900,1900,-,900
143,07/01/2022,1900,1900,1900,1900,-,900
