,Date,High,Low,Open,Close,Volume,Adj Close
0,10/06/2021,9300,9300,9300,9300,400,9300
1,11/06/2021,9300,9300,9300,9300,-,9300
2,14/06/2021,9300,9300,9300,9300,100,9300
3,15/06/2021,9300,9300,9300,9300,-,9300
4,16/06/2021,8200,8100,8200,8100,900,8100
5,17/06/2021,8100,8100,8100,8100,-,8100
6,18/06/2021,8100,8100,8100,8100,-,8100
7,21/06/2021,8100,8100,8100,8100,-,8100
8,22/06/2021,9300,9300,9300,9300,100,9300
9,23/06/2021,10500,10500,10500,10500,100,10500
10,24/06/2021,11900,11900,11900,11900,100,11900
11,25/06/2021,11900,11900,11900,11900,-,11900
12,28/06/2021,11900,11900,11900,11900,-,11900
13,29/06/2021,13500,10200,13500,10200,700,10200
14,30/06/2021,10700,10700,10700,10700,-,10700
15,01/07/2021,10700,10700,10700,10700,-,10700
16,02/07/2021,9200,9200,9200,9200,150,9200
17,05/07/2021,9200,9200,9200,9200,-,9200
18,06/07/2021,8400,8200,8400,8200,3300,8200
19,07/07/2021,9300,9300,9300,9300,100,9300
20,08/07/2021,9300,9300,9300,9300,-,9300
21,09/07/2021,10500,10500,10500,10500,100,10500
22,12/07/2021,10500,10500,10500,10500,-,10500
23,13/07/2021,10500,10500,10500,10500,-,10500
24,14/07/2021,11900,11900,11900,11900,100,11900
25,15/07/2021,10200,10200,10200,10200,200,10200
26,16/07/2021,10200,10200,10200,10200,-,10200
27,19/07/2021,10200,10200,10200,10200,-,10200
28,20/07/2021,10200,10200,10200,10200,-,10200
29,21/07/2021,11600,11600,11600,11600,100,11600
30,22/07/2021,11600,11600,11600,11600,-,11600
31,23/07/2021,11600,11600,11600,11600,-,11600
32,26/07/2021,11600,11600,11600,11600,-,11600
33,27/07/2021,13200,9900,13200,9900,2000,9900
34,28/07/2021,10100,10100,10100,10100,-,10100
35,29/07/2021,10100,10100,10100,10100,-,10100
36,30/07/2021,8700,8700,8700,8700,100,8700
37,02/08/2021,8700,8700,8700,8700,-,8700
38,03/08/2021,7700,7700,7700,7700,100,7700
39,04/08/2021,7700,7700,7700,7700,-,7700
40,05/08/2021,7700,7700,7700,7700,-,7700
41,06/08/2021,8800,8700,8800,8700,400,8700
42,09/08/2021,8700,8700,8700,8700,-,8700
43,10/08/2021,9900,9800,9900,9800,2300,9800
44,11/08/2021,9800,9800,9800,9800,-,9800
45,12/08/2021,9800,9800,9800,9800,-,9800
46,13/08/2021,9800,9800,9800,9800,-,9800
47,16/08/2021,8600,8600,8600,8600,501,8600
48,17/08/2021,9700,9700,9700,9700,100,9700
49,18/08/2021,11000,11000,11000,11000,118,11000
50,19/08/2021,11000,11000,11000,11000,-,11000
51,20/08/2021,9400,9400,9400,9400,1600,9400
52,23/08/2021,8200,8200,8200,8200,200,8200
53,24/08/2021,8200,8200,8200,8200,-,8200
54,25/08/2021,8200,8200,8200,8200,-,8200
55,26/08/2021,8200,8200,8200,8200,-,8200
56,27/08/2021,8200,8200,8200,8200,-,8200
57,30/08/2021,8200,8200,8200,8200,-,8200
58,31/08/2021,9400,9400,9400,9400,1200,9400
59,01/09/2021,9400,9400,9400,9400,-,9400
60,06/09/2021,8300,8300,8300,8300,100,8300
61,07/09/2021,8600,8300,8300,8600,1452,8600
62,08/09/2021,9500,8500,8500,9500,600,9500
63,09/09/2021,8700,8700,8700,8700,-,8700
64,10/09/2021,10000,10000,10000,10000,1800,10000
65,13/09/2021,10900,10900,10900,10900,100,10900
66,14/09/2021,12000,11000,11000,12000,1200,12000
67,15/09/2021,13500,13500,13500,13500,110,13500
68,16/09/2021,13500,13500,13500,13500,30,13500
69,17/09/2021,13500,13500,13500,13500,12,13500
70,20/09/2021,15500,15400,15500,15400,300,15400
71,21/09/2021,13100,13100,13100,13100,2200,13100
72,22/09/2021,13100,13100,13100,13100,-,13100
73,23/09/2021,15000,15000,15000,15000,400,15000
74,24/09/2021,12800,12800,12800,12800,100,12800
75,27/09/2021,12800,12800,12800,12800,10,12800
76,28/09/2021,13000,13000,13000,13000,1200,13000
77,29/09/2021,11100,11100,11100,11100,200,11100
78,30/09/2021,9500,9500,9500,9500,100,9500
79,01/10/2021,10900,8300,10900,8600,4200,8600
80,04/10/2021,11900,11900,11900,11900,600,11900
81,05/10/2021,10500,10300,10300,10500,202,10500
82,06/10/2021,9300,9300,9300,9300,100,9300
83,07/10/2021,9300,9300,9300,9300,200,9300
84,08/10/2021,9300,9300,9300,9300,110,9300
85,11/10/2021,9300,9300,9300,9300,100,9300
86,12/10/2021,10600,8800,10600,8800,200,8800
